Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.0924,0.0768,0.2427,3.7944,0.1232,0.3432
1,3.5972,0.1467,0.3875,3.4191,0.1813,0.44409999999999994
2,3.3574,0.1887,0.4598,3.311,0.2057,0.4852
3,3.1863,0.21850000000000003,0.5034000000000001,3.0873,0.2409,0.534
4,3.0411,0.24670000000000003,0.5407,2.9775,0.26489999999999997,0.5638000000000001
5,2.926,0.2667,0.5682,2.8718,0.2893,0.5878
6,2.8126,0.2884,0.5964,2.8052,0.2987,0.6021
7,2.7101,0.3094,0.6213000000000001,2.7271,0.314,0.6215999999999999
8,2.6214,0.3272,0.6411,2.7082,0.3243,0.632
9,2.5323,0.3454,0.6636,2.6113,0.34049999999999997,0.6454000000000001
10,2.4486,0.3649,0.6808,2.554,0.35700000000000004,0.6597
11,2.3795,0.3768,0.6986,2.498,0.3649,0.679
12,2.3122,0.3906,0.7111,2.4804,0.369,0.6864
13,2.2415,0.4078,0.7237,2.4324,0.3837,0.6895
14,2.1777,0.4193,0.7379000000000001,2.3791,0.39640000000000003,0.6993
15,2.1205,0.4341,0.7506999999999999,2.3057,0.4033,0.7156999999999999
16,2.0622,0.4474,0.76,2.2885,0.4156,0.7237
17,2.0032,0.4595,0.7729,2.2762,0.4182,0.7256999999999999
18,1.9498,0.4715,0.7816,2.2523,0.42460000000000003,0.7326
19,1.8932,0.4839,0.7926000000000001,2.2407,0.4296,0.736
20,1.8399,0.4946,0.8031,2.2018,0.4346,0.746
21,1.7931,0.5072,0.8119,2.2147,0.44799999999999995,0.7478
22,1.7473,0.5199,0.821,2.1651,0.4523,0.7535
23,1.7015,0.5283,0.8279000000000001,2.217,0.44630000000000003,0.7395
24,1.6526,0.5416,0.8362999999999999,2.1563,0.4581,0.7537999999999999
25,1.6042,0.5497,0.8461,2.1936,0.45130000000000003,0.752
26,1.5601,0.5634,0.8526,2.1844,0.4559,0.7617
27,1.5114,0.5722999999999999,0.8601000000000001,2.1653,0.4645,0.7602
28,1.4623,0.5870000000000001,0.8682,2.1507,0.46649999999999997,0.7654000000000001
29,1.4241,0.5929,0.8736,2.2062,0.46619999999999995,0.7576999999999999
30,1.378,0.6048,0.8820999999999999,2.1659,0.47729999999999995,0.7645000000000001
31,1.3365,0.613,0.8883,2.1768,0.47200000000000003,0.7674
32,1.2908,0.6273,0.8951,2.1782,0.4857,0.7725
33,1.2448,0.6377,0.9020999999999999,2.1939,0.47409999999999997,0.7715000000000001
34,1.206,0.6492,0.9062,2.1665,0.4836,0.7729
35,1.1709,0.6576000000000001,0.9133,2.1819,0.4854,0.773
36,1.1256,0.6703,0.9178000000000001,2.2344,0.4793,0.7709
37,1.0823,0.6806,0.9245,2.3009,0.47850000000000004,0.7662
38,1.0355,0.6911,0.9305,2.2781,0.4836,0.7705
39,0.995,0.7016,0.9358,2.2931,0.4818,0.7702
40,0.96562,0.7098,0.9383,2.3462,0.47450000000000003,0.7746999999999999
41,0.9304,0.7204999999999999,0.9438,2.2744,0.489,0.7734000000000001
42,0.89215,0.7298,0.9484,2.4129,0.4789,0.7695000000000001
43,0.85205,0.7429000000000001,0.9533,2.4368,0.4768,0.7701
44,0.80157,0.7574,0.9582999999999999,2.4078,0.485,0.768
45,0.77227,0.7619,0.9621,2.4462,0.4843,0.7686
46,0.74457,0.7692,0.9645,2.4372,0.49,0.7746
47,0.70657,0.7807,0.9686,2.5196,0.4802,0.765
48,0.67555,0.7906,0.9702,2.5586,0.485,0.7718
