Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8593,0.1039,0.3157,3.3983,0.1761,0.4449
1,3.2109,0.209,0.5007,3.0328,0.2464,0.5495
2,2.8249,0.2811,0.5993999999999999,2.6755,0.3206,0.6411
3,2.5285,0.3419,0.6659999999999999,2.5731,0.3502,0.6663
4,2.3011,0.38909999999999995,0.7176,2.3423,0.3933,0.7201000000000001
5,2.1047,0.4353,0.7564,2.3076,0.4114,0.7267
6,1.9413,0.4719,0.7886,2.231,0.43770000000000003,0.7381
7,1.7988,0.5041,0.8137000000000001,2.0573,0.46240000000000003,0.7791
8,1.6778,0.5334,0.8341,1.8813,0.49689999999999995,0.7986
9,1.5659,0.5567,0.8527,1.8435,0.5088,0.8111
10,1.4664,0.5832999999999999,0.8684000000000001,1.7676,0.5313,0.8186
11,1.3811,0.6038,0.8812000000000001,1.7711,0.5429999999999999,0.8273
12,1.2925,0.6273,0.8936,1.7387,0.5481,0.8283
13,1.2184,0.6473,0.9052,1.8177,0.5362,0.82
14,1.1451,0.6646,0.9147,1.6548,0.5682,0.8408
15,1.0783,0.6794,0.9226000000000001,1.584,0.5877,0.8573999999999999
16,1.017,0.6976,0.9298000000000001,1.6379,0.5808,0.8514
17,0.9534,0.7168000000000001,0.9384,1.6554,0.5849,0.8538
18,0.89878,0.7297,0.9454,1.612,0.5965,0.8575
19,0.8392,0.7436,0.9514,1.5752,0.6061,0.8664000000000001
20,0.78994,0.7584000000000001,0.9578,1.6344,0.5931000000000001,0.8602
21,0.73842,0.7735,0.9634,1.6322,0.6069,0.8619
22,0.69256,0.787,0.9670000000000001,1.5907,0.6098,0.8706999999999999
23,0.6379,0.8011,0.9729000000000001,1.7084,0.6117,0.8662000000000001
24,0.60284,0.8108,0.9754,1.6607,0.6181,0.8718
25,0.55839,0.8254,0.9791,1.6556,0.6172,0.8663
26,0.51914,0.8353,0.9822,1.6493,0.6204999999999999,0.8747
27,0.47151,0.8506,0.9853000000000001,1.6294,0.6265,0.8744
28,0.4447,0.8581,0.9871,1.711,0.621,0.8717
29,0.42403,0.8625,0.9889,1.7349,0.6209,0.8683
30,0.38164,0.8782,0.9913,1.7532,0.6204999999999999,0.8698
31,0.35449,0.8873000000000001,0.9924,1.8307,0.6171,0.8686
32,0.33143,0.8931999999999999,0.9937,1.7297,0.639,0.8767
33,0.3004,0.9036,0.9951000000000001,1.7584,0.6347999999999999,0.8779
34,0.28039,0.9089,0.9956999999999999,1.7946,0.6303,0.8704999999999999
35,0.26366,0.914,0.9964,1.822,0.6403,0.8779
36,0.24248,0.9204000000000001,0.997,1.8138,0.6357,0.8776
37,0.21976,0.9293,0.9976999999999999,1.8856,0.639,0.8737999999999999
38,0.20254,0.9354,0.9978,1.9222,0.6349,0.8740000000000001
39,0.19789,0.9362,0.9982,1.9082,0.6368,0.8748999999999999
40,0.17832,0.9433,0.9986,1.9257,0.6439,0.8778
41,0.16147,0.9490000000000001,0.9989,1.9331,0.6394,0.8781
42,0.15012,0.9531000000000001,0.9989,1.9703,0.6372,0.8774
43,0.1477,0.9526,0.9987999999999999,2.0028,0.6403,0.8773000000000001
44,0.13725,0.9562999999999999,0.9992,1.9442,0.6565000000000001,0.882
45,0.13252,0.9570000000000001,0.9993000000000001,2.0032,0.6404000000000001,0.8776
46,0.12257,0.9612999999999999,0.9993000000000001,2.0084,0.6487999999999999,0.8791
47,0.10716,0.9672,0.9997,2.0348,0.6495000000000001,0.8791
48,0.10706,0.9666,0.9995999999999999,2.033,0.6459,0.8806999999999999
49,0.10161,0.9688,0.9995999999999999,2.0091,0.6559999999999999,0.8852
