Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8133,0.11199999999999999,0.33020000000000005,3.3138,0.19,0.47409999999999997
1,3.1164,0.22690000000000002,0.5259,2.9436,0.2662,0.5893999999999999
2,2.6606,0.3136,0.6381,2.4714,0.359,0.6869
3,2.3123,0.3862,0.7131000000000001,2.2381,0.413,0.7303000000000001
4,2.0478,0.4454,0.7687,2.1479,0.45130000000000003,0.7589
5,1.8449,0.4914,0.8061,2.0845,0.4595,0.7746999999999999
6,1.6745,0.5327000000000001,0.8362999999999999,1.9448,0.4853,0.7929999999999999
7,1.538,0.5646,0.8583,1.8037,0.5132,0.8197
8,1.4237,0.5927,0.8765999999999999,1.7834,0.5285,0.8258
9,1.3157,0.6209,0.8914,1.622,0.5632,0.8523000000000001
10,1.2208,0.6451,0.9051,1.6676,0.5572,0.8466
11,1.1404,0.6657,0.9167000000000001,1.5708,0.5787,0.8565999999999999
12,1.0636,0.6844,0.9246,1.5401,0.5917,0.8651000000000001
13,1.0009,0.7019,0.9326000000000001,1.6083,0.5839,0.8529000000000001
14,0.92888,0.7237,0.9420999999999999,1.4281,0.6236999999999999,0.8774
15,0.86688,0.7369,0.9497,1.4877,0.6187,0.8744
16,0.81183,0.7514,0.9540000000000001,1.4524,0.6271,0.8818
17,0.75155,0.7678,0.9603,1.4652,0.6307,0.8839
18,0.70557,0.7817000000000001,0.9649,1.4251,0.6371,0.885
19,0.65411,0.7958,0.9703,1.3869,0.6434000000000001,0.8895000000000001
20,0.61014,0.8096,0.9740000000000001,1.4293,0.6358,0.8898999999999999
21,0.5619,0.8218000000000001,0.9793999999999999,1.4724,0.6386999999999999,0.8883
22,0.52338,0.8353,0.9815999999999999,1.4316,0.6483,0.8981
23,0.48581,0.8478,0.9843000000000001,1.4762,0.6515000000000001,0.8973
24,0.45018,0.8558,0.9868000000000001,1.4238,0.6633,0.8976999999999999
25,0.41162,0.8654000000000001,0.9895,1.494,0.6525,0.8896
26,0.37744,0.8783,0.9911,1.4793,0.6618,0.8972
27,0.34699,0.8887,0.9928,1.5081,0.6613,0.8970999999999999
28,0.32292,0.8941,0.9944,1.5662,0.6594,0.8926000000000001
29,0.29443,0.9048,0.9956,1.5961,0.6548999999999999,0.8981
30,0.27505,0.9098999999999999,0.9956,1.553,0.6684,0.8979
31,0.25902,0.9166,0.9965,1.6521,0.6601,0.8953
32,0.23275,0.9247,0.9973000000000001,1.6216,0.6577,0.8956999999999999
33,0.21202,0.9312,0.9979,1.6055,0.6681999999999999,0.9006000000000001
34,0.19724,0.9364,0.9987,1.6921,0.6607999999999999,0.8953
35,0.18189,0.9407,0.9986,1.6807,0.6672,0.8976999999999999
36,0.17643,0.9423,0.9987,1.7148,0.6616,0.8929
37,0.16101,0.9478,0.9993000000000001,1.615,0.6799,0.9009999999999999
38,0.14271,0.9555,0.9992,1.6972,0.6803,0.9003
39,0.13981,0.9556,0.9992,1.6394,0.6808,0.9031
40,0.12406,0.9606,0.9995,1.6818,0.6854,0.9025
41,0.11759,0.9634999999999999,0.9995,1.6936,0.6857,0.8995000000000001
42,0.11174,0.9648,0.9994,1.7014,0.6816,0.9024
43,0.10188,0.968,0.9995,1.688,0.6876000000000001,0.9034
44,0.092976,0.9704999999999999,0.9995999999999999,1.6916,0.6857,0.9014
45,0.096699,0.9699,0.9995,1.7351,0.6835,0.9016
46,0.082268,0.9745,0.9998,1.7969,0.685,0.9007
47,0.079585,0.9753000000000001,0.9998,1.7537,0.6842,0.9018
48,0.076882,0.976,0.9997,1.77,0.6833,0.9075
49,0.071135,0.9784,0.9998999999999999,1.8325,0.6826000000000001,0.9013
