Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.7787,0.1215,0.3392,3.4538,0.1697,0.4573
1,3.058,0.2376,0.54,2.958,0.2699,0.5749
2,2.5684,0.3296,0.6594,2.666,0.34299999999999997,0.6596
3,2.2101,0.4064,0.7368000000000001,2.2864,0.40380000000000005,0.7319
4,1.9433,0.46759999999999996,0.7881,2.0906,0.4457,0.7756000000000001
5,1.752,0.5123,0.8234,1.9138,0.4894,0.7924
6,1.5957,0.5496,0.8493999999999999,1.9049,0.49950000000000006,0.7997
7,1.4586,0.5837,0.8714,1.92,0.5008,0.7975
8,1.3539,0.6113000000000001,0.8855,1.6358,0.5555,0.8436
9,1.2523,0.6345000000000001,0.9014,1.7499,0.5448,0.8299
10,1.1672,0.6572,0.9117000000000001,1.7302,0.5523,0.8377
11,1.0883,0.6779999999999999,0.9231,1.6103,0.5666,0.8576
12,1.0165,0.6966,0.9323,1.5843,0.5847,0.8563
13,0.94392,0.7153,0.9417,1.5125,0.6034,0.872
14,0.88342,0.7326,0.9467,1.5021,0.6068,0.8754000000000001
15,0.82672,0.7491,0.9525,1.4271,0.6198,0.8819
16,0.77469,0.762,0.9589,1.5546,0.6132,0.8756
17,0.71541,0.7787999999999999,0.965,1.5898,0.6122,0.8711
18,0.66592,0.7933,0.9692000000000001,1.494,0.6285000000000001,0.8855
19,0.61304,0.8085,0.9742000000000001,1.5174,0.6262,0.8797
20,0.5729,0.8208,0.9779000000000001,1.4675,0.6409999999999999,0.8854000000000001
21,0.53066,0.8329000000000001,0.9806999999999999,1.5234,0.6364,0.8847
22,0.48352,0.8464,0.9845999999999999,1.671,0.6092,0.871
23,0.45428,0.8545999999999999,0.9867,1.5893,0.6341,0.8828
24,0.41454,0.8679000000000001,0.9893000000000001,1.5436,0.6406000000000001,0.8865999999999999
25,0.37497,0.8804000000000001,0.9913,1.5118,0.6511,0.8895000000000001
26,0.34919,0.8876000000000001,0.9926999999999999,1.6612,0.638,0.8825
27,0.31177,0.8981,0.9945,1.624,0.6443000000000001,0.8872
28,0.28862,0.9067000000000001,0.9953,1.5755,0.6574,0.894
29,0.26984,0.9106000000000001,0.996,1.5877,0.6553,0.8909999999999999
30,0.25313,0.9179,0.9965,1.7365,0.6459999999999999,0.8891
31,0.23126,0.9236,0.9974,1.6541,0.6628000000000001,0.8979
32,0.21433,0.9304000000000001,0.9976999999999999,1.7641,0.6401,0.8831
33,0.19457,0.9379000000000001,0.9983,1.6595,0.6681,0.8918
34,0.17434,0.9442,0.9987,1.7258,0.6603,0.8926000000000001
35,0.15756,0.9501999999999999,0.9987,1.7695,0.659,0.89
36,0.1498,0.9517,0.9989,1.7209,0.6655,0.8945000000000001
37,0.13898,0.9566,0.9992,1.7781,0.6629,0.8948999999999999
38,0.12604,0.9601999999999999,0.9993000000000001,1.7688,0.6616,0.8936
39,0.11464,0.9638,0.9995999999999999,1.6998,0.6746,0.9
40,0.10839,0.9664,0.9995999999999999,1.821,0.6718000000000001,0.8959
41,0.1101,0.9654,0.9994,1.7984,0.6670999999999999,0.8909999999999999
42,0.09584,0.9698,0.9997,1.9434,0.6612,0.8914
43,0.089601,0.9723999999999999,0.9995999999999999,1.7875,0.6742,0.8975
44,0.083817,0.975,0.9997,1.7973,0.6787000000000001,0.9037000000000001
45,0.079235,0.9753000000000001,0.9997,1.9308,0.6668000000000001,0.8919
46,0.077108,0.9765,0.9998999999999999,1.8631,0.6709,0.8965000000000001
47,0.072711,0.9775,0.9998,1.8642,0.6733,0.897
48,0.06852,0.9786,0.9998999999999999,1.939,0.6712,0.8965000000000001
49,0.06088,0.9823999999999999,0.9998999999999999,1.9924,0.6697,0.8925
50,0.063438,0.9809,0.9998999999999999,1.949,0.6759999999999999,0.8936
51,0.058596,0.9825,0.9998999999999999,1.8788,0.6823999999999999,0.9
52,0.053235,0.9847,0.9998999999999999,1.9711,0.6743000000000001,0.898
53,0.050822,0.9856,0.9998999999999999,1.8824,0.684,0.9034
54,0.050114,0.9845999999999999,0.9998999999999999,1.936,0.6778,0.895
55,0.04769,0.9856999999999999,1.0,1.9508,0.6767,0.8948999999999999
56,0.048259,0.9854999999999999,0.9998999999999999,1.913,0.6858,0.9013
57,0.039293,0.9891,1.0,1.9234,0.6809000000000001,0.9029
58,0.036835,0.9895,0.9998999999999999,1.9751,0.6823,0.9022
59,0.039647,0.9889,1.0,1.9447,0.6840999999999999,0.8981999999999999
60,0.039073,0.9887,1.0,1.9689,0.6820999999999999,0.9044
61,0.035735,0.9895,1.0,1.9627,0.6864,0.9009
62,0.035914,0.9904999999999999,1.0,2.0193,0.6843,0.8978
63,0.029964,0.9921,1.0,1.9662,0.6845,0.8983
64,0.027973,0.9926999999999999,1.0,1.9116,0.6956,0.9073
65,0.027917,0.9924,1.0,1.9219,0.6904,0.9041
66,0.026702,0.9932,1.0,1.9768,0.6878,0.8996
67,0.027576,0.9922,1.0,2.0118,0.6831,0.8998
68,0.027897,0.9922,1.0,1.9407,0.696,0.9055
69,0.026766,0.9921,1.0,2.0057,0.6898000000000001,0.9006000000000001
70,0.030147,0.991,1.0,1.9994,0.6915,0.9012
71,0.023888,0.9933,1.0,1.9522,0.698,0.9042
72,0.022591,0.9941,1.0,2.0708,0.6812,0.8970999999999999
73,0.021284,0.9939,1.0,2.0476,0.6923,0.8985
74,0.021199,0.9945,1.0,2.0185,0.6903,0.9037999999999999
75,0.020167,0.9947,1.0,2.0232,0.6976,0.8998999999999999
76,0.016172,0.9958,1.0,1.9772,0.6966,0.9016
77,0.019298,0.9948,1.0,2.0209,0.6920999999999999,0.9023
78,0.017257,0.996,1.0,2.0105,0.6978,0.9015000000000001
79,0.017482,0.9953,1.0,2.0157,0.6927,0.9047
80,0.018347,0.9947,1.0,2.0131,0.6892,0.9043000000000001
81,0.016916,0.9961,1.0,2.0098,0.6962,0.9039
82,0.017556,0.9953,1.0,2.0578,0.6958,0.9044
83,0.015874,0.9965,1.0,2.0138,0.6989,0.9074
84,0.017237,0.9953,1.0,2.0699,0.6954,0.9035
85,0.016542,0.9956999999999999,1.0,2.0547,0.6962999999999999,0.9048999999999999
86,0.013895,0.9963,1.0,2.034,0.6947,0.9059
87,0.01432,0.9963,1.0,2.0276,0.6940000000000001,0.9067000000000001
88,0.014363,0.9963,1.0,2.0191,0.6989,0.9073
89,0.013357,0.9965,1.0,2.1328,0.6896,0.8993000000000001
90,0.013792,0.9967,1.0,2.0612,0.6945999999999999,0.9044
91,0.014153,0.9963,1.0,2.0521,0.6957,0.9047
92,0.013842,0.9962000000000001,1.0,2.0103,0.6997,0.9057
93,0.013025,0.9968,1.0,2.1139,0.6926000000000001,0.9007
94,0.01202,0.9965999999999999,1.0,2.0173,0.6990999999999999,0.9051
95,0.009487,0.9976999999999999,1.0,2.0353,0.6988,0.9048
96,0.010981,0.9973000000000001,1.0,2.0132,0.6999,0.9048
97,0.010287,0.9976,1.0,2.0333,0.6978,0.9051
98,0.010426,0.9975,1.0,2.038,0.7045,0.9031
99,0.0087204,0.9982,1.0,2.1258,0.6926000000000001,0.9018999999999999
100,0.01063,0.9973000000000001,1.0,2.0217,0.705,0.9053
101,0.00961,0.9978,1.0,1.9975,0.7023,0.9070999999999999
102,0.0098412,0.9975,1.0,2.0307,0.7028,0.9059
103,0.0094753,0.9979,1.0,2.0766,0.6966,0.9067000000000001
104,0.0097156,0.9976,1.0,2.0657,0.7038,0.9076000000000001
105,0.011429,0.9972,1.0,2.0327,0.6976,0.9064
106,0.011012,0.9971,1.0,2.0903,0.6975,0.9022
107,0.014035,0.9962000000000001,1.0,2.0842,0.6959000000000001,0.9043000000000001
108,0.012308,0.9965999999999999,1.0,2.1155,0.6928,0.9029
109,0.010347,0.9974,1.0,2.0564,0.7021,0.9078
110,0.0078951,0.998,1.0,2.0524,0.7009000000000001,0.9055
111,0.0089802,0.9978,1.0,2.0469,0.7018000000000001,0.9062
112,0.0086316,0.9978,1.0,2.0655,0.7017,0.9095
113,0.0072447,0.9983,1.0,2.0844,0.6970999999999999,0.9057999999999999
114,0.0067385,0.9984999999999999,1.0,2.0347,0.7061,0.9065000000000001
115,0.0060739,0.9987,1.0,2.0361,0.706,0.909
116,0.0059345,0.9989,1.0,2.0289,0.703,0.9057999999999999
117,0.0054728,0.9987,1.0,2.0728,0.6983,0.9077
118,0.005124,0.9990000000000001,1.0,2.0348,0.7068000000000001,0.9098
119,0.0051451,0.9987999999999999,1.0,2.042,0.7044,0.9081999999999999
120,0.0060399,0.9987999999999999,1.0,2.03,0.7054,0.9112
121,0.0050976,0.9989,1.0,2.0551,0.705,0.9047
122,0.003888,0.9992,1.0,2.0404,0.7077,0.9083
123,0.0044157,0.9991,1.0,2.0987,0.706,0.9078
124,0.0065762,0.9984999999999999,1.0,2.1185,0.6984,0.9039
125,0.0058869,0.9986,1.0,2.1469,0.7,0.9046
126,0.0061515,0.9983,1.0,2.0688,0.7017,0.9063
127,0.0069681,0.9981,1.0,2.0883,0.7009000000000001,0.9092
128,0.0074371,0.9982,1.0,2.091,0.7036,0.9106000000000001
129,0.0057951,0.9986,1.0,2.1043,0.7001000000000001,0.9031
130,0.0062594,0.9986,1.0,2.0853,0.7047,0.909
131,0.0049295,0.9989,1.0,2.0619,0.7055,0.9068999999999999
132,0.0052111,0.9989,1.0,2.1128,0.7038,0.9048
133,0.0063667,0.9983,1.0,2.0514,0.7039,0.9087000000000001
134,0.0044363,0.9990000000000001,1.0,2.0806,0.7055,0.9073
135,0.0055112,0.9987,1.0,2.0786,0.7047,0.9093000000000001
136,0.0051054,0.9989,1.0,2.0831,0.7001999999999999,0.9073
137,0.0046716,0.9987999999999999,1.0,2.0598,0.7066,0.9073
138,0.0036343,0.9993000000000001,1.0,2.0952,0.7041,0.9074
139,0.004566,0.9989,1.0,2.1075,0.7021999999999999,0.9064
140,0.0045208,0.9990000000000001,1.0,2.1204,0.7037,0.9054000000000001
141,0.0035238,0.9994,1.0,2.0578,0.7056,0.9077
142,0.0035851,0.9992,1.0,2.0638,0.7077,0.9076000000000001
143,0.0040779,0.9990000000000001,1.0,2.0828,0.7058,0.9077
144,0.0035526,0.9993000000000001,1.0,2.068,0.7066,0.9087000000000001
145,0.0034506,0.9992,1.0,2.0696,0.7071,0.9081999999999999
146,0.0032615,0.9992,1.0,2.0938,0.7056999999999999,0.9073
147,0.0030818,0.9993000000000001,1.0,2.0697,0.7058,0.9101
148,0.0026029,0.9995999999999999,1.0,2.0513,0.7094,0.9101
149,0.0031389,0.9993000000000001,1.0,2.0657,0.7101999999999999,0.9096
150,0.0027813,0.9994,1.0,2.0674,0.7089,0.9098
151,0.0033639,0.9992,1.0,2.0813,0.7081999999999999,0.909
152,0.0044389,0.9989,1.0,2.0916,0.7082999999999999,0.9087999999999999
153,0.003998,0.9991,1.0,2.095,0.7091,0.9083
154,0.0053451,0.9986,1.0,2.1247,0.708,0.9083
155,0.0041227,0.9990000000000001,1.0,2.0827,0.7073,0.9094
156,0.005708,0.9986,1.0,2.0838,0.7058,0.9098999999999999
157,0.0053249,0.9987,1.0,2.092,0.7036,0.9062
158,0.0042894,0.9991,1.0,2.089,0.7075,0.9078
159,0.0030138,0.9994,1.0,2.0922,0.7066,0.9081999999999999
160,0.0038672,0.9990000000000001,1.0,2.1298,0.7031000000000001,0.9052
161,0.0028843,0.9995,1.0,2.0775,0.7077,0.9102
