Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.9234,0.0942,0.2981,3.5571,0.1583,0.4115
1,3.2353,0.20309999999999997,0.4924,3.1811,0.218,0.5244
2,2.7023,0.2999,0.6257,2.6882,0.31,0.6434000000000001
3,2.2691,0.3897,0.725,2.6022,0.3362,0.6673
4,1.992,0.45289999999999997,0.7805,2.0395,0.4475,0.7709999999999999
5,1.8117,0.49950000000000006,0.8154,2.071,0.45130000000000003,0.7694
6,1.6809,0.5284,0.8366,1.9477,0.48229999999999995,0.794
7,1.5949,0.5497,0.8515999999999999,1.8934,0.4876,0.8009999999999999
8,1.519,0.5709000000000001,0.8625,1.6825,0.5408,0.8369
9,1.4763,0.5819,0.8695999999999999,1.8049,0.5222,0.8186
10,1.4145,0.595,0.8793000000000001,1.6411,0.5553,0.8432999999999999
11,1.3769,0.6036,0.8858,1.7882,0.5244,0.8149
12,1.3357,0.6165999999999999,0.8902,1.8074,0.5218,0.8173
13,1.3199,0.6214999999999999,0.8926000000000001,1.9325,0.5024000000000001,0.8127
14,1.2822,0.6331,0.8978,1.7625,0.53,0.8298000000000001
15,1.2611,0.6353,0.9009,1.7886,0.5323,0.8162999999999999
16,1.2397,0.6428,0.9055,1.7805,0.535,0.8281999999999999
17,1.2167,0.6478,0.9079,1.7146,0.5457,0.8299
18,1.2059,0.6507999999999999,0.9084,1.6834,0.5415,0.8362999999999999
19,1.1862,0.6556000000000001,0.9120999999999999,1.6043,0.5683,0.8518000000000001
20,1.1761,0.6576000000000001,0.9131,1.7585,0.5509000000000001,0.831
21,1.1632,0.6629,0.9154000000000001,2.0504,0.4955,0.7773
22,1.1489,0.6656,0.9168000000000001,1.6526,0.5600999999999999,0.8456999999999999
23,1.1377,0.6695,0.9181999999999999,1.7057,0.5581,0.8452
24,1.1293,0.6696,0.9195,1.8733,0.5153,0.8094
25,1.1187,0.6758,0.9196,1.8434,0.5374,0.8269
26,1.1089,0.6759999999999999,0.9218000000000001,1.721,0.5366,0.8349
27,1.106,0.6764,0.9222,1.6591,0.5483,0.8405
28,1.0979,0.6804000000000001,0.9238,1.6462,0.5613,0.8439
29,1.084,0.6839,0.9239,1.6729,0.5640999999999999,0.8422
30,1.0931,0.6799,0.9234,1.6573,0.5715,0.8393999999999999
31,1.0728,0.6867,0.9248000000000001,1.6692,0.5636,0.8412000000000001
32,1.0828,0.6838,0.9243000000000001,1.7396,0.5647,0.8329000000000001
33,1.0686,0.6873,0.9272,1.6952,0.5609000000000001,0.8387
34,1.0571,0.6906,0.9285,1.8512,0.5304,0.8238
35,1.0711,0.6877,0.9281,1.6706,0.5663,0.8459
36,1.0456,0.6916,0.9317,1.7263,0.5523,0.8481000000000001
37,1.0541,0.6895,0.9289000000000001,1.6106,0.5760000000000001,0.861
38,1.0518,0.6915,0.9286,1.6306,0.5744,0.8558
39,1.0403,0.6949,0.9315000000000001,1.5841,0.5796,0.8593000000000001
40,1.0436,0.6960999999999999,0.9296,1.6145,0.5782,0.847
41,1.0336,0.6973999999999999,0.9312999999999999,1.7451,0.5596,0.8362999999999999
42,1.0408,0.695,0.9317,1.6658,0.5693,0.8431000000000001
43,1.0291,0.6987000000000001,0.9329999999999999,1.5661,0.5881000000000001,0.8617
44,1.0219,0.6994,0.9328,1.5182,0.5919,0.8706
45,1.0206,0.7033,0.9320999999999999,1.6593,0.5665,0.8522
46,1.0254,0.7001000000000001,0.9325,1.6766,0.5625,0.85
47,1.0145,0.7033,0.9356,1.5391,0.5855,0.8701000000000001
48,1.0182,0.7004,0.9336,1.5666,0.5774,0.8633
49,1.0124,0.703,0.9336,1.7199,0.5631,0.8306999999999999
50,1.0151,0.6995999999999999,0.9334,1.742,0.5553,0.8456
51,1.0105,0.7047,0.9348000000000001,1.6017,0.5826,0.8583
52,1.012,0.7028,0.9346,1.9235,0.5211,0.8131
53,0.9989,0.7073999999999999,0.9357,1.5723,0.5836,0.8582
54,1.004,0.7061,0.9353,1.7238,0.5613,0.8328
55,1.0111,0.7026,0.9323999999999999,1.5671,0.5846,0.8636
56,1.0025,0.7069,0.9344,1.6536,0.5711999999999999,0.8466
57,0.99247,0.7089,0.9384999999999999,1.7743,0.5468,0.8334999999999999
58,0.99537,0.7082999999999999,0.9366,1.566,0.5859000000000001,0.8584999999999999
59,0.99331,0.7095,0.9356,1.5235,0.598,0.8676999999999999
60,0.9918,0.7084999999999999,0.937,1.6453,0.5789,0.8497
61,0.98887,0.7111,0.9359000000000001,1.7358,0.5595,0.8432
62,0.99463,0.7059000000000001,0.9362999999999999,1.6093,0.5733,0.8539
