Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.771,0.1226,0.3428,3.4003,0.18230000000000002,0.4689
1,3.0292,0.2413,0.5483,2.8405,0.2825,0.5952000000000001
2,2.5301,0.3383,0.6665000000000001,2.8669,0.319,0.6331
3,2.1743,0.4153,0.7432,2.2224,0.4168,0.7426999999999999
4,1.9082,0.4756,0.7948999999999999,2.0232,0.4643,0.7817000000000001
5,1.7176,0.5203,0.828,2.1045,0.46270000000000006,0.777
6,1.5547,0.5587,0.8556999999999999,1.8914,0.5008,0.8076000000000001
7,1.4175,0.5953,0.8767,1.7865,0.5271,0.8212999999999999
8,1.3082,0.6217,0.8928,1.5975,0.5672999999999999,0.8493
9,1.2075,0.6478,0.9068999999999999,1.7137,0.5526,0.8431000000000001
10,1.1229,0.6673,0.9174,1.6083,0.5751,0.8543000000000001
11,1.0455,0.6893,0.9281999999999999,1.5843,0.5734,0.8547
12,0.97039,0.7116,0.9373999999999999,1.5936,0.5893999999999999,0.8536
13,0.89677,0.728,0.9464,1.5367,0.6018,0.8755
14,0.83465,0.7454999999999999,0.9525,1.5128,0.6049,0.8734999999999999
15,0.78084,0.7612000000000001,0.9573999999999999,1.4009,0.633,0.8824
16,0.72592,0.7773,0.9632999999999999,1.5458,0.6181,0.8737
17,0.66728,0.7907,0.9701000000000001,1.4425,0.6335000000000001,0.8845000000000001
18,0.61981,0.8064,0.9740000000000001,1.3681,0.6561,0.8951
19,0.57152,0.8206,0.9776,1.4733,0.6409999999999999,0.8864
20,0.5288,0.8326,0.9809,1.4457,0.6455,0.8923000000000001
21,0.48158,0.8466,0.9843999999999999,1.4802,0.649,0.8915000000000001
22,0.43359,0.8618000000000001,0.9879000000000001,1.6026,0.6325999999999999,0.8806999999999999
23,0.40455,0.8701000000000001,0.9894,1.5308,0.65,0.8891
24,0.37304,0.8793000000000001,0.9912000000000001,1.5157,0.6553,0.8942
25,0.33894,0.8913,0.993,1.5429,0.6524,0.8887
26,0.31245,0.8993000000000001,0.9945,1.588,0.6518999999999999,0.8912
27,0.28136,0.9077,0.9956999999999999,1.5707,0.6568,0.8931
28,0.25942,0.9151,0.9961,1.5777,0.6584,0.8967
29,0.24134,0.9215000000000001,0.9972,1.6792,0.6528,0.8876000000000001
30,0.21701,0.9307,0.9974,1.6113,0.6642,0.8978
31,0.19605,0.9368000000000001,0.9981,1.5925,0.674,0.9026000000000001
32,0.18271,0.9405,0.9986,1.6033,0.6789000000000001,0.8985
33,0.16609,0.9473,0.9990000000000001,1.674,0.6687000000000001,0.8964
34,0.14979,0.9521999999999999,0.9993000000000001,1.6618,0.6734,0.8986
35,0.1403,0.9547,0.9992,1.7812,0.6616,0.894
36,0.13358,0.9573999999999999,0.9991,1.7667,0.6642,0.8963
37,0.12323,0.9616,0.9995999999999999,1.7449,0.6770999999999999,0.9007999999999999
38,0.10647,0.9668000000000001,0.9995,1.7892,0.6703,0.8964
39,0.097026,0.9692000000000001,0.9998,1.8491,0.6713,0.8923000000000001
40,0.097134,0.9693999999999999,0.9998,1.7,0.6849,0.9044
41,0.088771,0.9729000000000001,0.9998,1.7857,0.6815000000000001,0.8981999999999999
42,0.088781,0.972,0.9997,1.7766,0.6815000000000001,0.9016
43,0.074518,0.9776,0.9998,1.7259,0.6867,0.9035
44,0.069589,0.9792000000000001,0.9998,1.775,0.685,0.9031999999999999
45,0.066018,0.9806,0.9998999999999999,1.8707,0.6768000000000001,0.9001
46,0.065087,0.9799,0.9998999999999999,1.8268,0.6823,0.9029
47,0.057977,0.9823999999999999,0.9998999999999999,1.8268,0.6859000000000001,0.904
48,0.052783,0.9843999999999999,0.9998999999999999,1.8889,0.6825,0.8985
49,0.05636,0.9829000000000001,0.9998999999999999,1.8423,0.691,0.9028
50,0.055724,0.9826,0.9998999999999999,1.788,0.6977,0.9059999999999999
51,0.046492,0.9865,0.9998999999999999,1.8465,0.6903,0.9018999999999999
52,0.047361,0.9856999999999999,1.0,1.8529,0.6896,0.9007
53,0.043531,0.9876,0.9998999999999999,1.8233,0.693,0.9073
54,0.039273,0.9897,1.0,1.8078,0.6984,0.9047
55,0.038545,0.9892,1.0,1.7978,0.6937000000000001,0.9059
56,0.037511,0.9892,0.9998999999999999,1.8156,0.6994,0.9078
57,0.031251,0.9912000000000001,1.0,1.8444,0.696,0.9073
58,0.030739,0.9918,1.0,1.8675,0.6977,0.9075
59,0.03193,0.9911,1.0,1.8577,0.6981,0.9081
60,0.029121,0.9925,1.0,1.9247,0.6931,0.9072
61,0.025382,0.9934999999999999,1.0,1.8819,0.6997,0.9068
62,0.032208,0.9904999999999999,1.0,1.9388,0.6895,0.903
63,0.03406,0.9898,0.9998999999999999,1.8932,0.7003,0.9086
64,0.02875,0.9914000000000001,1.0,1.895,0.6938,0.9068999999999999
65,0.026467,0.9926,1.0,1.9326,0.6949,0.9079999999999999
66,0.025875,0.9932,1.0,1.8493,0.7041,0.91
67,0.024481,0.993,1.0,1.8765,0.7021,0.9073
68,0.02558,0.9931,1.0,1.9236,0.7,0.9084
69,0.025648,0.9925,1.0,1.8922,0.6995,0.9065000000000001
70,0.023522,0.9937,1.0,1.9235,0.7001999999999999,0.9078
71,0.020761,0.9944,1.0,1.8882,0.7012,0.9096
72,0.017557,0.9959,1.0,1.9046,0.6999,0.9075
73,0.018214,0.9954000000000001,1.0,1.8874,0.7012999999999999,0.9107
74,0.014181,0.9965,1.0,1.8536,0.7073999999999999,0.9127
75,0.015705,0.9961,1.0,1.9198,0.7020000000000001,0.9091
76,0.015222,0.9963,1.0,1.9591,0.6966,0.9070999999999999
77,0.018107,0.9951000000000001,1.0,1.9534,0.6998000000000001,0.9054000000000001
78,0.014042,0.9969,1.0,1.8906,0.7081000000000001,0.9102
79,0.013246,0.9967,1.0,1.8851,0.7051999999999999,0.9125
80,0.012461,0.9971,1.0,1.9299,0.7075,0.9115000000000001
