Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.7905,0.1213,0.3368,3.5891,0.16269999999999998,0.4286
1,2.9981,0.24760000000000001,0.5547,3.043,0.265,0.5623
2,2.4383,0.3556,0.6883,2.9532,0.32780000000000004,0.6259
3,2.0724,0.4364,0.7655,2.2063,0.4233,0.7454000000000001
4,1.8137,0.4986,0.8114,1.9591,0.4783,0.7916
5,1.6384,0.5383,0.8422,1.8535,0.5106,0.8087000000000001
6,1.4888,0.573,0.8664000000000001,1.8408,0.5168,0.8199
7,1.3601,0.6078,0.8858,1.7273,0.5421,0.8331999999999999
8,1.2531,0.637,0.9007999999999999,1.6985,0.5486,0.8355
9,1.1656,0.6581,0.9133,1.7051,0.5548,0.8381000000000001
10,1.0802,0.6807,0.9235,1.5777,0.581,0.8573000000000001
11,1.0055,0.6995,0.9333,1.6374,0.5704,0.8543999999999999
12,0.93566,0.7193999999999999,0.9428,1.5384,0.6049,0.8619
13,0.86416,0.7362000000000001,0.9494,1.4876,0.6129,0.8767
14,0.80348,0.7545000000000001,0.9559000000000001,1.519,0.6113000000000001,0.8698999999999999
15,0.75265,0.7694,0.9609000000000001,1.331,0.6548,0.8926999999999999
16,0.69928,0.7828,0.9662999999999999,1.4735,0.6242,0.8813
17,0.64265,0.8001999999999999,0.9706999999999999,1.3998,0.644,0.8886
18,0.59427,0.8151999999999999,0.9758,1.3874,0.6555,0.8929
19,0.55109,0.8261,0.9793000000000001,1.4674,0.6494,0.892
20,0.50568,0.8395,0.9823000000000001,1.4924,0.6419,0.8911
21,0.46315,0.8514,0.9859,1.5566,0.6355,0.8848
22,0.43008,0.8623000000000001,0.9884999999999999,1.4793,0.6509,0.8896
23,0.38806,0.8743000000000001,0.9903,1.5159,0.6566,0.8915000000000001
24,0.35395,0.8851,0.9925,1.5196,0.6516,0.8918
25,0.32796,0.8942,0.9941,1.5257,0.6523,0.8939
26,0.29882,0.9036,0.9943000000000001,1.5579,0.6607999999999999,0.8952
27,0.27627,0.9102,0.996,1.5439,0.6688,0.8963
28,0.24,0.9228000000000001,0.9968,1.6297,0.6631,0.8924
29,0.23645,0.9222,0.9972,1.5893,0.6706,0.899
30,0.21117,0.9307,0.9978,1.5889,0.6729,0.9003
31,0.19021,0.9390000000000001,0.9984000000000001,1.6523,0.6663,0.8964
32,0.1826,0.9407,0.9986,1.6748,0.6708,0.8983
33,0.15822,0.9490999999999999,0.9987999999999999,1.6336,0.669,0.8998999999999999
34,0.14858,0.9526,0.9993000000000001,1.6788,0.679,0.8975
35,0.13275,0.9577,0.9995999999999999,1.6782,0.6766,0.9006000000000001
36,0.13377,0.9568000000000001,0.9993000000000001,1.699,0.6783,0.902
37,0.12282,0.9612999999999999,0.9994,1.6813,0.6801,0.9026000000000001
38,0.10475,0.9667,0.9995999999999999,1.6934,0.6836,0.9041
39,0.10143,0.9682,0.9995999999999999,1.6932,0.6853,0.9047
40,0.097865,0.9690000000000001,0.9995999999999999,1.7195,0.6812,0.9011
41,0.093853,0.9706,0.9998,1.7353,0.6795,0.904
42,0.081227,0.9747,0.9998,1.6966,0.6895,0.907
43,0.076335,0.9758,0.9998,1.6907,0.6912999999999999,0.9085
44,0.068314,0.9792000000000001,1.0,1.79,0.6825,0.904
45,0.064201,0.9808,0.9997,1.8033,0.6865000000000001,0.9052
46,0.062235,0.9815999999999999,0.9998,1.7998,0.6890999999999999,0.9052
47,0.058881,0.9829000000000001,0.9998999999999999,1.8791,0.6817,0.9018
48,0.057316,0.9829000000000001,0.9998999999999999,1.8663,0.6814,0.9
49,0.049988,0.9854999999999999,0.9998999999999999,1.7775,0.6972,0.904
50,0.045189,0.987,0.9998999999999999,1.8195,0.6925,0.9045000000000001
51,0.047868,0.9854999999999999,0.9998999999999999,1.9035,0.6858,0.9037000000000001
52,0.046909,0.986,0.9998999999999999,1.7948,0.6931999999999999,0.9086
53,0.041256,0.9879000000000001,0.9998999999999999,1.7667,0.6969,0.9091
54,0.043754,0.9869,0.9998999999999999,1.8514,0.6901999999999999,0.9051
55,0.041149,0.9876999999999999,1.0,1.8301,0.6888,0.9081
56,0.042662,0.9872,0.9998999999999999,1.9525,0.6881,0.9007
57,0.040738,0.9878,1.0,1.8752,0.6914,0.9035
58,0.03716,0.9889,1.0,1.8081,0.6972,0.9101
59,0.033353,0.9906,1.0,1.8444,0.696,0.9087999999999999
60,0.029428,0.9913,1.0,1.8395,0.6945999999999999,0.9045000000000001
61,0.029308,0.9919,1.0,1.8982,0.6918000000000001,0.9018999999999999
62,0.029271,0.9915999999999999,1.0,1.8639,0.7031999999999999,0.9077
63,0.028589,0.9917,1.0,1.9065,0.6940000000000001,0.9047
64,0.029501,0.9915,1.0,1.8748,0.6972,0.9059
65,0.023249,0.9936,1.0,1.8666,0.7039,0.9098999999999999
66,0.02817,0.9921,1.0,1.9169,0.6973,0.9024
67,0.027477,0.9918,1.0,1.8602,0.7011,0.909
68,0.025468,0.9931,1.0,1.9622,0.6907,0.9068999999999999
69,0.02515,0.9926,1.0,1.8602,0.7045,0.9111
70,0.023347,0.9937,1.0,1.889,0.7009000000000001,0.9098
71,0.020931,0.9941,1.0,1.9165,0.6995999999999999,0.9061
72,0.020361,0.9945,1.0,1.8973,0.7012,0.9083
73,0.022631,0.9937,1.0,1.8837,0.7012,0.9126000000000001
74,0.020077,0.9948,1.0,1.9028,0.7036,0.9118999999999999
75,0.023458,0.9932,1.0,1.9501,0.6987000000000001,0.907
76,0.021931,0.9939,1.0,1.9149,0.7001999999999999,0.9078
77,0.020009,0.9942,1.0,1.9629,0.7001999999999999,0.9064
78,0.020484,0.9941,1.0,1.953,0.7055,0.9089
79,0.020676,0.9945,1.0,1.926,0.7079000000000001,0.9111
80,0.015741,0.9962000000000001,1.0,1.8909,0.705,0.9113
81,0.015367,0.996,1.0,1.9378,0.7027,0.9087999999999999
82,0.014003,0.9965,1.0,1.9116,0.7065,0.9093000000000001
83,0.013039,0.9965999999999999,1.0,1.9025,0.7078,0.9101
84,0.012715,0.9969,1.0,1.9275,0.7043,0.9101
85,0.011735,0.9972,1.0,1.946,0.7037,0.9105
