Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8335,0.1063,0.3236,3.4676,0.1725,0.4416
1,3.1328,0.2245,0.5211,3.033,0.2463,0.5559000000000001
2,2.6784,0.311,0.6349,2.5121,0.3488,0.6758
3,2.3715,0.3735,0.7011,2.4035,0.39039999999999997,0.7073
4,2.1637,0.41950000000000004,0.7431,2.2246,0.42479999999999996,0.7404000000000001
5,2.0003,0.45740000000000003,0.7748999999999999,2.1949,0.43,0.7483
6,1.8694,0.4882,0.7987000000000001,1.9489,0.4855,0.7893000000000001
7,1.7572,0.5146999999999999,0.8192,1.9191,0.4939,0.7935
8,1.6622,0.5376,0.8340000000000001,1.9238,0.5007,0.7973
9,1.5667,0.5600999999999999,0.85,1.7957,0.5259,0.8126000000000001
10,1.4828,0.5824,0.8640000000000001,1.7336,0.5413,0.8258
11,1.4114,0.5985,0.8759999999999999,1.7627,0.542,0.8287
12,1.3445,0.6132,0.8845999999999999,1.7096,0.5474,0.8273999999999999
13,1.2815,0.6297999999999999,0.8943000000000001,1.6906,0.5589999999999999,0.8371
14,1.2168,0.6474,0.904,1.6691,0.5642,0.838
15,1.1655,0.6607,0.9107999999999999,1.6497,0.5675,0.8429000000000001
16,1.11,0.6747,0.9179,1.6337,0.5731,0.8429000000000001
17,1.0624,0.6864,0.9251999999999999,1.6268,0.5804,0.8487
18,1.0102,0.6979000000000001,0.9309000000000001,1.5804,0.5954999999999999,0.8562000000000001
19,0.95839,0.7127,0.9375,1.5736,0.5899,0.8551000000000001
20,0.90747,0.7254999999999999,0.9434,1.6583,0.5803,0.8498
21,0.85843,0.7394,0.9498000000000001,1.652,0.5882999999999999,0.8512000000000001
22,0.8192,0.7509999999999999,0.9534999999999999,1.6212,0.5943,0.8529000000000001
23,0.76821,0.7637999999999999,0.9597,1.6475,0.596,0.8592
24,0.73409,0.7723,0.9631000000000001,1.7084,0.5943999999999999,0.8584999999999999
25,0.69021,0.7862,0.9676,1.6771,0.5957,0.8556
26,0.64999,0.7956,0.971,1.6812,0.5998,0.8603000000000001
27,0.61099,0.8101,0.9751000000000001,1.6737,0.6054999999999999,0.8626999999999999
28,0.57642,0.8165,0.9792000000000001,1.7016,0.6084,0.86
29,0.54475,0.8289,0.9808,1.7688,0.6035,0.8578
30,0.51939,0.8331000000000001,0.983,1.7946,0.5995,0.8573000000000001
31,0.49576,0.8409,0.9839,1.8004,0.599,0.8556
32,0.45777,0.8534999999999999,0.9869,1.795,0.6103000000000001,0.8590000000000001
33,0.43208,0.8615999999999999,0.9889,1.8715,0.6029,0.8573000000000001
34,0.41487,0.8653,0.9904000000000001,1.8162,0.6107,0.8601000000000001
35,0.38694,0.8752,0.9915999999999999,1.9413,0.6001,0.8545999999999999
36,0.3696,0.8814,0.9921,1.9839,0.6023,0.8536
37,0.35191,0.8865000000000001,0.9923000000000001,1.9451,0.5989,0.8554999999999999
38,0.32764,0.8920999999999999,0.9945,1.9777,0.6061,0.8590000000000001
39,0.30275,0.9022,0.9947,1.9613,0.614,0.861
40,0.29958,0.9029,0.9953,2.0358,0.6077,0.8499
41,0.27567,0.9104000000000001,0.9958,2.0022,0.6115999999999999,0.8573999999999999
42,0.25733,0.9175,0.9967,1.9908,0.6146,0.8604
43,0.24122,0.9215000000000001,0.9973000000000001,2.0449,0.6199,0.8614
44,0.23254,0.9231999999999999,0.9975,2.0323,0.6209,0.8623999999999999
45,0.22227,0.9281,0.9973000000000001,2.0595,0.6213000000000001,0.8569
46,0.20408,0.9335,0.9979,2.1758,0.6104999999999999,0.8515999999999999
47,0.20816,0.9323999999999999,0.998,2.2152,0.6098,0.8549
48,0.20119,0.9344,0.9983,2.2059,0.6106,0.855
49,0.19066,0.937,0.9984999999999999,2.1168,0.6145,0.8606999999999999
