Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8,0.1144,0.33490000000000003,3.3387,0.1867,0.4729
1,3.0462,0.2371,0.5451,2.8959,0.275,0.6033
2,2.5507,0.3335,0.6638,2.35,0.38280000000000003,0.7101999999999999
3,2.1868,0.4122,0.74,2.3369,0.4086,0.7182999999999999
4,1.9331,0.4707,0.7913,2.0334,0.46259999999999996,0.7822
5,1.7384,0.514,0.8261,1.9235,0.48219999999999996,0.8
6,1.584,0.5518,0.8504,1.8005,0.5162,0.8197
7,1.4524,0.5861999999999999,0.8717,1.7192,0.5356000000000001,0.8276
8,1.3419,0.6154999999999999,0.8881999999999999,1.7092,0.5482,0.835
9,1.2446,0.639,0.9013,1.61,0.5697,0.8532
10,1.1557,0.6628000000000001,0.9140999999999999,1.5424,0.5847,0.862
11,1.0758,0.6818000000000001,0.9255,1.482,0.6046,0.871
12,1.0033,0.7021999999999999,0.9333,1.4696,0.6065999999999999,0.871
13,0.94084,0.7156,0.9408,1.4987,0.6009,0.8694
14,0.87291,0.7371,0.9484,1.3976,0.6265,0.8848
15,0.8177,0.7495,0.9543,1.4165,0.6368,0.8865000000000001
16,0.76022,0.7685,0.9604,1.4777,0.6335000000000001,0.8787999999999999
17,0.70976,0.7806000000000001,0.9652,1.4701,0.6321,0.8852
18,0.66123,0.7934,0.9706999999999999,1.5268,0.6286999999999999,0.882
19,0.61151,0.8073,0.9747,1.3984,0.6478,0.8906000000000001
20,0.56655,0.8214,0.9781,1.3823,0.6498,0.8952
21,0.5179,0.8366,0.9823000000000001,1.3903,0.6565000000000001,0.8983
22,0.49009,0.8459,0.9834999999999999,1.4218,0.6586,0.8946999999999999
23,0.45037,0.8573000000000001,0.9873000000000001,1.5016,0.6502,0.8873000000000001
24,0.41395,0.8684999999999999,0.9891,1.4421,0.6647,0.8989
25,0.37714,0.8783,0.9913,1.5004,0.6526000000000001,0.8956999999999999
26,0.34606,0.8861,0.993,1.4813,0.6623,0.8996999999999999
27,0.32157,0.8956000000000001,0.9944,1.562,0.6587000000000001,0.8887999999999999
28,0.29526,0.9043000000000001,0.9951000000000001,1.5121,0.6631999999999999,0.8996999999999999
29,0.27836,0.9087999999999999,0.9959,1.5258,0.6659999999999999,0.9015000000000001
30,0.25218,0.9181999999999999,0.9971,1.6257,0.6589,0.8923000000000001
31,0.23395,0.9238,0.9973000000000001,1.5861,0.6696,0.899
32,0.21914,0.9290999999999999,0.9976,1.5315,0.6806,0.9
33,0.19645,0.9372,0.9982,1.6062,0.6825,0.897
34,0.18453,0.9390000000000001,0.9984000000000001,1.5915,0.6799,0.9
35,0.17343,0.9442,0.9987,1.5957,0.6862,0.9
36,0.15738,0.9492,0.9991,1.6352,0.6784,0.8992
37,0.13676,0.9570000000000001,0.9994,1.605,0.691,0.9031999999999999
38,0.12824,0.9590000000000001,0.9993000000000001,1.6986,0.6778,0.8979
39,0.12859,0.9593,0.9993000000000001,1.6533,0.6866,0.9018999999999999
40,0.11865,0.9620000000000001,0.9995,1.6611,0.6907,0.9037000000000001
41,0.11002,0.965,0.9995,1.7227,0.6861,0.903
42,0.10499,0.9664,0.9997,1.6493,0.6931999999999999,0.9059999999999999
43,0.098492,0.9697,0.9995,1.6753,0.6918000000000001,0.9059999999999999
44,0.088446,0.9727,0.9995999999999999,1.6641,0.6890000000000001,0.9067000000000001
45,0.084604,0.9738,0.9997,1.7097,0.6927,0.9024
46,0.077909,0.9762000000000001,0.9998,1.7986,0.6840999999999999,0.8978
47,0.075138,0.977,0.9997,1.757,0.6892,0.9015000000000001
48,0.066422,0.9797,0.9998,1.7388,0.6964,0.9031999999999999
49,0.066861,0.9795999999999999,0.9997,1.7682,0.6945999999999999,0.902
