Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.7853,0.122,0.3378,3.4868,0.1761,0.4547
1,3.0611,0.2372,0.5389,3.038,0.25920000000000004,0.5566
2,2.5798,0.3307,0.6542,2.675,0.3336,0.6531999999999999
3,2.2246,0.4053,0.7343999999999999,2.2357,0.4163,0.7367
4,1.9493,0.46590000000000004,0.7885,2.0731,0.4486,0.7734000000000001
5,1.7544,0.5114,0.8229000000000001,1.9568,0.4867,0.7902
6,1.5988,0.5479999999999999,0.8486,1.7548,0.5207999999999999,0.8284999999999999
7,1.4549,0.5816,0.8703,1.7429,0.5381,0.8284
8,1.3448,0.6133,0.8856,1.6602,0.5529,0.8409
9,1.2512,0.6359,0.9007999999999999,1.6562,0.5626,0.848
10,1.153,0.6611,0.9147,1.6456,0.562,0.8428
11,1.0753,0.6831,0.9238,1.6015,0.5729,0.8565
12,0.99877,0.7029000000000001,0.9334,1.5516,0.5907,0.8631
13,0.93021,0.72,0.9427,1.4512,0.6119,0.8734000000000001
14,0.86557,0.7371,0.9495999999999999,1.6663,0.5756,0.8606
15,0.81443,0.7523000000000001,0.9533,1.4643,0.6209,0.8792
16,0.75738,0.7656999999999999,0.9609000000000001,1.561,0.6151,0.8726
17,0.6929,0.7859999999999999,0.9675,1.61,0.6091,0.8653
18,0.64097,0.8012,0.9712000000000001,1.4964,0.6262,0.8824
19,0.59709,0.8122,0.9754,1.4344,0.648,0.8896999999999999
20,0.5542,0.8249,0.9791,1.5082,0.6349,0.883
21,0.50312,0.8411,0.9828,1.4818,0.6448,0.8926000000000001
22,0.46952,0.8497,0.9854,1.5964,0.634,0.8824
23,0.42788,0.8633,0.9883,1.6372,0.6292,0.8785
24,0.38917,0.8753,0.9906999999999999,1.5182,0.6567000000000001,0.8936
25,0.35802,0.8837,0.9926999999999999,1.5739,0.6494,0.8896
26,0.32587,0.8943000000000001,0.9937999999999999,1.6148,0.6494,0.8884000000000001
27,0.30147,0.8998999999999999,0.9952,1.591,0.6579999999999999,0.8916
