Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.766,0.1241,0.34380000000000005,3.4819,0.1771,0.4562
1,3.0126,0.2446,0.5529,2.8938,0.2718,0.594
2,2.5145,0.3423,0.6695,2.7342,0.3419,0.657
3,2.1648,0.4158,0.7456,2.2292,0.4181,0.7395999999999999
4,1.9052,0.4758,0.794,2.0031,0.4642,0.7822
5,1.7209,0.5186,0.8276,2.1525,0.457,0.7648999999999999
6,1.5653,0.5539999999999999,0.8539,1.8573,0.511,0.8123
7,1.4316,0.5896,0.873,1.709,0.5446,0.8378
8,1.3219,0.6178,0.8889,1.749,0.5398,0.8327
9,1.2306,0.6401,0.9035,1.6348,0.561,0.8451000000000001
10,1.1473,0.6638,0.9147,1.6461,0.5697,0.8533
11,1.0612,0.684,0.9259999999999999,1.601,0.5672999999999999,0.8556999999999999
12,0.99072,0.7023,0.935,1.5831,0.5832,0.8565999999999999
13,0.91798,0.7216,0.9444,1.4874,0.6093999999999999,0.8724
14,0.8568,0.7403,0.9495999999999999,1.5,0.6107,0.8759
15,0.80522,0.7547,0.9561,1.4704,0.6209,0.8763
16,0.7478,0.7687999999999999,0.9621999999999999,1.4318,0.6327,0.8861
17,0.69419,0.7853,0.9672,1.5161,0.6218,0.8726
18,0.64638,0.7987000000000001,0.9712000000000001,1.4323,0.6389,0.8881
19,0.59118,0.8149,0.9761,1.4677,0.6386,0.8856
20,0.55555,0.826,0.9784,1.4687,0.6441,0.8845000000000001
21,0.51445,0.8356999999999999,0.9821,1.5709,0.6281,0.8861
22,0.4667,0.85,0.9859,1.5939,0.632,0.8843000000000001
23,0.42277,0.8642,0.9886,1.5928,0.6391,0.8869
24,0.39426,0.8729,0.9904000000000001,1.5684,0.6439,0.8845999999999999
25,0.35641,0.8855,0.9924,1.5645,0.6467,0.8887999999999999
26,0.33285,0.8923000000000001,0.9940000000000001,1.606,0.6474,0.8887999999999999
27,0.30243,0.9016,0.9951000000000001,1.5612,0.653,0.8959
28,0.27969,0.9086,0.9959,1.6198,0.6495000000000001,0.8922
29,0.25675,0.9175,0.9962000000000001,1.6102,0.6623,0.8946
30,0.23681,0.9239,0.9969,1.596,0.6634,0.8952
31,0.20957,0.9319,0.9981,1.6559,0.6629999999999999,0.8962
32,0.19558,0.9364,0.9983,1.6695,0.6591,0.8905
33,0.17948,0.9419,0.9984000000000001,1.6234,0.6686,0.8979
34,0.15891,0.9481999999999999,0.9989,1.6365,0.6733,0.9020999999999999
35,0.14718,0.9529000000000001,0.9991,1.7469,0.6643000000000001,0.8986
36,0.13965,0.9558,0.9992,1.7409,0.6656,0.8974
37,0.12729,0.9595,0.9994,1.6938,0.6739,0.8993000000000001
38,0.11793,0.9629000000000001,0.9994,1.6865,0.675,0.9007
39,0.11347,0.9634,0.9995999999999999,1.7131,0.6734,0.8987999999999999
40,0.10308,0.9675,0.9997,1.7584,0.6793,0.9
41,0.1006,0.9678,0.9997,1.8541,0.6677,0.8970999999999999
42,0.098114,0.9682999999999999,0.9997,1.7508,0.6770999999999999,0.9023
43,0.082267,0.9752,0.9998,1.7653,0.6794,0.903
44,0.084846,0.9740000000000001,0.9995999999999999,1.8629,0.672,0.8959999999999999
45,0.077006,0.9756999999999999,0.9997,1.8083,0.6729999999999999,0.9009999999999999
46,0.076321,0.9756,0.9998999999999999,1.8326,0.6779000000000001,0.9026000000000001
47,0.069245,0.9792000000000001,0.9998999999999999,1.91,0.6684,0.8965000000000001
48,0.065832,0.9797,0.9998999999999999,1.7981,0.69,0.9085
49,0.06089,0.9818000000000001,1.0,1.873,0.6816,0.9006000000000001
50,0.058746,0.9825,0.9998999999999999,1.8306,0.6854,0.9017000000000001
51,0.053165,0.9843999999999999,0.9998999999999999,1.8636,0.6851,0.9031
52,0.054223,0.9840000000000001,0.9998999999999999,1.9023,0.6809999999999999,0.9027
53,0.04389,0.9873999999999999,0.9998999999999999,1.8443,0.6881999999999999,0.903
54,0.043179,0.9875,1.0,1.883,0.6875,0.9007
55,0.042454,0.9878,1.0,1.8591,0.6801,0.9044
56,0.040472,0.9883,1.0,1.8226,0.6909000000000001,0.9045000000000001
57,0.032855,0.991,1.0,1.8379,0.6920999999999999,0.9051
58,0.02722,0.9933,1.0,1.8179,0.6964,0.9083
59,0.02885,0.9922,1.0,1.836,0.6965,0.909
60,0.028977,0.9919,1.0,1.8421,0.6951999999999999,0.9056000000000001
61,0.026451,0.9932,1.0,1.8505,0.6940999999999999,0.905
62,0.032083,0.9913,1.0,1.8759,0.6940999999999999,0.9063
63,0.026153,0.9934000000000001,1.0,1.8929,0.6931,0.9031
64,0.023457,0.9943000000000001,1.0,1.9136,0.6872,0.9064
65,0.027205,0.9923000000000001,1.0,1.9895,0.6890999999999999,0.9001
66,0.029899,0.9918,1.0,1.9295,0.6938,0.9034
67,0.024341,0.9934999999999999,1.0,1.9188,0.6965,0.9054000000000001
