Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.7852,0.11900000000000001,0.33630000000000004,3.493,0.1724,0.4487
1,3.0648,0.23440000000000003,0.5392,3.098,0.2398,0.5458
2,2.5543,0.3326,0.6622,2.6491,0.3454,0.6644
3,2.18,0.4133,0.7437,2.1754,0.42219999999999996,0.7465999999999999
4,1.9105,0.475,0.7948000000000001,2.0912,0.45740000000000003,0.7714
5,1.7242,0.5175,0.8277,2.0298,0.47700000000000004,0.779
6,1.5687,0.5553,0.8525,1.8237,0.5096,0.8145
7,1.4293,0.5893999999999999,0.8739,1.6861,0.542,0.8370000000000001
8,1.3208,0.6207,0.8901,1.6277,0.5613,0.8471
9,1.2317,0.6406999999999999,0.9045000000000001,1.5654,0.5801,0.8538
10,1.1374,0.6663,0.9156,1.5241,0.5851,0.8633
11,1.0621,0.6835,0.9259999999999999,1.6936,0.5648,0.8456999999999999
12,0.99153,0.7033,0.9345,1.6099,0.5814,0.8473
13,0.91273,0.7253000000000001,0.9434,1.5409,0.603,0.8619
14,0.85952,0.7408,0.9490999999999999,1.5556,0.6011,0.8695999999999999
15,0.80175,0.7537999999999999,0.9561,1.4255,0.6267,0.8834000000000001
16,0.74743,0.7694,0.9615,1.5587,0.6114999999999999,0.8714
17,0.69183,0.7856000000000001,0.9667,1.4597,0.6325,0.882
18,0.64392,0.8,0.9725,1.4753,0.6324000000000001,0.8791
19,0.59074,0.8144,0.9763,1.5475,0.6247,0.8792
20,0.55379,0.8256,0.9795,1.5116,0.6346,0.8854000000000001
21,0.50757,0.8384999999999999,0.9828,1.4894,0.6426999999999999,0.8856999999999999
22,0.46623,0.8529000000000001,0.9853000000000001,1.5375,0.6388,0.8886
23,0.42966,0.8626999999999999,0.9879000000000001,1.478,0.6559999999999999,0.8934000000000001
24,0.39882,0.8714,0.9904999999999999,1.734,0.6085,0.8691
25,0.36638,0.8817,0.9923000000000001,1.5294,0.6524,0.8915000000000001
26,0.33242,0.8914,0.9932,1.5308,0.6568999999999999,0.8937999999999999
27,0.3008,0.9022,0.9952,1.6011,0.6552,0.8925
28,0.27561,0.9115000000000001,0.9959,1.5727,0.6562,0.8962
29,0.26064,0.9145,0.9963,1.5833,0.6624,0.8956999999999999
30,0.23603,0.9243000000000001,0.997,1.6591,0.6614,0.8968
31,0.21115,0.9315000000000001,0.9978,1.5641,0.6767,0.9029
32,0.20537,0.9333,0.9983,1.7497,0.6531999999999999,0.8883
33,0.19124,0.9387000000000001,0.9983,1.5605,0.6745,0.903
34,0.16929,0.9443,0.9987999999999999,1.7211,0.6670999999999999,0.8946
35,0.15402,0.9520000000000001,0.9987999999999999,1.7668,0.6670999999999999,0.8946999999999999
36,0.14397,0.9540000000000001,0.9990000000000001,1.6331,0.6814,0.8985
37,0.13694,0.9568000000000001,0.9993000000000001,1.6984,0.6779000000000001,0.8981999999999999
38,0.12076,0.9616,0.9994,1.7262,0.6731999999999999,0.9
39,0.1136,0.9638,0.9995999999999999,1.7763,0.6714,0.8939
40,0.10423,0.9679000000000001,0.9995999999999999,1.7021,0.6868000000000001,0.9042
41,0.093593,0.9721,0.9997,1.7782,0.6714,0.8974
42,0.094136,0.9702,0.9995999999999999,1.8079,0.6754000000000001,0.8955
43,0.082522,0.9752,0.9997,1.6764,0.691,0.9067000000000001
44,0.07442,0.9769,0.9998,1.7802,0.6872,0.8987
45,0.075083,0.9773000000000001,0.9997,1.7607,0.6916,0.9059
46,0.071333,0.9783,0.9998999999999999,1.7757,0.6878,0.9046
47,0.071868,0.9778,0.9998999999999999,1.8421,0.6817,0.9009
48,0.067949,0.9795,0.9998,1.7565,0.6915,0.9037999999999999
49,0.063855,0.9806,0.9998,1.7613,0.6873,0.9072
50,0.05761,0.9823999999999999,0.9998,1.8508,0.6883,0.8994
51,0.060599,0.9815,0.9997,1.8204,0.6912,0.9023
52,0.056358,0.9836,0.9998999999999999,1.783,0.696,0.9039
53,0.048054,0.986,1.0,1.8243,0.7006999999999999,0.9059999999999999
54,0.045534,0.9865999999999999,0.9998999999999999,1.8623,0.6928,0.9059
55,0.039886,0.9887,1.0,1.7994,0.6975,0.9067000000000001
56,0.03638,0.9901000000000001,1.0,1.8307,0.6967,0.9070999999999999
57,0.038191,0.9890000000000001,1.0,1.8072,0.6999,0.9052
58,0.036373,0.9894,1.0,1.8948,0.6908,0.9034
59,0.03449,0.9901000000000001,1.0,1.8129,0.6984999999999999,0.9064
60,0.036302,0.9895,1.0,1.8529,0.6995,0.9065000000000001
61,0.039149,0.988,1.0,1.9793,0.6817,0.9001
62,0.035535,0.99,0.9998999999999999,1.8501,0.6994,0.9075
63,0.031011,0.9914000000000001,1.0,1.8893,0.6951,0.909
64,0.033684,0.9901000000000001,0.9998999999999999,1.8847,0.6927,0.9041
65,0.029067,0.9919,1.0,1.8215,0.7036,0.9092
66,0.025065,0.9934000000000001,1.0,1.808,0.7070000000000001,0.9098999999999999
67,0.027297,0.9919,1.0,1.8793,0.7020000000000001,0.9081999999999999
68,0.027248,0.992,1.0,1.8654,0.6990999999999999,0.9078
69,0.025651,0.9925,1.0,1.8868,0.6981,0.9064
70,0.028332,0.9918,1.0,1.8863,0.6999,0.9066
71,0.022219,0.9940000000000001,1.0,1.8657,0.7073,0.9089
72,0.0217,0.9941,1.0,1.8703,0.7021999999999999,0.9094
73,0.020905,0.9945,1.0,1.8723,0.703,0.9089
74,0.020155,0.9947,1.0,1.9087,0.7012999999999999,0.9068
75,0.022083,0.9939,1.0,1.9615,0.6997,0.9061
76,0.025058,0.9931,1.0,1.9585,0.6990000000000001,0.9059999999999999
77,0.019481,0.9948999999999999,1.0,1.9054,0.7073,0.9039
78,0.016654,0.9956999999999999,1.0,1.898,0.7040000000000001,0.9072
79,0.016161,0.9956999999999999,1.0,1.9113,0.7056,0.9052
80,0.014809,0.9961,1.0,1.9632,0.7001999999999999,0.9047
81,0.018784,0.9948999999999999,1.0,1.9683,0.6979000000000001,0.9046
82,0.01792,0.9953,1.0,1.9346,0.698,0.9053
83,0.018631,0.9945999999999999,1.0,1.9323,0.7041,0.9029
84,0.017964,0.9954999999999999,1.0,1.9401,0.7062999999999999,0.9087999999999999
85,0.014046,0.9965,1.0,1.9158,0.7051999999999999,0.9104000000000001
86,0.013095,0.997,1.0,1.8835,0.708,0.9096
87,0.01111,0.9973000000000001,1.0,1.8975,0.7093,0.909
88,0.011236,0.9974,1.0,1.8911,0.7117,0.9077
89,0.010788,0.9973000000000001,1.0,1.9024,0.7121,0.9083
90,0.012276,0.9968,1.0,1.9062,0.7067,0.9087999999999999
91,0.012545,0.9965,1.0,1.9356,0.7078,0.9109
92,0.010304,0.9976,1.0,1.9355,0.7089,0.9085
93,0.011996,0.9967,1.0,1.9341,0.7095999999999999,0.9086
94,0.011541,0.997,1.0,1.9242,0.7067,0.9070999999999999
95,0.010475,0.9974,1.0,1.9553,0.7071,0.9087000000000001
96,0.010882,0.9975,1.0,1.906,0.7119,0.9094
97,0.011259,0.9972,1.0,1.9606,0.7044,0.9116
98,0.01168,0.997,1.0,2.0082,0.7005,0.9037000000000001
99,0.01108,0.9971,1.0,1.9914,0.7029000000000001,0.9078
100,0.011837,0.997,1.0,1.955,0.7071,0.9096
101,0.010094,0.9975,1.0,1.9011,0.7091,0.9109999999999999
102,0.013916,0.9961,1.0,1.986,0.7065,0.9076000000000001
103,0.011288,0.9973000000000001,1.0,1.9549,0.7093,0.9106000000000001
104,0.0092467,0.9979,1.0,1.9169,0.7117,0.9109
105,0.0093475,0.9976,1.0,1.925,0.7095,0.9072
106,0.0096626,0.9976999999999999,1.0,1.9618,0.7073,0.9109
107,0.0088187,0.998,1.0,1.9003,0.7164,0.9104000000000001
108,0.0074488,0.9984999999999999,1.0,1.9124,0.7167,0.9089
109,0.0072728,0.9984000000000001,1.0,1.9025,0.7147,0.9115000000000001
110,0.0058574,0.9986,1.0,1.9079,0.7101999999999999,0.9135
111,0.006945,0.9984999999999999,1.0,1.9408,0.713,0.9105
112,0.0088912,0.9978,1.0,1.9667,0.7088,0.9106000000000001
113,0.0075466,0.9981,1.0,1.9419,0.7136,0.9097
114,0.0064358,0.9984000000000001,1.0,1.9447,0.7132999999999999,0.912
115,0.0054103,0.9989,1.0,1.9129,0.7181000000000001,0.9107
116,0.0062597,0.9984999999999999,1.0,1.9249,0.7167,0.9113
117,0.0045758,0.9990000000000001,1.0,1.92,0.7156999999999999,0.912
118,0.0056533,0.9987,1.0,1.9218,0.713,0.9112
119,0.0053078,0.9987,1.0,1.9252,0.7095999999999999,0.9126000000000001
120,0.0046614,0.9990000000000001,1.0,1.9003,0.7192000000000001,0.9131999999999999
121,0.0048374,0.9989,1.0,1.9576,0.7141,0.9107999999999999
122,0.0041709,0.9992,1.0,1.8984,0.7184,0.9129
123,0.0038808,0.9992,1.0,1.9335,0.7167,0.9147
124,0.0044645,0.9990000000000001,1.0,1.952,0.7151000000000001,0.9118999999999999
125,0.0047719,0.9989,1.0,1.9842,0.7139,0.9102
126,0.0054966,0.9987,1.0,1.9545,0.7119,0.9103
127,0.0046715,0.9990000000000001,1.0,1.935,0.7179000000000001,0.9105
128,0.0047372,0.9990000000000001,1.0,1.9683,0.7132999999999999,0.9101
129,0.00467,0.9989,1.0,1.9789,0.7136,0.9096
130,0.0049341,0.9987999999999999,1.0,1.972,0.7119,0.9109999999999999
131,0.0052407,0.9989,1.0,1.966,0.713,0.9086
132,0.00506,0.9987999999999999,1.0,1.9818,0.7121999999999999,0.9084
133,0.0046894,0.9989,1.0,1.9764,0.7116,0.912
134,0.0036017,0.9991,1.0,1.9806,0.7117,0.9109999999999999
135,0.0053911,0.9984999999999999,1.0,1.9822,0.7070000000000001,0.9109
136,0.0060523,0.9984000000000001,1.0,2.0057,0.7097,0.9097
137,0.0050474,0.9987999999999999,1.0,1.9866,0.7138,0.9093000000000001
138,0.0037435,0.9992,1.0,1.9537,0.7159,0.9125
139,0.0046238,0.9989,1.0,1.9691,0.7111,0.9118
140,0.0053673,0.9987,1.0,1.9717,0.715,0.9112
141,0.0033251,0.9993000000000001,1.0,1.9471,0.7162999999999999,0.9139
142,0.0041476,0.9990000000000001,1.0,1.9361,0.7176,0.915
143,0.0034097,0.9993000000000001,1.0,1.9601,0.7152,0.912
144,0.0029393,0.9995,1.0,1.9249,0.7166,0.9122
145,0.0032854,0.9994,1.0,1.9529,0.7155,0.9098999999999999
146,0.003518,0.9991,1.0,1.9828,0.71,0.9096
147,0.0042567,0.9990000000000001,1.0,1.9837,0.7155,0.9079
148,0.0041874,0.9990000000000001,1.0,1.9545,0.7134999999999999,0.9096
149,0.004624,0.9987999999999999,1.0,1.9544,0.716,0.9128000000000001
