Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6052,0.0102,0.0506,4.6022,0.01,0.061500000000000006
1,4.514,0.0199,0.0931,4.3544,0.0387,0.1514
2,4.2108,0.0463,0.1868,4.0204,0.0755,0.2563
3,3.9883,0.0779,0.2641,3.8086,0.11130000000000001,0.32789999999999997
4,3.8141,0.1043,0.32289999999999996,3.6899,0.12869999999999998,0.3763
5,3.6497,0.1324,0.3759,3.4657,0.1732,0.4357
6,3.4951,0.16,0.4204,3.28,0.2003,0.4841
7,3.3466,0.1888,0.46619999999999995,3.2734,0.2095,0.4866
8,3.1971,0.2158,0.5045000000000001,2.9385,0.2692,0.5690999999999999
9,3.0676,0.2391,0.5396,2.8745,0.28059999999999996,0.5871999999999999
10,2.9391,0.2632,0.5718,2.7172,0.31170000000000003,0.6265
11,2.8247,0.2854,0.6015,2.6112,0.3328,0.6462
12,2.7139,0.3098,0.6253,2.4627,0.36329999999999996,0.6790999999999999
13,2.6044,0.3262,0.648,2.4108,0.3738,0.69
14,2.5148,0.3481,0.6690999999999999,2.3758,0.38689999999999997,0.6989
15,2.4106,0.3665,0.6949,2.3128,0.4018,0.7151000000000001
16,2.319,0.38909999999999995,0.7112999999999999,2.2463,0.41229999999999994,0.7301000000000001
17,2.2265,0.40630000000000005,0.7317,2.0872,0.445,0.7552
18,2.1645,0.4227,0.7445999999999999,1.9868,0.467,0.768
19,2.0679,0.4436,0.7623000000000001,2.0537,0.46409999999999996,0.7636
20,1.9987,0.4585,0.7785,2.0149,0.4633,0.7673000000000001
21,1.9316,0.4721,0.7923,1.8805,0.4975,0.7918999999999999
22,1.8763,0.4869,0.8026000000000001,1.8598,0.5019,0.7955
23,1.8104,0.4987,0.8131,1.804,0.5111,0.8075
24,1.7485,0.5146999999999999,0.8240000000000001,1.7925,0.5111,0.8096
25,1.6999,0.5245000000000001,0.8321999999999999,1.7593,0.5239,0.8122
26,1.655,0.5376,0.8393,1.7452,0.525,0.8158
27,1.6014,0.5488000000000001,0.8504999999999999,1.7584,0.5236,0.8105
28,1.5598,0.5574,0.8545999999999999,1.693,0.5418,0.8209000000000001
29,1.5182,0.5666,0.8632,1.6322,0.5538000000000001,0.8327
30,1.4674,0.5805,0.8693000000000001,1.6224,0.5613,0.8353
31,1.4253,0.5927,0.8776999999999999,1.7218,0.5381,0.8210999999999999
32,1.4037,0.5949,0.8797,1.6416,0.5548,0.8323999999999999
33,1.3597,0.6084,0.8859999999999999,1.6252,0.5615,0.8382
34,1.3232,0.6153,0.894,1.5675,0.5737,0.8447
35,1.2798,0.6225,0.9011,1.5896,0.5725,0.8420000000000001
36,1.2515,0.6347,0.9031999999999999,1.5554,0.5772999999999999,0.8445999999999999
37,1.218,0.6416,0.9068999999999999,1.6179,0.5687,0.8358
38,1.1905,0.65,0.9113,1.5593,0.5805,0.8477
39,1.1589,0.6548,0.9156,1.5533,0.5807,0.8478
40,1.1292,0.6636,0.9201,1.6054,0.5758,0.8447
41,1.1052,0.6727,0.9243000000000001,1.5545,0.5866,0.8477
42,1.0748,0.6770999999999999,0.9281999999999999,1.5865,0.5816,0.8439
43,1.0565,0.6812999999999999,0.9304000000000001,1.5714,0.5972,0.8529000000000001
44,1.024,0.6911,0.9342,1.5336,0.5954999999999999,0.8561
45,0.99998,0.6973999999999999,0.9378,1.5736,0.5826,0.8497
46,0.97448,0.7051999999999999,0.9408,1.5325,0.5949,0.8590000000000001
47,0.95489,0.7098,0.9443,1.5731,0.5869,0.8527
48,0.93285,0.7139,0.9472,1.5661,0.59,0.8511
49,0.91681,0.7193999999999999,0.948,1.6476,0.5782,0.8454999999999999
50,0.89566,0.7237,0.9515,1.5829,0.5954,0.8537
51,0.87702,0.7317,0.9517,1.539,0.6061,0.8588
52,0.85293,0.7372,0.9542,1.5818,0.596,0.8525
53,0.83169,0.7421,0.9584,1.5465,0.6023,0.8568000000000001
54,0.82513,0.7437,0.9581000000000001,1.5649,0.5965,0.8581
55,0.80306,0.7497,0.9612,1.562,0.6076,0.8542000000000001
56,0.79213,0.7522,0.9621999999999999,1.524,0.6061,0.8641
57,0.77489,0.7589,0.9648,1.616,0.6061,0.8575
