Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6046,0.0102,0.051500000000000004,4.592,0.0102,0.0512
1,4.4809,0.0242,0.10439999999999999,4.2422,0.0432,0.16820000000000002
2,4.1641,0.052199999999999996,0.204,3.9689,0.084,0.2701
3,3.9515,0.08289999999999999,0.278,3.7715,0.1202,0.34090000000000004
4,3.7747,0.1105,0.3342,3.6102,0.1412,0.38880000000000003
5,3.6093,0.13970000000000002,0.3885,3.404,0.1808,0.4524
6,3.4498,0.16760000000000003,0.43579999999999997,3.2266,0.21170000000000003,0.496
7,3.3003,0.1973,0.47740000000000005,3.1659,0.2254,0.5155
8,3.1496,0.22460000000000002,0.5162,2.8787,0.2766,0.5813
9,3.0222,0.248,0.5489,2.7888,0.29359999999999997,0.6034
10,2.8923,0.27449999999999997,0.5835,2.6694,0.3256,0.6404000000000001
11,2.7837,0.2939,0.6108,2.5731,0.3436,0.6528
12,2.6628,0.3185,0.6355,2.422,0.3715,0.6898000000000001
13,2.5609,0.3381,0.6605,2.4427,0.3714,0.6768000000000001
14,2.4665,0.3578,0.6816,2.4117,0.3762,0.6923
15,2.3645,0.3762,0.7045999999999999,2.2344,0.41729999999999995,0.732
16,2.2746,0.39590000000000003,0.7217,2.1727,0.43119999999999997,0.742
17,2.1929,0.41369999999999996,0.738,2.1101,0.4429,0.7512000000000001
18,2.1201,0.4304,0.754,1.996,0.4693,0.7663
19,2.0349,0.4493,0.7724,2.0329,0.46259999999999996,0.7675
20,1.9641,0.46630000000000005,0.7837000000000001,1.9537,0.4788,0.7787999999999999
21,1.8949,0.48,0.7961,1.8338,0.5081,0.7998000000000001
22,1.8405,0.4935,0.8078,1.8061,0.5146999999999999,0.8051
23,1.7817,0.5069,0.8156,1.8514,0.5084000000000001,0.8001999999999999
24,1.7208,0.5191,0.8305,1.7231,0.5304,0.8244
25,1.6623,0.5323,0.8382999999999999,1.7093,0.537,0.8177
26,1.6262,0.5446,0.8441,1.7216,0.5390999999999999,0.8166
27,1.5771,0.5576,0.8515999999999999,2.0658,0.46020000000000005,0.7562000000000001
28,1.5337,0.5622,0.8603000000000001,1.7141,0.5402,0.8177
29,1.4895,0.5761999999999999,0.8674,1.68,0.5428000000000001,0.825
30,1.4473,0.5869,0.8726,1.7293,0.5434,0.8207
31,1.412,0.594,0.8808,1.635,0.5615,0.8377
32,1.3753,0.6013000000000001,0.8856999999999999,1.6243,0.5625,0.8340000000000001
33,1.3374,0.6145,0.8901,1.6507,0.5603,0.8343
34,1.299,0.6214999999999999,0.8978,1.6149,0.5654,0.8369
35,1.2647,0.6275999999999999,0.9027,1.6345,0.561,0.8356
36,1.2303,0.6397999999999999,0.9048,1.6027,0.5746,0.8440000000000001
37,1.2033,0.6463,0.9093000000000001,1.603,0.5720000000000001,0.8378
38,1.1655,0.6570999999999999,0.9148999999999999,1.5776,0.5760000000000001,0.8415
39,1.154,0.6561,0.9167000000000001,1.515,0.5891,0.8536
40,1.1114,0.6711,0.9217,1.5563,0.5916,0.8551000000000001
41,1.0883,0.6746,0.9261,1.5727,0.5871,0.8492000000000001
42,1.0639,0.6805,0.9296,1.6003,0.5818,0.8434999999999999
43,1.0396,0.6873,0.9331999999999999,1.6118,0.5872999999999999,0.8482
44,1.0168,0.6911,0.9348000000000001,1.6068,0.5916,0.8495
45,0.99782,0.7005,0.9381999999999999,1.5937,0.5825,0.8509
46,0.96752,0.7051999999999999,0.9412,1.5621,0.5929,0.8529000000000001
47,0.94617,0.7121999999999999,0.9443,1.5784,0.5914,0.8454
48,0.92971,0.7173,0.9468000000000001,1.5195,0.5972,0.8531
49,0.90638,0.7191,0.9490999999999999,1.5303,0.598,0.8554999999999999
50,0.90077,0.7242000000000001,0.9501999999999999,1.5579,0.5941,0.8497
51,0.87004,0.7315999999999999,0.9525,1.5817,0.6022,0.8523000000000001
52,0.84742,0.7371,0.956,1.5856,0.6008,0.8571
53,0.83075,0.7426,0.9576,1.6436,0.5976,0.8538
54,0.81991,0.7487999999999999,0.9579000000000001,1.5868,0.6035,0.8501000000000001
55,0.80691,0.7502,0.9592,1.559,0.6042000000000001,0.8558
56,0.78569,0.7554000000000001,0.9634,1.5911,0.6021,0.8548
57,0.77112,0.7601,0.9634,1.5956,0.6008,0.8543999999999999
58,0.7558,0.7619,0.9654,1.6278,0.6011,0.8552
59,0.74675,0.7687,0.9666,1.5861,0.6129,0.8561
60,0.72341,0.7748999999999999,0.9684999999999999,1.6007,0.6088,0.8512000000000001
61,0.71026,0.7779,0.9687,1.6775,0.6034,0.853
62,0.70668,0.7784,0.9695,1.6339,0.6032,0.8529000000000001
63,0.69555,0.7823,0.9706999999999999,1.6411,0.6045,0.8528
64,0.68147,0.7868999999999999,0.9732999999999999,1.695,0.6032,0.8515999999999999
65,0.6731,0.7867000000000001,0.9731000000000001,1.6661,0.5989,0.8489
