Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6047,0.0101,0.0518,4.5937,0.0102,0.051699999999999996
1,4.4836,0.024300000000000002,0.1036,4.2467,0.0434,0.1686
2,4.1665,0.0516,0.20370000000000002,3.9719,0.0818,0.2707
3,3.9502,0.0834,0.2776,3.7738,0.1192,0.3419
4,3.773,0.1107,0.33649999999999997,3.6036,0.1432,0.392
5,3.6078,0.1392,0.3897,3.4108,0.18239999999999998,0.4556
6,3.4511,0.1686,0.4339,3.2152,0.2095,0.5
7,3.3014,0.1967,0.4769,3.192,0.2236,0.5122
8,3.1507,0.2229,0.517,2.8878,0.2778,0.5798
9,3.0221,0.248,0.5493,2.8193,0.2893,0.5984
10,2.8928,0.2733,0.583,2.6719,0.3221,0.6384000000000001
11,2.7843,0.29410000000000003,0.6093999999999999,2.5873,0.34259999999999996,0.6535
12,2.6702,0.3186,0.6351,2.4289,0.3649,0.6844
13,2.5653,0.3389,0.6585,2.3762,0.3859,0.6945999999999999
14,2.4727,0.3554,0.6808,2.4044,0.37810000000000005,0.6898000000000001
15,2.3736,0.3754,0.7019,2.2741,0.4079,0.7216
16,2.2817,0.3942,0.7209,2.1628,0.4315,0.7467
17,2.1994,0.41340000000000005,0.7376,2.1108,0.4384,0.7506
18,2.1227,0.42840000000000006,0.7526,1.9696,0.4704,0.7722
19,2.0338,0.4472,0.7726999999999999,2.013,0.4661,0.7673000000000001
20,1.9668,0.46520000000000006,0.7843000000000001,1.9337,0.4829,0.782
21,1.8972,0.48200000000000004,0.7961,1.884,0.4965,0.7904000000000001
22,1.8428,0.4926,0.8058,1.8134,0.51,0.8033
23,1.779,0.5074000000000001,0.8195,1.8195,0.5113,0.8040999999999999
24,1.7253,0.5197999999999999,0.8269,1.7795,0.5194,0.8111
25,1.675,0.5312,0.8358,1.7226,0.5362,0.8181999999999999
26,1.6259,0.5453,0.8431000000000001,1.7073,0.5354,0.8212999999999999
27,1.5823,0.5523,0.8508,1.8339,0.5047,0.7994
28,1.5311,0.5649000000000001,0.8602,1.7227,0.5341,0.8144
29,1.493,0.5735,0.8661,1.6412,0.5482,0.8326
30,1.4501,0.5854,0.8724,1.6538,0.5563,0.8348
31,1.4099,0.5936,0.8804000000000001,1.7112,0.5411,0.8215
32,1.3805,0.6025,0.8833,1.6214,0.5661999999999999,0.8339
33,1.3405,0.6124,0.8906000000000001,1.6202,0.5632,0.8392000000000001
34,1.2978,0.6225999999999999,0.8978,1.5613,0.5765,0.8411
35,1.2625,0.6321,0.9009,1.5705,0.5765,0.8426
36,1.2389,0.6379,0.9052,1.5614,0.5787,0.8451000000000001
37,1.2009,0.6456000000000001,0.9097,1.6047,0.5731,0.8398
38,1.1667,0.6535,0.9166,1.5459,0.5832999999999999,0.847
39,1.1494,0.6605,0.9168000000000001,1.5296,0.5865,0.8478
40,1.1135,0.6663,0.9225,1.5889,0.5796,0.8461
41,1.0909,0.6725,0.9265000000000001,1.5721,0.5842,0.8439
42,1.0622,0.6818000000000001,0.9303,1.5738,0.5834,0.8476
43,1.0441,0.6870999999999999,0.9311,1.5637,0.5871,0.8456999999999999
44,1.0144,0.6923,0.9373,1.579,0.5896,0.8482999999999999
45,0.98834,0.703,0.9384999999999999,1.5655,0.5870000000000001,0.8481000000000001
46,0.96762,0.7051999999999999,0.9423999999999999,1.5859,0.59,0.8504
47,0.94461,0.7136,0.9451,1.5437,0.5899,0.8497
48,0.92759,0.7166,0.9467,1.5532,0.5988,0.8551000000000001
49,0.9039,0.7212000000000001,0.9493,1.5453,0.5943,0.855
50,0.88691,0.7273000000000001,0.9515,1.5782,0.5887,0.8515
51,0.87039,0.7306,0.9534999999999999,1.5828,0.5975,0.8512000000000001
52,0.8474,0.7378,0.955,1.5873,0.5967,0.8497
53,0.82345,0.7465999999999999,0.9589,1.6387,0.5966,0.8549
54,0.81619,0.7472,0.9592,1.6154,0.5905,0.8488
