Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6046,0.0102,0.051500000000000004,4.591,0.0101,0.0506
1,4.4804,0.024300000000000002,0.1045,4.2582,0.0416,0.16449999999999998
2,4.1661,0.0525,0.2039,3.9765,0.0801,0.2698
3,3.9525,0.0824,0.2767,3.7763,0.1166,0.34009999999999996
4,3.7755,0.1109,0.3345,3.6586,0.138,0.3851
5,3.6108,0.139,0.3883,3.4061,0.18059999999999998,0.45409999999999995
6,3.4519,0.1668,0.435,3.233,0.20809999999999998,0.4935
7,3.3038,0.1972,0.47729999999999995,3.1835,0.223,0.5115
8,3.1524,0.2248,0.5157,2.9102,0.2713,0.5767
9,3.0282,0.2459,0.5489999999999999,2.8305,0.289,0.5938
10,2.8943,0.2723,0.5836,2.678,0.3207,0.6353
11,2.7905,0.2919,0.6073,2.5552,0.34869999999999995,0.6587000000000001
12,2.6747,0.3173,0.6334000000000001,2.4246,0.3676,0.6881999999999999
13,2.5701,0.33590000000000003,0.6589,2.4115,0.3759,0.6896
14,2.4755,0.3566,0.6814,2.3325,0.39649999999999996,0.7062
15,2.3736,0.3754,0.7020000000000001,2.2845,0.4073,0.7229000000000001
16,2.2784,0.396,0.7223,2.1282,0.4334,0.747
17,2.1989,0.4128,0.7371,2.1441,0.4335,0.7443000000000001
18,2.1264,0.42969999999999997,0.7521,1.9687,0.4765,0.772
19,2.038,0.4487,0.7716,2.01,0.4667,0.7696
20,1.9696,0.46380000000000005,0.782,1.9547,0.47600000000000003,0.7798999999999999
21,1.9032,0.4794,0.7968000000000001,1.8315,0.5119,0.7983
22,1.8465,0.4919,0.8059999999999999,1.826,0.5044,0.8046
23,1.7843,0.5055,0.8170999999999999,1.833,0.5115,0.7993000000000001
24,1.7207,0.5214,0.8299,1.8491,0.5011,0.8018000000000001
25,1.6724,0.5315,0.8373999999999999,1.7421,0.5304,0.8184
26,1.6307,0.5417000000000001,0.8443,1.7608,0.527,0.8146
27,1.5789,0.5553,0.8518000000000001,1.9223,0.4911,0.7842
28,1.5314,0.5659000000000001,0.8608,1.7489,0.5289,0.81
29,1.4885,0.5760000000000001,0.8671,1.6439,0.5553,0.8319
30,1.4586,0.5836,0.872,1.6829,0.5476,0.8269
31,1.4077,0.5974,0.8805,1.7414,0.5349,0.8146
32,1.3726,0.604,0.8859999999999999,1.6128,0.5643,0.8402
33,1.3374,0.6099,0.8905,1.6233,0.5635,0.8345
34,1.3044,0.6213000000000001,0.8946999999999999,1.5676,0.573,0.8426
35,1.2653,0.6302,0.9025,1.5825,0.5729,0.8369
