Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6057,0.009000000000000001,0.0463,4.6052,0.013600000000000001,0.05
1,4.6056,0.009000000000000001,0.0454,4.6051,0.0181,0.0538
2,4.6055,0.0096,0.048799999999999996,4.6048,0.0137,0.0596
3,4.6048,0.0109,0.054400000000000004,4.6012,0.0124,0.061
4,4.5074,0.0203,0.09390000000000001,4.3684,0.034300000000000004,0.1419
5,4.2654,0.0404,0.16820000000000002,4.1067,0.0701,0.22039999999999998
6,4.0803,0.06709999999999999,0.2376,3.9382,0.09210000000000002,0.2948
7,3.9028,0.0928,0.2981,3.7285,0.1257,0.35840000000000005
8,3.7538,0.1153,0.34259999999999996,3.6066,0.14730000000000001,0.3932
9,3.616,0.1412,0.3881,3.5427,0.1597,0.4264
10,3.4853,0.1635,0.4249,3.3116,0.19899999999999998,0.47700000000000004
11,3.3623,0.18460000000000001,0.4623,3.2104,0.21239999999999998,0.5015
12,3.2358,0.20980000000000001,0.49689999999999995,3.0078,0.2555,0.5552
13,3.1136,0.2318,0.5297,2.9379,0.2753,0.57
14,3.0006,0.25329999999999997,0.5579999999999999,2.8324,0.2917,0.5962
15,2.8917,0.2759,0.5826,2.7121,0.317,0.6282
16,2.7886,0.29710000000000003,0.6073,2.6626,0.3246,0.6386
17,2.6891,0.3155,0.6312,2.4938,0.3617,0.669
18,2.6043,0.3318,0.6513,2.4154,0.3795,0.6889
19,2.5098,0.35109999999999997,0.672,2.3767,0.39049999999999996,0.6984999999999999
20,2.4339,0.3654,0.6890000000000001,2.3931,0.3893,0.6931999999999999
21,2.3571,0.3839,0.7059000000000001,2.2067,0.4244,0.7306999999999999
22,2.2732,0.4019,0.7238,2.166,0.43320000000000003,0.7381
23,2.2059,0.4142,0.736,2.1998,0.43439999999999995,0.727
24,2.1362,0.428,0.7509999999999999,2.0847,0.4569,0.7506
25,2.072,0.4449,0.7643000000000001,2.0513,0.4633,0.7618
26,2.015,0.45409999999999995,0.7748999999999999,2.0301,0.46619999999999995,0.7658
27,1.9467,0.47130000000000005,0.7877,2.0201,0.46740000000000004,0.7641
28,1.9019,0.4829,0.7965000000000001,1.9201,0.49,0.7835
29,1.8489,0.4901,0.8051999999999999,1.8457,0.5073,0.7983
30,1.8014,0.5036,0.8153,1.8542,0.508,0.7970999999999999
31,1.7478,0.5158,0.8245999999999999,1.86,0.5107,0.7909999999999999
32,1.7113,0.5252,0.8311,1.8175,0.5212,0.8040999999999999
33,1.6783,0.5328,0.8349,1.8435,0.5126,0.8023
34,1.6436,0.5414,0.8423999999999999,1.8211,0.526,0.8001999999999999
35,1.5984,0.5497,0.85,1.8025,0.5222,0.8031
36,1.5643,0.5577000000000001,0.8562000000000001,1.8135,0.5257000000000001,0.8058
37,1.5235,0.5676,0.8626,1.774,0.5316,0.8097
38,1.4888,0.5760000000000001,0.8686,1.7902,0.5301,0.8090999999999999
39,1.4633,0.5811999999999999,0.8736,1.7639,0.5297,0.8111
40,1.4234,0.5905,0.8789,1.7424,0.5393,0.8148000000000001
41,1.3942,0.5982999999999999,0.8837999999999999,1.7734,0.5371,0.8151999999999999
42,1.3698,0.601,0.8876000000000001,1.7433,0.5465,0.8157
43,1.3474,0.61,0.8909999999999999,1.763,0.54,0.8145
44,1.3108,0.6199,0.8948,1.677,0.5573,0.8265
45,1.2946,0.6234000000000001,0.8981999999999999,1.7563,0.5436,0.8123999999999999
46,1.2756,0.6281,0.9024,1.7726,0.5444,0.8194
47,1.2509,0.6353,0.9048,1.7496,0.5461,0.8184999999999999
48,1.229,0.6382,0.9072,1.702,0.5597,0.8243
49,1.205,0.6448999999999999,0.9112,1.7227,0.563,0.8215
50,1.1842,0.6529,0.9152,1.7203,0.5527000000000001,0.8234
51,1.165,0.655,0.9166,1.749,0.5477000000000001,0.8181
52,1.1576,0.6594,0.9189,1.7594,0.5516,0.8201
53,1.1481,0.66,0.92,1.7088,0.5604,0.8276
54,1.1243,0.6655,0.9229,1.7532,0.5586,0.8206
55,1.116,0.6701999999999999,0.925,1.7713,0.5579,0.8201999999999999
56,1.1002,0.6714,0.9294,1.7474,0.5597,0.8267
57,1.0772,0.6806,0.9297,1.7741,0.5571,0.8277
58,1.0699,0.6801999999999999,0.9306,1.7318,0.5654,0.8256
59,1.05,0.6851999999999999,0.9339,1.7382,0.5636,0.8225
60,1.0515,0.6842,0.9339,1.7598,0.5589,0.823
61,1.0414,0.6883,0.9346,1.758,0.557,0.8240999999999999
62,1.0257,0.6948000000000001,0.9379000000000001,1.7711,0.5598,0.8204
63,1.0263,0.6929000000000001,0.9379000000000001,1.7628,0.5702,0.8225
64,1.006,0.6994,0.9395,1.8031,0.5550999999999999,0.8193
65,0.99753,0.6997,0.9387000000000001,1.7818,0.5611999999999999,0.8220999999999999
66,0.98401,0.7056999999999999,0.9436,1.836,0.5625,0.8173
67,0.99031,0.7038,0.9416,1.7949,0.5575,0.8228
68,0.95617,0.7123,0.9449,1.8063,0.5587,0.818
69,0.95167,0.715,0.9462999999999999,1.8403,0.5592,0.8214
70,0.95347,0.7132,0.9464,1.7782,0.5725,0.8254
71,0.93926,0.7158,0.9484999999999999,1.8521,0.5636,0.8204
72,0.93131,0.7182999999999999,0.9478,1.8729,0.5548,0.8172
73,0.9272,0.7204,0.9490999999999999,1.7656,0.5633,0.8237000000000001
74,0.91833,0.7249,0.9495,1.8276,0.5576,0.8201
75,0.91882,0.7240000000000001,0.9520000000000001,1.7969,0.5678,0.8308
76,0.91861,0.7240000000000001,0.9514,1.8558,0.5634,0.8206
77,0.90865,0.7292000000000001,0.9512999999999999,1.8295,0.5597,0.8199
78,0.90704,0.727,0.9512999999999999,1.7835,0.5660000000000001,0.8253
79,0.89885,0.7297,0.953,1.8116,0.563,0.8228
80,0.88797,0.7323000000000001,0.9543,1.8269,0.5637,0.8181999999999999
81,0.88165,0.7322,0.9559000000000001,1.8019,0.5722,0.8225
82,0.88384,0.7349,0.9544,1.825,0.5700999999999999,0.8204
83,0.87913,0.7382,0.9545999999999999,1.9057,0.5693,0.8226
84,0.88459,0.735,0.9545,1.864,0.5636,0.8199
85,0.86499,0.7404000000000001,0.956,1.8616,0.5589999999999999,0.8239
86,0.86871,0.7401000000000001,0.9567,1.8036,0.5683,0.8244
87,0.85389,0.7419,0.9578,1.8756,0.5688,0.8238
88,0.84294,0.747,0.9595999999999999,1.9275,0.5704,0.8195999999999999
89,0.83799,0.7469,0.9601999999999999,1.8426,0.5692,0.8240999999999999
90,0.83118,0.7487999999999999,0.9601999999999999,1.8719,0.5664,0.8209000000000001
91,0.84112,0.7472,0.9591,1.9033,0.565,0.8262
92,0.82875,0.7498,0.9617,1.9015,0.5635,0.8199
93,0.82549,0.7519,0.9601000000000001,1.9239,0.5642,0.8212999999999999
94,0.82015,0.7532,0.961,1.8916,0.5710999999999999,0.8229000000000001
95,0.81748,0.7545999999999999,0.9605,1.9223,0.5671,0.821
96,0.82806,0.7513,0.9609000000000001,1.8891,0.564,0.8194
97,0.82413,0.7513,0.9609000000000001,1.9118,0.5716,0.8226
98,0.80644,0.7559,0.963,1.958,0.5678,0.8217
99,0.81441,0.7565000000000001,0.9623,1.9167,0.5719,0.8203
