Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6056,0.009899999999999999,0.047599999999999996,4.6048,0.013600000000000001,0.055
1,4.6011,0.0116,0.0547,4.5647,0.0141,0.0582
2,4.4794,0.025099999999999997,0.1082,4.3092,0.0452,0.16829999999999998
3,4.2065,0.048499999999999995,0.19010000000000002,4.0441,0.0707,0.2557
4,4.0114,0.0764,0.26039999999999996,3.8538,0.10099999999999999,0.31079999999999997
5,3.8418,0.0978,0.3089,3.6916,0.1232,0.3642
6,3.7098,0.1201,0.354,3.5478,0.1589,0.4097
7,3.5801,0.1456,0.3948,3.3976,0.1807,0.4536
8,3.454,0.16670000000000001,0.4311,3.2624,0.2048,0.4804
9,3.3365,0.191,0.4658,3.1787,0.22440000000000002,0.5022
10,3.1996,0.2133,0.5032,2.9926,0.25730000000000003,0.5608
11,3.0893,0.2346,0.5341,2.9284,0.2701,0.5732
12,2.9719,0.2606,0.5614,2.7295,0.311,0.6184000000000001
13,2.8688,0.2766,0.5863,2.7214,0.31370000000000003,0.6195
14,2.7759,0.2986,0.6086,2.6322,0.3323,0.6404000000000001
15,2.6778,0.3145,0.6333,2.5233,0.3529,0.6653
16,2.5991,0.3307,0.6523,2.4692,0.3641,0.6803
17,2.5025,0.34909999999999997,0.6714,2.3341,0.3887,0.7048000000000001
18,2.4324,0.3654,0.6887000000000001,2.2198,0.4179,0.7268000000000001
19,2.3372,0.3824,0.7079000000000001,2.231,0.413,0.7292000000000001
20,2.2711,0.40159999999999996,0.7214,2.1969,0.4208,0.7345
21,2.1906,0.415,0.7409,2.1456,0.4339,0.7444
22,2.1252,0.42869999999999997,0.7536,2.0312,0.46020000000000005,0.7637999999999999
23,2.0527,0.44549999999999995,0.7670999999999999,2.0649,0.4571,0.7532
24,2.0013,0.4581,0.7777,2.0017,0.4667,0.7724
25,1.9373,0.4706,0.7903,1.8826,0.4946,0.7925
26,1.8841,0.4842,0.7988,1.8698,0.4979,0.7943000000000001
27,1.8287,0.4989,0.8086,1.917,0.4877,0.7854000000000001
28,1.774,0.5091,0.8187000000000001,1.8423,0.5045000000000001,0.7992
29,1.7301,0.5194,0.8251000000000001,1.7877,0.5182,0.8094
30,1.6837,0.5306000000000001,0.8325,1.7406,0.5272,0.8193
31,1.6409,0.5382,0.8436,1.777,0.5194,0.8148000000000001
32,1.598,0.5486,0.8486,1.731,0.531,0.8199
33,1.5537,0.5604,0.856,1.7571,0.5261,0.8157
34,1.5085,0.5703,0.8622,1.639,0.5556,0.8316
35,1.4673,0.5794,0.8706999999999999,1.6676,0.5486,0.8279000000000001
