Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6051,0.01,0.0506,4.6014,0.0104,0.0587
1,4.5066,0.021,0.0962,4.3389,0.042800000000000005,0.1558
2,4.1979,0.0484,0.19190000000000002,4.0071,0.0762,0.2594
3,3.9773,0.0793,0.2691,3.7874,0.1125,0.3344
4,3.8028,0.1058,0.32530000000000003,3.6521,0.1319,0.377
5,3.6398,0.134,0.3786,3.4471,0.1754,0.4409
6,3.4847,0.16210000000000002,0.4249,3.2549,0.20420000000000002,0.48560000000000003
7,3.3378,0.192,0.4675,3.2254,0.2188,0.4965
8,3.1856,0.2173,0.5077,2.9593,0.2601,0.5635
9,3.0566,0.24170000000000003,0.5412,2.8262,0.2851,0.5954999999999999
10,2.9248,0.2668,0.5746,2.7238,0.3125,0.6214999999999999
11,2.818,0.287,0.5998,2.6147,0.3333,0.6485
12,2.6989,0.3124,0.6291,2.4467,0.36829999999999996,0.6831
13,2.596,0.33020000000000005,0.6507999999999999,2.3982,0.3746,0.69
14,2.4982,0.3513,0.6731999999999999,2.3357,0.3899,0.7014
15,2.3963,0.3704,0.6981999999999999,2.2981,0.40270000000000006,0.7162999999999999
16,2.3054,0.3932,0.7142000000000001,2.1825,0.4268,0.7414000000000001
17,2.2196,0.40880000000000005,0.7337,2.1017,0.4411,0.7526999999999999
18,2.1471,0.42590000000000006,0.7492,1.9794,0.4754,0.7717
19,2.0593,0.4451,0.7648999999999999,2.0257,0.465,0.7659999999999999
20,1.9919,0.4598,0.7796,1.9436,0.48210000000000003,0.7801
21,1.9216,0.4746,0.7906,1.8557,0.5014,0.7955
22,1.8553,0.49,0.8059999999999999,1.8254,0.5053,0.8034
23,1.8027,0.5031,0.8140000000000001,1.8786,0.5001,0.7935
24,1.7384,0.518,0.8245,1.777,0.516,0.8111
25,1.6918,0.5262,0.8327,1.7205,0.5315,0.8198000000000001
26,1.6465,0.5398,0.8395,1.7385,0.5263,0.8197
27,1.5904,0.5529999999999999,0.8499,1.7773,0.5175,0.8145
28,1.5466,0.5624,0.8572,1.7086,0.5353,0.818
29,1.5061,0.5700999999999999,0.8632,1.6365,0.55,0.8344
30,1.4635,0.5851,0.8695999999999999,1.6417,0.5579999999999999,0.8326
31,1.4148,0.5937,0.8797,1.6187,0.5614,0.8344
32,1.3842,0.6014,0.8843000000000001,1.5786,0.5689,0.8415
33,1.3423,0.6089,0.8901,1.6648,0.5546,0.8306
34,1.3082,0.617,0.894,1.5696,0.5698,0.8451000000000001
35,1.2725,0.6292,0.8996,1.5418,0.5820000000000001,0.8434
36,1.2439,0.6351,0.9029,1.5871,0.5726,0.8389
37,1.2115,0.6444,0.9083,1.6215,0.5608,0.8347
38,1.169,0.6547,0.9152,1.5448,0.5832,0.8490000000000001
39,1.1496,0.6591,0.9181999999999999,1.5612,0.5831000000000001,0.8454
40,1.1203,0.6675,0.9212,1.5193,0.5921,0.8582
41,1.0933,0.6734,0.9255,1.5912,0.5746,0.8421
42,1.0673,0.679,0.9297,1.5468,0.5847,0.851
43,1.042,0.6854,0.9311,1.5666,0.5868,0.85
44,1.0191,0.6947,0.9357,1.5925,0.5811,0.8506999999999999
45,0.99785,0.6977,0.9378,1.5807,0.5798,0.8431000000000001
46,0.97105,0.7049,0.9408,1.5535,0.5941,0.8529000000000001
47,0.9479,0.7128,0.9434999999999999,1.5475,0.5907,0.8540000000000001
48,0.92379,0.7159,0.9465,1.4982,0.6075,0.8604
49,0.91181,0.7214,0.9484999999999999,1.5807,0.5901,0.8475
50,0.89098,0.7287,0.9504,1.5238,0.5987,0.8533
51,0.86545,0.7343000000000001,0.9529000000000001,1.6112,0.5854,0.8454
52,0.84502,0.7386,0.9548000000000001,1.5565,0.5966,0.8508
53,0.82821,0.7434000000000001,0.9581999999999999,1.5941,0.6017,0.8543999999999999
54,0.81395,0.7479,0.9605,1.5837,0.6002000000000001,0.8543000000000001
55,0.7931,0.7506999999999999,0.9616,1.5731,0.6043,0.8503000000000001
56,0.78233,0.7574,0.9618000000000001,1.5589,0.606,0.8561
57,0.76314,0.7633,0.9653,1.5787,0.6059,0.8562000000000001
58,0.75646,0.7648,0.9648,1.6298,0.6041,0.8515
59,0.73902,0.7709999999999999,0.9676,1.5947,0.6109,0.8587
60,0.71657,0.778,0.9681000000000001,1.6262,0.5978,0.8523000000000001
61,0.71823,0.7748999999999999,0.9693999999999999,1.6079,0.6112,0.8569
