Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6056,0.009300000000000001,0.04769999999999999,4.6047,0.0158,0.05
1,4.5962,0.0121,0.0553,4.5431,0.013500000000000002,0.0755
2,4.4425,0.0269,0.1206,4.2266,0.0453,0.17679999999999998
3,4.1684,0.053,0.2053,4.0071,0.079,0.2647
4,3.9754,0.0816,0.2713,3.8529,0.10060000000000001,0.3257
5,3.8059,0.10279999999999999,0.3224,3.6371,0.14,0.3812
6,3.6716,0.1278,0.3688,3.5007,0.16570000000000001,0.4179
7,3.5369,0.1519,0.4092,3.3493,0.1889,0.4681
8,3.4051,0.1765,0.4462,3.1852,0.2177,0.5013000000000001
9,3.2746,0.2006,0.4853,3.0634,0.24170000000000003,0.5359
10,3.1355,0.226,0.5202,2.9439,0.2672,0.5682
11,3.0208,0.2483,0.5516,2.8021,0.2925,0.6023
12,2.9097,0.2709,0.5746,2.6716,0.3196,0.6335999999999999
13,2.8131,0.2877,0.6026,2.6465,0.32780000000000004,0.6386
14,2.7204,0.3059,0.6238,2.6324,0.3274,0.642
15,2.6154,0.32549999999999996,0.6467,2.4638,0.3685,0.6839
16,2.5231,0.3458,0.6659999999999999,2.3564,0.3865,0.7041
17,2.4354,0.3649,0.6868000000000001,2.344,0.39,0.7001000000000001
18,2.3601,0.3787,0.7033,2.1702,0.4252,0.7372
19,2.2671,0.3967,0.723,2.3215,0.3933,0.7062999999999999
20,2.1939,0.4139,0.7383,2.1297,0.44439999999999996,0.7481
21,2.1155,0.42979999999999996,0.7541,2.0945,0.4496,0.7534000000000001
22,2.0541,0.4445,0.7665000000000001,1.9808,0.4696,0.7784
23,1.9829,0.46159999999999995,0.7807999999999999,1.9261,0.4855,0.7851
24,1.9264,0.47450000000000003,0.7917000000000001,1.8886,0.4918,0.7931
25,1.8668,0.4879,0.8025,1.8313,0.5101,0.8033
26,1.8071,0.5018,0.8112999999999999,1.891,0.4976,0.7901
27,1.76,0.5119,0.8199,1.8459,0.5015999999999999,0.8009999999999999
28,1.7138,0.5215,0.8297,1.7721,0.5217,0.8081
29,1.667,0.5329,0.8375,1.7444,0.5293,0.8144
30,1.6155,0.5437,0.8456,1.7589,0.531,0.8139
31,1.5683,0.5564,0.8533,1.7007,0.537,0.8231
32,1.5362,0.5621,0.8593999999999999,1.7126,0.5355,0.8147
33,1.4944,0.5747,0.8652,1.6839,0.5466,0.8244
34,1.443,0.5848,0.8756,1.6139,0.5658,0.8358
35,1.4016,0.5958,0.8809999999999999,1.6166,0.5674,0.8339
36,1.3797,0.6008,0.8835,1.5968,0.5722,0.8406999999999999
37,1.3445,0.6114,0.8896999999999999,1.6379,0.5585,0.8325
38,1.3077,0.618,0.895,1.6372,0.5648,0.8353
39,1.2745,0.6259,0.9007,1.5736,0.5804,0.8439
40,1.2442,0.6333,0.9033,1.6012,0.5770000000000001,0.8443
41,1.1984,0.6484000000000001,0.9107999999999999,1.596,0.5720000000000001,0.8412999999999999
42,1.1767,0.6505,0.915,1.5914,0.5737,0.8373
43,1.1503,0.6581,0.9178000000000001,1.5737,0.5766,0.8403
44,1.1223,0.6645,0.9218000000000001,1.5638,0.5889,0.8452
45,1.0925,0.6745,0.9248000000000001,1.6027,0.5819,0.8479000000000001
46,1.0642,0.6801,0.9293,1.6159,0.5797,0.8443
47,1.0429,0.6861,0.9325,1.6465,0.5688,0.8362999999999999
48,1.0191,0.6922,0.9345,1.5892,0.5855,0.8503000000000001
49,0.99566,0.6990000000000001,0.9379000000000001,1.5414,0.5925,0.8513
50,0.97521,0.7037,0.9431999999999999,1.5764,0.5859000000000001,0.8504
51,0.93837,0.7138,0.9456,1.617,0.586,0.8461
52,0.93084,0.7166,0.9458,1.669,0.5774,0.8390000000000001
53,0.90299,0.7223999999999999,0.9495999999999999,1.595,0.588,0.8461
54,0.88812,0.7256999999999999,0.9528,1.6013,0.5857,0.8440000000000001
55,0.86848,0.7328,0.9547,1.5848,0.5958,0.8504999999999999
56,0.83972,0.7403,0.9566,1.6029,0.5912,0.8475
57,0.81481,0.7474,0.9599,1.6246,0.5979,0.8513
58,0.81719,0.7465,0.9604,1.6129,0.5897,0.8498
59,0.79264,0.754,0.9614,1.5868,0.6043,0.8534999999999999
60,0.77325,0.7593000000000001,0.9632999999999999,1.6,0.597,0.8541
61,0.75828,0.7631999999999999,0.9654,1.6528,0.5927,0.8479000000000001
62,0.73761,0.7687999999999999,0.9682,1.6399,0.5941,0.8503000000000001
63,0.72514,0.7728,0.9684999999999999,1.6406,0.6056,0.8548
64,0.72121,0.7736,0.9693999999999999,1.6713,0.6,0.8528
65,0.68865,0.7831,0.9718000000000001,1.5942,0.6064,0.8531
66,0.69397,0.7811,0.971,1.6269,0.6074,0.8484999999999999
67,0.67542,0.7852,0.9743,1.6181,0.6065,0.8543000000000001
68,0.67113,0.7883,0.973,1.6583,0.5972999999999999,0.8469
69,0.64609,0.7968999999999999,0.9748,1.6761,0.5979,0.845
70,0.63586,0.7985,0.9767,1.6709,0.6007,0.8492000000000001
71,0.62677,0.8,0.9782,1.6803,0.6008,0.8499
72,0.61641,0.8033,0.9791,1.6541,0.6036,0.8517
73,0.60682,0.8084,0.9791,1.6859,0.6076,0.8506
74,0.5952,0.8107,0.9806,1.6842,0.6032,0.8492000000000001
75,0.58737,0.813,0.9814,1.7818,0.6013000000000001,0.8466
76,0.58153,0.8164,0.9812000000000001,1.7095,0.607,0.8522
77,0.56596,0.8201999999999999,0.9823999999999999,1.7236,0.6002000000000001,0.8448
78,0.55299,0.8239,0.9829000000000001,1.7664,0.6051,0.8521
79,0.5471,0.823,0.9834999999999999,1.8034,0.6097,0.8487
80,0.53944,0.8287,0.9839,1.751,0.6081,0.8575
81,0.54105,0.8268000000000001,0.9842,1.7842,0.6059,0.8477
82,0.52829,0.8316,0.9845,1.7857,0.5949,0.843
83,0.52569,0.8336,0.9845999999999999,1.7755,0.6039,0.8540000000000001
84,0.5147,0.8365,0.9854,1.8269,0.6012,0.8498
85,0.50446,0.8369,0.9861,1.8984,0.596,0.8456
86,0.49558,0.8419,0.9858,1.8385,0.6014,0.8458
87,0.49679,0.841,0.9861,1.8166,0.6076,0.8523000000000001
88,0.48312,0.8452,0.9873000000000001,1.8804,0.6025,0.8438
89,0.47787,0.8479000000000001,0.987,1.8635,0.6059,0.8490000000000001
90,0.4701,0.8482999999999999,0.9878,1.9018,0.6037,0.8486
91,0.46949,0.8497,0.9881,1.8298,0.6047,0.8538
92,0.45811,0.8543000000000001,0.9886,1.8785,0.6032,0.8473
93,0.46162,0.8537,0.988,1.82,0.6043,0.8491
