Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6056,0.0096,0.047599999999999996,4.6049,0.016399999999999998,0.0541
1,4.6038,0.0111,0.053200000000000004,4.584,0.0101,0.051100000000000007
2,4.4934,0.0225,0.1005,4.3507,0.0381,0.1559
3,4.2262,0.047,0.1843,4.0576,0.0673,0.2501
4,4.0223,0.0748,0.2555,3.8723,0.0966,0.3102
5,3.8492,0.09570000000000001,0.3073,3.6857,0.1251,0.3657
6,3.7112,0.12050000000000001,0.35409999999999997,3.5388,0.16010000000000002,0.4117
7,3.5781,0.1462,0.39549999999999996,3.3936,0.18170000000000003,0.4558
8,3.4493,0.1671,0.4334,3.2622,0.20629999999999998,0.48369999999999996
9,3.3262,0.19219999999999998,0.47009999999999996,3.113,0.23829999999999998,0.522
10,3.1915,0.2162,0.5064,2.9903,0.2584,0.5609000000000001
11,3.0723,0.2377,0.5368999999999999,2.8452,0.2844,0.5957
12,2.9556,0.26289999999999997,0.5661,2.7167,0.31170000000000003,0.6203
13,2.8541,0.27699999999999997,0.5898,2.6601,0.3293,0.6332
14,2.7557,0.2986,0.6144,2.618,0.33039999999999997,0.6424
15,2.6536,0.3179,0.6396999999999999,2.5135,0.3579,0.6692
16,2.5632,0.3385,0.6574,2.3705,0.3837,0.6995
17,2.4744,0.3577,0.6783,2.3071,0.3969,0.7126
18,2.3986,0.37329999999999997,0.6976,2.1988,0.42229999999999995,0.7318000000000001
19,2.2953,0.392,0.7159,2.2228,0.4177,0.7345
20,2.2272,0.41229999999999994,0.7282,2.1333,0.4362,0.7486
21,2.1406,0.4261,0.7498,2.0743,0.452,0.7565000000000001
22,2.077,0.43920000000000003,0.7615000000000001,1.9999,0.46840000000000004,0.7726000000000001
23,2.011,0.4535,0.7745000000000001,1.9855,0.4722,0.7715000000000001
24,1.9486,0.4692,0.7875,1.9937,0.4729,0.7753
25,1.8864,0.4806,0.7998000000000001,1.932,0.4817,0.7877
26,1.8246,0.4976,0.8093,1.8591,0.5028,0.7968999999999999
27,1.7818,0.5084000000000001,0.8167,1.8587,0.4999,0.7975
28,1.724,0.5185,0.8278,1.778,0.5196000000000001,0.8066
29,1.6772,0.531,0.8344,1.7523,0.5257999999999999,0.8170000000000001
30,1.6361,0.5401,0.8420000000000001,1.8077,0.5195000000000001,0.8077
31,1.5822,0.5529,0.8531,1.7442,0.5316,0.8209000000000001
32,1.5481,0.5602,0.8561,1.6861,0.5468,0.8220999999999999
33,1.4981,0.5724,0.8656999999999999,1.6467,0.5545,0.8325
34,1.4613,0.5827,0.873,1.6251,0.5589999999999999,0.8348
35,1.4215,0.5917,0.8769,1.6517,0.5534,0.8328
36,1.3905,0.5974,0.8845999999999999,1.6427,0.5566,0.8320000000000001
37,1.3554,0.6064,0.8885,1.6628,0.5566,0.8312
38,1.3156,0.6165999999999999,0.8946,1.6102,0.5676,0.8351000000000001
39,1.2921,0.6229,0.8972,1.573,0.5760000000000001,0.8382999999999999
40,1.2421,0.6347999999999999,0.9045000000000001,1.6222,0.5718,0.8393
41,1.2214,0.6388,0.9081999999999999,1.5892,0.573,0.8401000000000001
42,1.1834,0.6496,0.9142,1.6192,0.5692,0.8403
43,1.1615,0.6579,0.9159999999999999,1.5916,0.5737,0.8443999999999999
44,1.1256,0.6651,0.9223,1.578,0.5778,0.8484999999999999
45,1.1033,0.6688,0.924,1.5867,0.5755,0.8484999999999999
46,1.0815,0.6751999999999999,0.9269,1.5762,0.5791,0.8484999999999999
47,1.0471,0.684,0.9322,1.5694,0.5797,0.8498
48,1.0233,0.6936,0.9345,1.5478,0.584,0.8477
49,0.99977,0.6956,0.9387000000000001,1.612,0.5771999999999999,0.8436
50,0.9742,0.7045,0.941,1.5577,0.5826,0.8475
51,0.95135,0.7089,0.9443,1.5661,0.5904,0.8498
52,0.93603,0.7148,0.9467,1.5672,0.5921,0.8508
53,0.91263,0.7209,0.9479000000000001,1.6356,0.581,0.8466
54,0.89128,0.7249,0.9520000000000001,1.5956,0.5854,0.8468000000000001
55,0.86992,0.7322,0.9531999999999999,1.561,0.5957,0.852
56,0.85176,0.7352,0.9559000000000001,1.5789,0.5946,0.8534999999999999
57,0.82913,0.7434999999999999,0.958,1.6289,0.5852,0.8511
58,0.81968,0.7451000000000001,0.9595999999999999,1.6404,0.5909,0.8525
59,0.81045,0.7498,0.9594,1.6359,0.5936,0.8495999999999999
60,0.7768,0.7584000000000001,0.9642000000000001,1.6786,0.5869,0.8432
61,0.76069,0.7629,0.9648,1.6647,0.5968,0.8527
62,0.75429,0.7646999999999999,0.9664,1.655,0.5968,0.8482
