Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6047,0.0101,0.051399999999999994,4.5929,0.0102,0.051
1,4.4823,0.024300000000000002,0.1036,4.2515,0.042300000000000004,0.1681
2,4.1678,0.0524,0.2028,3.9784,0.0827,0.2688
3,3.9507,0.0828,0.2777,3.7743,0.1161,0.3443
4,3.7725,0.1118,0.33640000000000003,3.6195,0.13949999999999999,0.3859
5,3.6079,0.1391,0.3881,3.421,0.1784,0.45280000000000004
6,3.4514,0.16899999999999998,0.4337,3.2243,0.2071,0.49770000000000003
7,3.3004,0.1968,0.47850000000000004,3.1926,0.2238,0.5084000000000001
8,3.1558,0.2234,0.5146000000000001,2.8787,0.27940000000000004,0.5808
9,3.0242,0.2495,0.55,2.8001,0.29350000000000004,0.602
10,2.8969,0.2709,0.5819,2.6809,0.32280000000000003,0.6362
11,2.7824,0.2958,0.61,2.5856,0.3382,0.6547
12,2.6684,0.3185,0.6353,2.4248,0.37079999999999996,0.6893
13,2.5696,0.3354,0.6565000000000001,2.3979,0.3782,0.6914
14,2.4698,0.3565,0.6812999999999999,2.3973,0.3795,0.6917
15,2.3731,0.3747,0.7020000000000001,2.2848,0.4106,0.7199
16,2.2791,0.39649999999999996,0.7216,2.1127,0.4391,0.7556999999999999
17,2.1955,0.4138,0.7376,2.0864,0.44549999999999995,0.7565000000000001
18,2.125,0.4313,0.7518,1.9857,0.46659999999999996,0.7693000000000001
19,2.0353,0.4497,0.7704000000000001,1.9618,0.47590000000000005,0.7787000000000001
20,1.9731,0.4631,0.7828,1.9225,0.48340000000000005,0.7868999999999999
21,1.9035,0.47979999999999995,0.7956,1.859,0.5013000000000001,0.7929
22,1.8443,0.49369999999999997,0.8078,1.8321,0.5072,0.8034
23,1.7851,0.5056,0.8169,1.822,0.5114,0.8003
24,1.728,0.5188,0.8258,1.8013,0.5113,0.8047
25,1.675,0.5333,0.8359000000000001,1.754,0.5242,0.8133
26,1.6326,0.5413,0.8437,1.743,0.5304,0.8190000000000001
27,1.5764,0.5566,0.8540000000000001,1.8348,0.5095000000000001,0.7965000000000001
28,1.5375,0.5624,0.8599,1.6706,0.5452,0.8231
29,1.4932,0.5716,0.8654000000000001,1.6214,0.5554,0.836
30,1.4601,0.5821000000000001,0.8719,1.6261,0.5628,0.8365
31,1.4136,0.5938,0.8804000000000001,1.6611,0.5511,0.8281999999999999
32,1.3809,0.6014,0.8825,1.6082,0.5598,0.8334
33,1.3362,0.6112,0.8894,1.6334,0.5609000000000001,0.8371
34,1.3107,0.6202000000000001,0.8944,1.5672,0.5717,0.8434
35,1.2645,0.6282,0.9028,1.6302,0.5607,0.8317
36,1.2366,0.6379,0.905,1.5744,0.5760000000000001,0.8456999999999999
37,1.2111,0.6429,0.9091,1.6301,0.5648,0.8342
38,1.1674,0.6551,0.9154000000000001,1.5868,0.5767,0.8423
39,1.1559,0.6574,0.9170999999999999,1.5171,0.5868,0.8506999999999999
40,1.1164,0.6677,0.9217,1.5532,0.5798,0.8473
41,1.0861,0.674,0.9272,1.5895,0.5847,0.8462000000000001
42,1.0649,0.6805,0.9305,1.5692,0.5828,0.8471
43,1.0451,0.685,0.9318000000000001,1.5699,0.5877,0.8473999999999999
44,1.0141,0.6931,0.9362,1.5605,0.5863,0.8497
45,0.99717,0.6981999999999999,0.9377,1.5339,0.5903,0.8508
46,0.96828,0.7059000000000001,0.9409000000000001,1.5976,0.5882999999999999,0.8448
47,0.94637,0.7116,0.9448000000000001,1.5762,0.5913,0.8473999999999999
48,0.92734,0.7179000000000001,0.9462,1.5437,0.5968,0.8526
49,0.91403,0.7208,0.9473999999999999,1.5849,0.5852,0.8476
50,0.8987,0.7263,0.9505,1.562,0.5918,0.851
51,0.87493,0.735,0.9523,1.6048,0.5882000000000001,0.8469
52,0.85075,0.7364,0.9562,1.5861,0.5927,0.8523000000000001
53,0.83591,0.7415,0.9571999999999999,1.5576,0.6033,0.8543999999999999
54,0.81948,0.7454000000000001,0.9582999999999999,1.566,0.5963,0.8534999999999999
55,0.8013,0.7526999999999999,0.9621,1.5683,0.6015,0.8508
56,0.78864,0.7545000000000001,0.9623999999999999,1.5887,0.6022,0.8486
57,0.77021,0.7595999999999999,0.9649,1.6252,0.601,0.8473999999999999
58,0.76555,0.7612000000000001,0.9654,1.6531,0.5984,0.8493
59,0.75106,0.7656999999999999,0.966,1.6002,0.6085,0.8506
60,0.72864,0.7724,0.9682999999999999,1.6642,0.5985,0.8479000000000001
61,0.72442,0.7731999999999999,0.9670000000000001,1.6507,0.5989,0.8532
62,0.70067,0.7785,0.9712999999999999,1.6334,0.6038,0.8504
63,0.70991,0.7766,0.9712000000000001,1.6851,0.5991,0.8498
64,0.68369,0.7836,0.9726,1.7041,0.5974,0.847
65,0.67599,0.7877,0.9732,1.6953,0.5972999999999999,0.8506999999999999
66,0.66514,0.7898000000000001,0.9739,1.7079,0.5988,0.8467
67,0.64992,0.7931999999999999,0.9754999999999999,1.7014,0.6043,0.8497
68,0.65479,0.7929,0.975,1.668,0.5977,0.8526
69,0.63381,0.7998000000000001,0.9777,1.6765,0.5947,0.8488
70,0.61916,0.8035,0.9784999999999999,1.7146,0.5999,0.8486
71,0.62349,0.8014,0.9784,1.7981,0.5856,0.8389
72,0.60671,0.8081,0.9797,1.6654,0.6051,0.8567
73,0.59608,0.8118000000000001,0.9797,1.6805,0.6134000000000001,0.8558
74,0.59363,0.8122,0.9790000000000001,1.7112,0.6013000000000001,0.8484
75,0.57671,0.8176000000000001,0.9809,1.7862,0.5993999999999999,0.8528
76,0.57533,0.8165,0.9806,1.7287,0.6093,0.8543999999999999
77,0.56818,0.8209000000000001,0.9808,1.7268,0.5999,0.8471
78,0.56788,0.8188,0.9817,1.6902,0.6111,0.8502
79,0.55898,0.823,0.9825,1.7151,0.6053000000000001,0.8506999999999999
80,0.54281,0.8281000000000001,0.983,1.7462,0.6052000000000001,0.8499
81,0.54379,0.8273,0.9834,1.7832,0.6063000000000001,0.8495
82,0.53336,0.8309000000000001,0.9838,1.753,0.6073,0.852
83,0.52226,0.8355,0.9847,1.7692,0.6009,0.8562000000000001
84,0.53028,0.8297,0.9837,1.7894,0.608,0.8559
85,0.51826,0.8362,0.9845999999999999,1.7848,0.6064,0.8476
86,0.50834,0.8398,0.9853000000000001,1.8153,0.6042000000000001,0.8487
87,0.50621,0.8398,0.9845,1.8152,0.6064,0.8511
88,0.50532,0.8399,0.9859,1.8237,0.605,0.8529000000000001
89,0.49951,0.8414,0.9867,1.767,0.6027,0.8468000000000001
90,0.4913,0.8452,0.986,1.7882,0.6084,0.8539
91,0.49019,0.8461,0.9862000000000001,1.7671,0.606,0.8548
92,0.47812,0.8468000000000001,0.9864,1.7739,0.6144,0.8542000000000001
93,0.4788,0.8491,0.9869,1.8083,0.6019,0.8504999999999999
94,0.46773,0.8514,0.9875,1.8049,0.6074,0.8482
95,0.47105,0.8509,0.9875,1.8415,0.6095,0.8521
96,0.47059,0.8511,0.9879000000000001,1.7538,0.6132,0.8540000000000001
97,0.46236,0.8534,0.9882,1.7942,0.6147,0.8537
98,0.4583,0.8528,0.988,1.8609,0.6165999999999999,0.8462000000000001
99,0.45504,0.8559,0.9892,1.8381,0.6057,0.8461
