Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6046,0.0103,0.051500000000000004,4.5912,0.0102,0.0506
1,4.4801,0.024300000000000002,0.1056,4.2493,0.042300000000000004,0.16829999999999998
2,4.1663,0.0519,0.20350000000000001,3.9781,0.08070000000000001,0.26890000000000003
3,3.9514,0.0834,0.2781,3.7647,0.1195,0.3422
4,3.7733,0.1119,0.3354,3.6123,0.1426,0.3907
5,3.6082,0.1399,0.3886,3.4105,0.1826,0.4514
6,3.4478,0.1684,0.4357,3.2065,0.21230000000000002,0.5009
7,3.2961,0.19870000000000002,0.4767,3.1644,0.2281,0.5157
8,3.1521,0.2241,0.5158,2.8847,0.2756,0.5817
9,3.0232,0.2473,0.5486,2.8114,0.2873,0.6009
10,2.8923,0.2733,0.5832,2.6757,0.3209,0.634
11,2.7859,0.2923,0.6097,2.592,0.3333,0.6505
12,2.6691,0.3164,0.6356,2.441,0.3653,0.6844
13,2.5707,0.3367,0.6584,2.3687,0.3881,0.7001999999999999
14,2.4697,0.3565,0.6817,2.3323,0.3899,0.7040000000000001
15,2.375,0.37420000000000003,0.7016,2.2938,0.4064,0.7203
16,2.272,0.397,0.7231000000000001,2.1909,0.4255,0.7402
17,2.2008,0.4122,0.7365,2.1117,0.442,0.7524
18,2.123,0.4301,0.7509999999999999,1.9943,0.4639,0.7646
19,2.0331,0.4476,0.7709999999999999,2.1143,0.44689999999999996,0.7475
20,1.9699,0.46590000000000004,0.7831999999999999,1.9321,0.484,0.7845
21,1.8981,0.4806,0.7966,1.8435,0.5063,0.7959
22,1.8431,0.493,0.8075,1.8438,0.504,0.7981999999999999
23,1.7816,0.505,0.8184999999999999,1.8001,0.5142,0.8073
24,1.724,0.5215,0.8287,1.7678,0.5186,0.8117
25,1.676,0.5325,0.8379000000000001,1.7393,0.5333,0.8167
26,1.6276,0.5429999999999999,0.8443,1.721,0.5368999999999999,0.8173
27,1.5735,0.5562,0.8541,1.7655,0.5273,0.8136
28,1.5337,0.5654,0.8606,1.707,0.5417000000000001,0.8153
29,1.4903,0.5742,0.8668,1.6671,0.5490999999999999,0.8286
30,1.453,0.585,0.8745,1.6542,0.5544,0.8295
31,1.4108,0.593,0.88,1.7153,0.542,0.8210999999999999
32,1.3735,0.6015,0.8851,1.5768,0.5725,0.8389
33,1.3355,0.6132,0.8909999999999999,1.6519,0.5574,0.8336
34,1.2957,0.6236999999999999,0.8978,1.5578,0.5789,0.8427
35,1.2569,0.6307,0.9028,1.5807,0.5747,0.8361
36,1.228,0.638,0.9068999999999999,1.5571,0.5869,0.8451000000000001
37,1.2051,0.6465000000000001,0.9079999999999999,1.6922,0.5545,0.8295999999999999
38,1.1695,0.6522,0.9156,1.5987,0.5698,0.8404
39,1.1406,0.6609,0.9196,1.5578,0.5837,0.8437
40,1.1112,0.6655,0.9228000000000001,1.5464,0.5872999999999999,0.8537
41,1.0845,0.6742,0.9256,1.6638,0.57,0.835
42,1.067,0.6804000000000001,0.9307,1.5722,0.5847,0.8399
43,1.0404,0.6881999999999999,0.9314,1.5914,0.5815,0.8422
