Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.8204,0.0239,0.10710000000000001,4.2421,0.04019999999999999,0.17129999999999998
1,4.1192,0.053099999999999994,0.2096,3.9424,0.0761,0.2735
2,3.8657,0.0898,0.3034,3.6934,0.11599999999999999,0.3653
3,3.636,0.1266,0.3779,3.4838,0.1516,0.4244
4,3.3797,0.17149999999999999,0.4517,3.2676,0.2023,0.4907
5,3.0999,0.2236,0.5306000000000001,3.1289,0.22769999999999999,0.5329999999999999
6,2.8399,0.2756,0.5954999999999999,2.8473,0.284,0.6076
7,2.5801,0.32539999999999997,0.6587000000000001,2.7811,0.3002,0.6165999999999999
8,2.364,0.37310000000000004,0.7042,2.3405,0.3848,0.7126
9,2.1633,0.415,0.7451000000000001,2.2002,0.41479999999999995,0.7481
10,1.9885,0.4559,0.7781999999999999,2.1466,0.4255,0.7579
11,1.8476,0.4841,0.8075,2.1058,0.44229999999999997,0.7684000000000001
12,1.7187,0.5175,0.8293,1.9942,0.4789,0.7873
13,1.6183,0.5434,0.8464,1.9766,0.4876,0.7884
14,1.5187,0.5664,0.8637999999999999,1.92,0.4964,0.8011
15,1.4406,0.5868,0.8745,3.854,0.42369999999999997,0.7404000000000001
16,1.3673,0.6053999999999999,0.8832,1.5791,0.5650999999999999,0.8511
17,1.2855,0.6278,0.8969,1.679,0.5477000000000001,0.8404
18,1.2184,0.6406000000000001,0.9066,1.7022,0.5617,0.8415
19,1.1724,0.6553,0.9129999999999999,1.6083,0.5660000000000001,0.8521
20,1.1118,0.6714,0.9206,1.6537,0.5661,0.8487
21,1.0551,0.6856,0.9277,1.5503,0.5863,0.8676999999999999
22,1.0117,0.6964,0.9333,1.5482,0.5851,0.8678
23,0.96426,0.7088,0.9395,1.4721,0.6129,0.8768
24,0.9318,0.7177,0.9425,1.4459,0.6135,0.8787
25,0.88375,0.7303000000000001,0.9484999999999999,1.5298,0.6002000000000001,0.8698999999999999
26,0.83693,0.7448,0.9521,1.4016,0.6274000000000001,0.8878
27,0.81237,0.7506,0.9566,1.4448,0.6161,0.8809999999999999
