Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8748,0.1016,0.3089,3.4945,0.17010000000000003,0.4263
1,3.2647,0.19949999999999998,0.4882,3.1202,0.2357,0.5294
2,2.8728,0.2693,0.5872999999999999,2.8535,0.2868,0.6008
3,2.5578,0.33490000000000003,0.6626000000000001,2.5455,0.3508,0.6643000000000001
4,2.308,0.39130000000000004,0.7132,2.3375,0.3961,0.7145999999999999
5,2.1027,0.43329999999999996,0.7567,2.4066,0.3895,0.718
6,1.9384,0.47259999999999996,0.7868999999999999,2.174,0.4413,0.7526
7,1.7909,0.5038,0.8140999999999999,2.0102,0.4686,0.7767000000000001
8,1.6803,0.5318,0.8326,1.9919,0.48200000000000004,0.7851
9,1.5707,0.5579999999999999,0.8514,1.8259,0.5104,0.8042
10,1.4774,0.5806,0.8648,1.9382,0.49329999999999996,0.7965000000000001
11,1.3973,0.6004,0.8767,1.8181,0.5251,0.8126000000000001
12,1.3211,0.6188,0.89,1.8318,0.5257999999999999,0.8155
13,1.2473,0.6371,0.8992,1.7837,0.5346,0.8197
14,1.184,0.6545000000000001,0.9087000000000001,1.6823,0.5575,0.8429000000000001
15,1.1218,0.6679,0.9176000000000001,1.7003,0.5572,0.8361
16,1.0575,0.6851999999999999,0.9254000000000001,1.6783,0.5698,0.8406
17,1.0019,0.6994,0.9328,1.7267,0.5653,0.8443
18,0.94666,0.7149,0.9396,1.7409,0.5708,0.8487
19,0.89393,0.7309,0.946,1.7384,0.5705,0.8440000000000001
