Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8892,0.09970000000000001,0.3037,3.5021,0.1653,0.4254
1,3.2563,0.20329999999999998,0.4907,3.0818,0.2443,0.5424
2,2.8489,0.2752,0.5898,2.7588,0.3045,0.6286
3,2.5347,0.34,0.6665000000000001,2.4781,0.35590000000000005,0.6766
4,2.2738,0.39490000000000003,0.7223,2.3978,0.38770000000000004,0.7071999999999999
5,2.0594,0.442,0.7656000000000001,2.3011,0.40130000000000005,0.7311
6,1.8907,0.4817,0.7972,2.0983,0.4484,0.7679
7,1.7357,0.5172,0.8255,2.0514,0.46880000000000005,0.7776000000000001
8,1.617,0.5466,0.8432999999999999,1.9635,0.4892,0.7943000000000001
9,1.5052,0.5749,0.862,1.8045,0.5181,0.8112999999999999
10,1.4127,0.5953,0.8783,1.8782,0.511,0.8156
11,1.3187,0.6196,0.8909,1.6627,0.5543,0.8379000000000001
12,1.2491,0.637,0.9013,1.6585,0.5585,0.8402
13,1.1729,0.6564,0.9112,1.7467,0.5438000000000001,0.8267
14,1.1147,0.6717,0.9198000000000001,1.5673,0.5867,0.8608
15,1.0497,0.6868000000000001,0.9283,1.6367,0.5738,0.8521
16,0.99158,0.7023999999999999,0.9361,1.5787,0.5907,0.8595999999999999
17,0.93384,0.7204999999999999,0.9411,1.6169,0.5852,0.8591
18,0.88678,0.7323000000000001,0.9468000000000001,1.5645,0.6008,0.8697
19,0.83001,0.7481,0.9533,1.5657,0.5998,0.8687
