Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.967,0.08789999999999999,0.2797,3.5686,0.1499,0.40409999999999996
1,3.398,0.1751,0.4517,3.2897,0.2087,0.4893
2,3.0377,0.2386,0.5444,2.9638,0.2646,0.5748
3,2.7369,0.3004,0.6201,2.679,0.3166,0.6384000000000001
4,2.4862,0.34979999999999994,0.6769,2.5021,0.35850000000000004,0.6786
5,2.2879,0.3886,0.7193,2.5056,0.3549,0.6937000000000001
6,2.1314,0.4252,0.7504000000000001,2.4544,0.38670000000000004,0.7075
7,1.986,0.45840000000000003,0.7798,2.0651,0.45159999999999995,0.7667
8,1.8664,0.4874,0.8025,2.2606,0.42,0.7379000000000001
9,1.762,0.5099,0.8193,1.9733,0.4768,0.7843000000000001
10,1.676,0.5318999999999999,0.8332999999999999,2.0262,0.46399999999999997,0.7813
11,1.5916,0.5535,0.8487,2.121,0.4618,0.7763
12,1.5237,0.5679,0.8593999999999999,2.2221,0.46130000000000004,0.7537999999999999
13,1.4527,0.5856,0.8683,1.998,0.49090000000000006,0.7894
14,1.3946,0.6,0.8789,1.834,0.5264,0.8179000000000001
15,1.3303,0.6134000000000001,0.8885,1.8438,0.5317000000000001,0.8137000000000001
16,1.278,0.6283,0.8976000000000001,1.7737,0.537,0.8234999999999999
17,1.2226,0.6435,0.9048,1.9756,0.5157,0.8089
18,1.172,0.6557999999999999,0.9109,1.7681,0.5507,0.8299
19,1.1281,0.6667000000000001,0.9177,1.6716,0.565,0.8436
20,1.0833,0.6772,0.9222,1.7432,0.5505,0.8367
21,1.0374,0.6904,0.9289000000000001,1.6815,0.569,0.8431000000000001
22,0.99201,0.7016,0.935,1.7741,0.5605,0.8382999999999999
23,0.9516,0.7156,0.9398000000000001,1.6191,0.5827,0.8556
24,0.90939,0.7239,0.9444,1.6989,0.5792,0.8513
25,0.87898,0.7308,0.9484999999999999,1.6964,0.5672999999999999,0.8472
26,0.83362,0.7453,0.9538,1.6842,0.5854,0.8548
27,0.79656,0.7539,0.9571,1.6651,0.5796,0.8578
28,0.75875,0.7648,0.9605,1.7074,0.586,0.8519
29,0.7243,0.7739,0.9655,1.8249,0.5694,0.8503000000000001
30,0.6945,0.7846,0.9682,1.7314,0.5886,0.8561
31,0.67031,0.7907,0.9687,1.8398,0.5803,0.8462999999999999
32,0.63842,0.8,0.9728,1.8188,0.5815,0.8562000000000001
33,0.60268,0.8099,0.9768000000000001,1.8223,0.5856,0.8504
34,0.5814,0.8166,0.9783,1.8402,0.5881000000000001,0.8549
35,0.55068,0.8253,0.9803000000000001,1.8438,0.5966,0.8556999999999999
36,0.5235,0.8323999999999999,0.983,1.8944,0.5865,0.8539
37,0.4957,0.8414,0.985,1.8362,0.5963,0.8562000000000001
38,0.47822,0.8466,0.9865999999999999,1.8649,0.6004,0.8593000000000001
39,0.44903,0.8556999999999999,0.9872,1.9184,0.585,0.8509
40,0.43253,0.8615999999999999,0.9889,1.8446,0.6032,0.8632
41,0.40731,0.8678,0.9904999999999999,1.8528,0.6022,0.8626999999999999
42,0.38105,0.8776999999999999,0.9915,1.8937,0.6057,0.8584999999999999
43,0.36734,0.8822,0.9926999999999999,1.8573,0.6068,0.8661
44,0.34722,0.8876000000000001,0.9934999999999999,1.8135,0.615,0.8682
45,0.32655,0.8955,0.9948,1.9564,0.6032,0.8573999999999999
46,0.31044,0.899,0.9952,2.0222,0.5972,0.8569
47,0.28483,0.9089,0.9964,1.9154,0.6125,0.8652
48,0.27684,0.9113,0.9964,1.9524,0.6087,0.8632
49,0.26297,0.9145,0.9968,1.9266,0.6134000000000001,0.8697
50,0.24853,0.9203,0.997,1.9348,0.6148,0.8661
51,0.24446,0.9227,0.9973000000000001,1.9542,0.6212,0.8718
52,0.22939,0.9239,0.9975,2.0018,0.6093,0.8665999999999999
53,0.21563,0.9293,0.9983,2.0046,0.6199,0.8694
54,0.21022,0.9312,0.998,2.0286,0.616,0.8665999999999999
55,0.19367,0.9376000000000001,0.9984000000000001,2.0721,0.6164000000000001,0.8615999999999999
56,0.18911,0.9390999999999999,0.9984999999999999,1.9939,0.6219,0.8644
57,0.17609,0.9436,0.9987,2.1165,0.6157,0.8639
58,0.17531,0.9442,0.9986,2.0303,0.6251,0.8708
59,0.15654,0.9501000000000001,0.9993000000000001,2.0065,0.6275,0.8724
60,0.15191,0.9523,0.9991,2.1615,0.6167,0.8632
61,0.14896,0.9526,0.9990000000000001,2.0548,0.6269,0.8723000000000001
62,0.14707,0.9537,0.9990000000000001,2.2628,0.6102000000000001,0.8626
63,0.13687,0.9559000000000001,0.9992,2.1808,0.616,0.8639
64,0.13174,0.9589,0.9993000000000001,2.1575,0.6206,0.8681
65,0.12982,0.9587,0.9993000000000001,2.1718,0.6129,0.8639
66,0.1195,0.9629000000000001,0.9995999999999999,2.1253,0.6248,0.8684999999999999
67,0.11877,0.9629000000000001,0.9995,2.1304,0.629,0.875
68,0.11529,0.9637,0.9995999999999999,2.157,0.6256,0.8715999999999999
69,0.10959,0.9662000000000001,0.9997,2.3172,0.6182,0.8668
70,0.097469,0.9703,0.9998,2.1369,0.6349,0.8748
71,0.10033,0.9688,0.9998,2.179,0.627,0.8763
72,0.096678,0.9699,0.9997,2.2446,0.624,0.8640000000000001
73,0.095002,0.9702,0.9997,2.2257,0.6246,0.8734999999999999
74,0.090123,0.9721,0.9998,2.2603,0.6261,0.8706999999999999
75,0.089673,0.9722,0.9997,2.2476,0.6255,0.8719
76,0.08682,0.9732,0.9998,2.1711,0.6321,0.8751000000000001
77,0.078005,0.9777,0.9995999999999999,2.2196,0.635,0.8715
78,0.083578,0.9739,0.9998,2.2961,0.6244,0.8676
