Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.9584,0.0883,0.2812,3.5371,0.1606,0.4118
1,3.3769,0.1801,0.4559,3.2051,0.2183,0.5047999999999999
2,3.0214,0.2437,0.5495,2.9072,0.27649999999999997,0.5839
3,2.7291,0.3039,0.6214,2.6639,0.321,0.6346
4,2.4774,0.35350000000000004,0.6779999999999999,2.4417,0.3697,0.6867
5,2.2719,0.39659999999999995,0.7212999999999999,2.5563,0.3604,0.6890999999999999
6,2.1038,0.43320000000000003,0.7551000000000001,2.2863,0.4083,0.7319
7,1.9554,0.4653,0.7857,2.2243,0.4268,0.7384999999999999
8,1.834,0.4964,0.8073999999999999,2.0965,0.45909999999999995,0.7598
9,1.7239,0.5211,0.8271999999999999,1.9852,0.4775,0.7816
10,1.6318,0.5433,0.8406,1.8863,0.4935,0.7968999999999999
11,1.5458,0.5645,0.8536,2.0423,0.4746,0.7733
12,1.4727,0.5786,0.8682,1.9295,0.5011,0.7959999999999999
13,1.3916,0.601,0.8798999999999999,1.8686,0.5175,0.8078
14,1.3369,0.6148,0.8878,1.7341,0.5423,0.8271
15,1.2683,0.6299,0.8978,1.8445,0.5253,0.8159000000000001
16,1.2092,0.6476000000000001,0.9068,1.7755,0.5417000000000001,0.8261
17,1.1563,0.6602,0.9124,1.7303,0.5576,0.8375
18,1.1016,0.675,0.9195,1.7377,0.5574,0.835
19,1.053,0.6890999999999999,0.9262999999999999,1.6507,0.5686,0.8477
20,1.002,0.7016,0.9333,1.6448,0.5770000000000001,0.8473
21,0.95611,0.7132999999999999,0.9388,1.6849,0.5771000000000001,0.8451000000000001
22,0.90159,0.7284999999999999,0.9458,1.6525,0.574,0.8538
23,0.86172,0.7383,0.9501000000000001,1.6879,0.5745,0.8503000000000001
24,0.81375,0.7521,0.9561,1.7369,0.581,0.8514
25,0.7769,0.7598999999999999,0.9595,1.6058,0.5976,0.8578
26,0.73282,0.7757,0.9638,1.7311,0.578,0.8534999999999999
27,0.69391,0.7848999999999999,0.9676,1.7394,0.5866,0.8461
28,0.65868,0.7963,0.9703,1.7534,0.5872999999999999,0.8475
29,0.62334,0.8053,0.9745,1.7304,0.5835,0.8540000000000001
30,0.58504,0.8183,0.9776,1.7199,0.6033,0.8591
31,0.55975,0.8245,0.9791,1.7313,0.5946,0.8569
32,0.52174,0.8356,0.9837,1.7706,0.5958,0.857
33,0.48457,0.846,0.9859,1.8921,0.5897,0.8517
34,0.46148,0.8523999999999999,0.9876,1.9034,0.5866,0.8504999999999999
35,0.43067,0.8622,0.9895,1.9293,0.5876,0.843
36,0.40874,0.8697,0.9904000000000001,1.8322,0.6069,0.8573000000000001
37,0.37608,0.88,0.9917,1.9106,0.6,0.8533
38,0.35987,0.8854000000000001,0.9926,1.9153,0.5954999999999999,0.8548
39,0.33133,0.8951,0.9944,1.8765,0.5976,0.8631
40,0.31054,0.9013,0.9948999999999999,1.9202,0.6059,0.8604999999999999
41,0.29256,0.9078,0.9958,1.8781,0.6079,0.8634000000000001
42,0.27578,0.9127,0.9962000000000001,1.9326,0.6114999999999999,0.8590000000000001
43,0.25393,0.9194,0.9969,1.9182,0.6087,0.862
44,0.24379,0.9214,0.9974,1.896,0.6118,0.8637
45,0.22396,0.9293,0.9979,2.0167,0.6049,0.8540000000000001
