Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.9044,0.0971,0.2993,3.4816,0.172,0.4228
1,3.2938,0.1954,0.47909999999999997,3.1652,0.2316,0.5172
2,2.9103,0.2633,0.5774,2.9414,0.2669,0.5913
3,2.5918,0.32909999999999995,0.6512,2.6066,0.3393,0.6489
4,2.3196,0.3858,0.7131000000000001,2.3217,0.40009999999999996,0.7193999999999999
5,2.1032,0.43520000000000003,0.7553,2.4179,0.3943,0.7166
6,1.9282,0.4727,0.7883,2.3341,0.40740000000000004,0.7318000000000001
7,1.781,0.5068,0.8151,1.9961,0.4753,0.7841
8,1.6659,0.5356000000000001,0.8362999999999999,1.973,0.4863,0.7878000000000001
9,1.5509,0.561,0.8549,1.804,0.5206000000000001,0.8104
10,1.4638,0.5861999999999999,0.8684999999999999,1.9554,0.4975,0.8079999999999999
11,1.3759,0.6043,0.8814,1.8136,0.5297,0.8214
12,1.3044,0.6246,0.8922,1.7777,0.5374,0.8279000000000001
13,1.2274,0.6442,0.9042,1.7207,0.5558,0.8349
14,1.169,0.6557999999999999,0.9103,1.7227,0.5542,0.8384999999999999
15,1.1019,0.6759000000000001,0.9196,1.8494,0.5402,0.825
16,1.0483,0.6884,0.9266,1.7613,0.5573,0.8347
17,0.99488,0.7040000000000001,0.9331,1.5473,0.5958,0.8631
18,0.942,0.7162000000000001,0.9396,1.8288,0.5605,0.8448
19,0.8904,0.7309,0.945,1.643,0.5914,0.8567
20,0.84937,0.7418,0.9517,1.5851,0.5888,0.8575
21,0.79891,0.7561,0.9564,1.8356,0.5760000000000001,0.8398
22,0.75482,0.7696999999999999,0.9606999999999999,1.7874,0.5708,0.8512000000000001
23,0.7149,0.7791,0.9656,1.6491,0.6028,0.8676
24,0.66972,0.7927,0.9690000000000001,1.5305,0.6248,0.8774
25,0.63202,0.8014,0.9734,1.6205,0.6031,0.8695
26,0.59474,0.8140999999999999,0.9759,1.7109,0.5996,0.8668
27,0.56064,0.8243,0.9791,1.6351,0.6057,0.8726
28,0.52963,0.8336,0.9813,1.6675,0.6097,0.8626999999999999
29,0.49466,0.8415,0.9843999999999999,1.6753,0.6154999999999999,0.8726999999999999
30,0.46195,0.853,0.9861,1.7903,0.607,0.8595999999999999
31,0.44134,0.8573999999999999,0.988,1.7339,0.6082,0.8614
32,0.40544,0.8693000000000001,0.9901000000000001,1.6311,0.6263000000000001,0.8731
33,0.37793,0.8787,0.9914000000000001,1.7431,0.6245,0.8736
34,0.35382,0.8862000000000001,0.9928,1.7609,0.623,0.8684000000000001
35,0.33042,0.8946,0.9941,1.7737,0.6245,0.8724
36,0.30453,0.9025,0.9948,1.7513,0.6361,0.8763
37,0.28827,0.9073,0.9954999999999999,1.7725,0.6321,0.8782
38,0.27174,0.9122,0.9963,1.8806,0.6227,0.8693000000000001
39,0.25359,0.9175,0.9969,1.6978,0.6506000000000001,0.8801000000000001
40,0.24084,0.9220999999999999,0.9972,1.8935,0.6233,0.8754000000000001
41,0.21902,0.9305,0.9976999999999999,1.8807,0.629,0.872
42,0.20037,0.9365000000000001,0.9983,1.7733,0.6484000000000001,0.8833
43,0.18023,0.9444,0.9986,1.9108,0.6367,0.8779
44,0.17122,0.9462999999999999,0.9990000000000001,1.8793,0.6442,0.8772
45,0.16835,0.9467,0.9987,1.8761,0.6376,0.8798
46,0.15757,0.9505,0.9991,1.9706,0.6362,0.8733
47,0.14823,0.9528,0.9995,1.898,0.6409999999999999,0.8784000000000001
48,0.13915,0.9573,0.9992,1.9508,0.6378,0.8776999999999999
49,0.13263,0.9586,0.9994,1.8735,0.6492,0.884
50,0.11733,0.9647,0.9993000000000001,1.8836,0.6513,0.8834000000000001
51,0.11177,0.9670000000000001,0.9997,1.9376,0.6494,0.8824
52,0.10678,0.9677,0.9995,1.8867,0.6573,0.8878
53,0.1013,0.9695,0.9997,1.8943,0.6570999999999999,0.8881
54,0.097483,0.9704999999999999,0.9998,2.05,0.6425,0.8818
55,0.090061,0.9737,0.9997,1.9482,0.6505,0.8829
56,0.08885,0.9731000000000001,0.9998,2.0465,0.6434000000000001,0.8802
57,0.081429,0.9758,0.9998,1.9445,0.6573,0.8837
58,0.082254,0.9749,0.9998,2.0237,0.6504000000000001,0.8822
59,0.071386,0.9793000000000001,0.9998,1.883,0.6656,0.8893000000000001
60,0.066467,0.9802,0.9998999999999999,1.96,0.6595,0.8855
61,0.068006,0.9798,0.9998999999999999,2.0674,0.6520999999999999,0.8809
62,0.063878,0.9811,1.0,2.0078,0.6598999999999999,0.8841
63,0.06136,0.9825,0.9998,2.0045,0.6618,0.8855
64,0.066829,0.98,0.9997,2.0323,0.6607999999999999,0.8845999999999999
