Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8746,0.1015,0.3095,3.4498,0.1734,0.43810000000000004
1,3.2399,0.2054,0.4939,3.1339,0.23739999999999997,0.537
2,2.8204,0.2771,0.5992999999999999,2.8231,0.29359999999999997,0.6179
3,2.4938,0.3478,0.6759000000000001,2.4346,0.36979999999999996,0.6893
4,2.2272,0.4056,0.7317,2.2935,0.4054,0.7298
5,2.0098,0.4542,0.7751,2.3361,0.40759999999999996,0.7367
6,1.8385,0.4926,0.8054000000000001,2.1154,0.44689999999999996,0.7655
7,1.6831,0.53,0.8347,2.0288,0.4682,0.7811
8,1.5663,0.5579999999999999,0.8545,1.8552,0.5075999999999999,0.8081999999999999
9,1.4471,0.5855,0.8723000000000001,1.7864,0.5252,0.8158
10,1.3523,0.611,0.8865999999999999,1.7892,0.5278,0.8271999999999999
11,1.2704,0.6319,0.8995000000000001,1.78,0.5454,0.8239
12,1.1906,0.6526000000000001,0.9087999999999999,1.6774,0.5611999999999999,0.8439
13,1.112,0.6726000000000001,0.9193000000000001,1.7497,0.5529999999999999,0.833
14,1.0513,0.6873999999999999,0.9277,1.6106,0.5811999999999999,0.8481000000000001
15,0.98584,0.7056,0.9351999999999999,1.6757,0.5739,0.8542000000000001
16,0.92184,0.7212000000000001,0.9448000000000001,1.4865,0.6146,0.8719
17,0.87166,0.736,0.9484,1.5783,0.6036,0.8686
18,0.81406,0.7525,0.9541,1.5962,0.6051,0.8697
19,0.7609,0.7664,0.9606999999999999,1.492,0.6225,0.8713
20,0.71792,0.779,0.9655,1.5401,0.6164999999999999,0.8725
21,0.6689,0.7933,0.9695999999999999,1.5883,0.6129,0.8709
22,0.62388,0.8051,0.9734,1.5396,0.6286,0.8809999999999999
23,0.58236,0.8157,0.9768000000000001,1.5427,0.6277,0.8812000000000001
24,0.53956,0.8308,0.9801000000000001,1.4804,0.6464,0.8875
25,0.50288,0.8403,0.9832,1.612,0.6191,0.8763
26,0.46652,0.852,0.9859,1.5917,0.6317,0.879
27,0.43346,0.862,0.9884999999999999,1.6924,0.6222,0.8726999999999999
28,0.40117,0.8731,0.9898,1.5773,0.6335999999999999,0.879
29,0.37548,0.88,0.9915999999999999,1.6337,0.6351,0.8823000000000001
30,0.34547,0.8898,0.9937,1.6756,0.6377,0.8862000000000001
31,0.31671,0.8992,0.9944,1.6285,0.6489,0.8832
32,0.29164,0.9065000000000001,0.9954999999999999,1.6528,0.6423000000000001,0.8848
33,0.26372,0.9156,0.9965,1.7207,0.6431999999999999,0.8847
34,0.25022,0.9197,0.9973000000000001,1.6046,0.6594,0.8919
35,0.22483,0.9288,0.9978,1.6273,0.6615000000000001,0.8914
36,0.21065,0.9335,0.9982,1.6609,0.655,0.8942
37,0.19718,0.9372,0.9983,1.7313,0.6578,0.8896999999999999
38,0.18053,0.9434,0.9989,1.7893,0.6470999999999999,0.8848
39,0.16199,0.9494,0.9990000000000001,1.8002,0.6547,0.8856999999999999
40,0.15434,0.9518000000000001,0.9991,1.7075,0.6618,0.8985
41,0.13964,0.9562,0.9994,1.705,0.66,0.8929
42,0.13511,0.9577,0.9994,1.7207,0.6692,0.8919
43,0.12546,0.9621,0.9994,1.7943,0.6672,0.892
44,0.11373,0.9653,0.9998,1.7625,0.6642,0.8918
45,0.10583,0.9682,0.9995999999999999,1.7906,0.6624,0.8906999999999999
46,0.099177,0.9695999999999999,0.9997,1.7582,0.6651,0.893
47,0.087259,0.9747,0.9998,1.7509,0.6720999999999999,0.8936
48,0.082784,0.9754999999999999,0.9997,1.8117,0.6716,0.8948
49,0.078657,0.9768000000000001,0.9997,1.7697,0.6714,0.8976000000000001
50,0.072193,0.9791,0.9998999999999999,1.7913,0.6720999999999999,0.8985
51,0.071022,0.9793999999999999,0.9998999999999999,1.8039,0.6784,0.898
