Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8609,0.10550000000000001,0.3129,3.4131,0.1787,0.45039999999999997
1,3.2238,0.2086,0.4959,3.1351,0.23199999999999998,0.5292
2,2.8081,0.2816,0.6015,2.7813,0.30469999999999997,0.6286
3,2.4858,0.34979999999999994,0.6754000000000001,2.5107,0.35619999999999996,0.6743000000000001
4,2.2238,0.40700000000000003,0.7317,2.2844,0.4065,0.7278
5,2.0134,0.4533,0.7731999999999999,2.4047,0.3931,0.7303000000000001
6,1.8415,0.4932,0.8062,1.9943,0.4678,0.7841
7,1.6838,0.5276,0.8334,1.9715,0.4803,0.7958
8,1.565,0.5578,0.8540000000000001,1.8933,0.5058,0.8064
9,1.4418,0.5882000000000001,0.8725,1.7464,0.534,0.825
10,1.3531,0.6128,0.8856999999999999,1.757,0.5307,0.8288
11,1.2574,0.6347,0.8994,1.9155,0.5186,0.8081
12,1.1861,0.6509999999999999,0.9104000000000001,1.7474,0.5486,0.8323999999999999
13,1.1069,0.6759000000000001,0.92,1.647,0.5692,0.8442000000000001
14,1.0408,0.6890000000000001,0.9286,1.6363,0.5706,0.8543000000000001
15,0.97891,0.7054,0.9366,1.5409,0.5938,0.8661
16,0.91189,0.7269,0.9442,1.5467,0.5999,0.8645999999999999
17,0.85925,0.7426,0.9495,1.604,0.5954,0.8665999999999999
18,0.80531,0.7561,0.9554,1.5251,0.6121,0.8752
19,0.75623,0.7664,0.9617,1.5596,0.6125,0.8669
20,0.70658,0.7807999999999999,0.9668000000000001,1.5323,0.6136,0.8714
21,0.65977,0.795,0.9706999999999999,1.4917,0.6289,0.8831
22,0.61626,0.8084,0.9747,1.6236,0.6093,0.8734999999999999
23,0.57164,0.8207,0.9773999999999999,1.487,0.6358,0.8896999999999999
24,0.53759,0.8297,0.981,1.5597,0.6345000000000001,0.8835999999999999
25,0.49469,0.8422,0.9842,1.5231,0.6323,0.8865999999999999
26,0.46045,0.8543000000000001,0.9869,1.6635,0.6267,0.8789
27,0.42734,0.8643000000000001,0.9882,1.6276,0.623,0.8784000000000001
28,0.3978,0.8736,0.9904000000000001,1.4701,0.654,0.8889
29,0.36204,0.8815999999999999,0.9925,1.5211,0.6578,0.8906999999999999
30,0.33252,0.8931,0.9939,1.5997,0.6429,0.8843000000000001
31,0.31185,0.9001,0.9945,1.6375,0.6446,0.8896999999999999
32,0.28812,0.9067000000000001,0.9954999999999999,1.6847,0.644,0.8835
33,0.26039,0.9181,0.9965999999999999,1.5959,0.6581999999999999,0.8928
34,0.24587,0.9212,0.9974,1.711,0.6481999999999999,0.8851
35,0.22468,0.9285,0.9976999999999999,1.6858,0.6544,0.8889
36,0.21192,0.9316,0.9981,1.6885,0.6542,0.8896
37,0.19162,0.9397,0.9982,1.6194,0.6662,0.8974
38,0.17189,0.9453,0.9990000000000001,1.8359,0.6396000000000001,0.883
39,0.15878,0.9506999999999999,0.9990000000000001,1.6468,0.6674,0.8987999999999999
40,0.15176,0.9516,0.9991,1.6602,0.6677,0.899
41,0.14204,0.9564,0.9993000000000001,1.6764,0.6635,0.8968
42,0.13267,0.9591,0.9993000000000001,1.806,0.6544,0.8879
43,0.12231,0.9632,0.9993000000000001,1.7071,0.6737000000000001,0.8979
44,0.11232,0.9666,0.9997,1.7853,0.6613,0.8964
45,0.09756,0.971,0.9995999999999999,1.7231,0.6709999999999999,0.8996
46,0.095255,0.9714,0.9995999999999999,1.8317,0.6638,0.8946
47,0.087044,0.9751000000000001,0.9997,1.771,0.6681999999999999,0.8946999999999999
48,0.078641,0.9775,0.9998,1.7849,0.6687000000000001,0.8946
49,0.074334,0.978,0.9998999999999999,1.7802,0.6726000000000001,0.8955
50,0.073114,0.9783,0.9998999999999999,1.7772,0.6717,0.8983
51,0.068379,0.98,0.9998,1.7944,0.6757,0.8979
52,0.066085,0.9812000000000001,0.9998999999999999,1.7611,0.6799,0.8998
53,0.061363,0.9826,0.9998999999999999,1.7659,0.68,0.8994
54,0.060337,0.9823000000000001,0.9998999999999999,1.8016,0.677,0.8975
55,0.055366,0.9848,0.9998999999999999,1.7667,0.6811,0.9016
56,0.053376,0.9854,0.9998999999999999,1.8413,0.6776000000000001,0.8986
57,0.045666,0.9875,0.9998999999999999,1.8058,0.6867,0.9013
58,0.041881,0.9890000000000001,1.0,1.8263,0.6838,0.9018999999999999
59,0.039516,0.9902,1.0,1.7626,0.6888,0.9031999999999999
60,0.042118,0.9887999999999999,0.9998999999999999,1.83,0.6857,0.9023
61,0.044758,0.9875,1.0,1.8283,0.6848000000000001,0.9013
62,0.042371,0.9887,0.9998999999999999,1.8254,0.6855,0.9011
63,0.034426,0.9912000000000001,1.0,1.7945,0.6899,0.9033
64,0.031804,0.9919,1.0,1.8298,0.6888,0.9029
65,0.030616,0.9923000000000001,0.9998999999999999,1.8581,0.6829999999999999,0.9018999999999999
66,0.031939,0.992,1.0,1.8151,0.6862999999999999,0.9028
67,0.02674,0.9931,1.0,1.8858,0.6876000000000001,0.9006000000000001
68,0.030317,0.9921,1.0,1.8727,0.685,0.9052
69,0.026707,0.9936,1.0,1.8766,0.6859000000000001,0.9029
70,0.024207,0.9937999999999999,1.0,1.8575,0.6881999999999999,0.9031999999999999
71,0.024375,0.9943000000000001,1.0,1.8804,0.6795,0.9006000000000001
72,0.024145,0.9940000000000001,1.0,1.8536,0.6901,0.9051
73,0.023305,0.9942,1.0,1.9018,0.6877,0.9025
74,0.022977,0.9948,1.0,1.8539,0.6899,0.9035
75,0.021004,0.995,1.0,1.8824,0.6912,0.9035
76,0.020541,0.9954000000000001,1.0,1.9209,0.6881999999999999,0.9027
77,0.017539,0.9961,1.0,1.867,0.6911,0.9046
78,0.016121,0.9965,1.0,1.8788,0.6937000000000001,0.9047
79,0.015014,0.9968,1.0,1.8654,0.6972,0.905
80,0.017453,0.9961,0.9998999999999999,1.9197,0.691,0.9017000000000001
81,0.01675,0.9965,1.0,1.858,0.6981999999999999,0.9068999999999999
82,0.019411,0.9951000000000001,1.0,1.9105,0.69,0.9025
83,0.016354,0.9963,1.0,1.8722,0.6962,0.9066
84,0.015353,0.9964,1.0,1.937,0.6933,0.9036
85,0.013848,0.9971,1.0,1.9258,0.6931999999999999,0.9048999999999999
86,0.015312,0.9965999999999999,1.0,1.8956,0.6973999999999999,0.9055
87,0.01407,0.9968,1.0,1.9179,0.6984999999999999,0.9079
88,0.011541,0.9979,1.0,1.9216,0.6981999999999999,0.9054000000000001
89,0.011451,0.9976999999999999,1.0,1.9284,0.6962999999999999,0.9044
90,0.011329,0.9976,1.0,1.8834,0.6995,0.9087000000000001
91,0.011958,0.9974,1.0,1.9457,0.6934999999999999,0.9031999999999999
92,0.012066,0.9974,1.0,1.9211,0.6995,0.9047
93,0.010869,0.9979,1.0,1.8996,0.7009000000000001,0.9065000000000001
94,0.010449,0.9978,1.0,1.9331,0.6973,0.9057
95,0.0097593,0.9978,1.0,1.9078,0.7011,0.9052
96,0.0092012,0.9982,1.0,1.9203,0.7,0.9048
97,0.0095023,0.9983,1.0,1.9182,0.7,0.9042
98,0.010051,0.9979,1.0,1.9626,0.6951999999999999,0.9037000000000001
99,0.00987,0.9982,1.0,1.9397,0.7005,0.9061
