Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8674,0.1051,0.3106,3.4329,0.17670000000000002,0.441
1,3.2282,0.2046,0.498,3.0929,0.2415,0.5475
2,2.8057,0.28300000000000003,0.6038,2.6961,0.3111,0.6434000000000001
3,2.4746,0.35350000000000004,0.6789000000000001,2.478,0.3533,0.6789000000000001
4,2.2121,0.4077,0.7351000000000001,2.2901,0.4047,0.7265
5,1.9991,0.4551,0.7759,2.2588,0.41969999999999996,0.745
6,1.8271,0.49420000000000003,0.8081999999999999,2.1798,0.4415,0.7603
7,1.6692,0.5326,0.8345999999999999,2.1791,0.45030000000000003,0.7673000000000001
8,1.5593,0.5589999999999999,0.855,1.8984,0.4968,0.8062
9,1.4384,0.5906,0.8736,1.6799,0.5425,0.8312
10,1.3461,0.6133,0.8879,1.767,0.5321,0.8301000000000001
11,1.2627,0.632,0.8984000000000001,1.7132,0.5428999999999999,0.8386
12,1.1855,0.6529,0.9098999999999999,1.6793,0.5633,0.8458
13,1.1077,0.6742,0.9186,1.7631,0.5456,0.8321999999999999
14,1.0443,0.6896,0.9295,1.6417,0.5759000000000001,0.8540000000000001
15,0.98089,0.7058,0.9364,1.7729,0.5523,0.8405
16,0.9252,0.7195,0.9436,1.4785,0.6145,0.877
17,0.86948,0.7372,0.9488,1.5352,0.606,0.8734999999999999
18,0.80872,0.7523000000000001,0.956,1.5446,0.609,0.8672
19,0.76482,0.7641,0.9601000000000001,1.4822,0.6231,0.8755
20,0.71818,0.7763,0.9655,1.521,0.6147,0.877
21,0.67114,0.7909999999999999,0.9693,1.5315,0.6258,0.88
22,0.62673,0.8056,0.9729000000000001,1.5488,0.6224000000000001,0.8765000000000001
23,0.58012,0.8173999999999999,0.9773000000000001,1.5255,0.6272,0.8845000000000001
24,0.54113,0.8279000000000001,0.9798,1.5117,0.6357,0.8831
25,0.50754,0.8392000000000001,0.9831,1.5694,0.6234000000000001,0.8792
26,0.46767,0.8522,0.9861,1.6424,0.6181,0.8743000000000001
27,0.43329,0.8648,0.9873000000000001,1.5869,0.6314,0.879
28,0.40459,0.8712000000000001,0.9895,1.5641,0.6357,0.8832
29,0.37178,0.8811,0.9919,1.7167,0.62,0.8745999999999999
30,0.34698,0.8885,0.993,1.6881,0.6386999999999999,0.8808
31,0.31337,0.8991,0.9942,1.5486,0.6489,0.8876999999999999
32,0.2899,0.9078,0.9954000000000001,1.6323,0.6422,0.8828
33,0.26706,0.9144,0.9962000000000001,1.6452,0.6509999999999999,0.8881999999999999
34,0.25177,0.9192,0.9965999999999999,1.7758,0.6415000000000001,0.8829
35,0.22983,0.9266,0.9976,1.77,0.6486,0.8879
36,0.21091,0.9334,0.9979,1.7942,0.6411,0.8864
37,0.1935,0.9393,0.9984999999999999,1.7182,0.65,0.8872
38,0.17518,0.9434,0.9987,1.6979,0.6566,0.8911
39,0.16671,0.9473999999999999,0.9987999999999999,1.6435,0.6663,0.8905
40,0.15553,0.9511,0.9992,1.7942,0.6551,0.8898
41,0.14498,0.9545,0.9992,1.7673,0.6551,0.8931999999999999
42,0.13146,0.9590000000000001,0.9993000000000001,1.6669,0.6716,0.8998
43,0.11823,0.965,0.9995999999999999,1.8302,0.657,0.8894
44,0.10897,0.9670000000000001,0.9995999999999999,1.7018,0.6696,0.8987
45,0.10686,0.9681000000000001,0.9995,1.7256,0.669,0.898
46,0.095471,0.9723,0.9997,1.7606,0.6696,0.8939
47,0.085663,0.9751000000000001,0.9998,1.7259,0.6792,0.8967
48,0.08666,0.9745999999999999,0.9998999999999999,1.8267,0.6568999999999999,0.8909999999999999
49,0.078169,0.9779000000000001,0.9997,1.7604,0.6731,0.8944
50,0.072394,0.9784999999999999,0.9998999999999999,1.7773,0.667,0.8952
51,0.062937,0.983,0.9998999999999999,1.7634,0.6795,0.8981
52,0.067245,0.9813,0.9998,1.7617,0.674,0.8996999999999999
53,0.061536,0.9821,1.0,1.7874,0.6776000000000001,0.8984000000000001
54,0.056934,0.9843000000000001,0.9998999999999999,1.7793,0.6759000000000001,0.9014
55,0.051547,0.9858,0.9998999999999999,1.8162,0.6768000000000001,0.9015000000000001
56,0.05092,0.9863,1.0,1.8733,0.6739,0.8920999999999999
57,0.051986,0.9854999999999999,0.9998999999999999,1.8251,0.6744,0.8970999999999999
58,0.04996,0.986,0.9998999999999999,1.8197,0.6818000000000001,0.9004000000000001
59,0.040489,0.9895,1.0,1.7759,0.6855,0.9035
60,0.044683,0.9873000000000001,0.9998999999999999,1.8698,0.6781,0.8993000000000001
61,0.042898,0.9886,0.9998999999999999,1.8783,0.6772,0.8966
62,0.042287,0.9889,0.9998999999999999,1.8537,0.6854,0.8998
63,0.035918,0.9911,1.0,1.82,0.6859000000000001,0.8998999999999999
64,0.038578,0.9895999999999999,1.0,1.8906,0.6804000000000001,0.8986
65,0.033909,0.9911,1.0,1.8994,0.6799,0.9002
66,0.029672,0.993,1.0,1.8308,0.6862999999999999,0.9026000000000001
67,0.029551,0.9924,1.0,1.8663,0.6842,0.9007
68,0.027804,0.9933,1.0,1.8609,0.6883,0.8987999999999999
69,0.024938,0.9936,1.0,1.8704,0.6907,0.9020999999999999
70,0.025008,0.9937999999999999,1.0,1.8179,0.6956,0.9061
71,0.024943,0.9937,1.0,1.99,0.6795,0.9007
72,0.023858,0.9945,1.0,1.8703,0.6886,0.9037000000000001
73,0.025477,0.9937,1.0,1.8789,0.6925,0.9013
74,0.023186,0.9943000000000001,1.0,1.8911,0.6859000000000001,0.9018
75,0.022757,0.9947,1.0,1.9055,0.6929000000000001,0.9034
76,0.021056,0.9948,1.0,1.9094,0.6862,0.9027
77,0.020312,0.9952,1.0,1.9224,0.6896,0.9025
78,0.016072,0.9965999999999999,1.0,1.8754,0.6926000000000001,0.9042
79,0.015183,0.9971,1.0,1.9135,0.6933,0.9029
80,0.018476,0.9956,1.0,1.9631,0.6890999999999999,0.9018
81,0.015351,0.9968,1.0,1.9111,0.6903,0.9039
82,0.013954,0.9971,1.0,1.9273,0.6949,0.9061
83,0.014798,0.9965999999999999,1.0,1.921,0.6915,0.9012
84,0.014243,0.9971,1.0,1.9072,0.693,0.9056000000000001
85,0.013307,0.9972,1.0,1.9175,0.6923999999999999,0.9047
86,0.013839,0.9972,1.0,1.921,0.6947,0.9033
87,0.014205,0.9969,1.0,1.9328,0.6969,0.9042
88,0.014069,0.9971,1.0,1.9935,0.6934999999999999,0.9007
89,0.014171,0.9967,1.0,1.908,0.6947,0.9074
90,0.01213,0.9976999999999999,1.0,1.9136,0.6966,0.9025
91,0.012293,0.9974,1.0,1.9229,0.6939,0.9031
92,0.011533,0.9974,1.0,1.9417,0.6886,0.903
93,0.0095557,0.9983,1.0,1.9051,0.6978,0.9066
94,0.011057,0.9978,1.0,1.9337,0.6940999999999999,0.9059999999999999
95,0.011612,0.9976,1.0,1.94,0.7001999999999999,0.9053
96,0.012133,0.9973000000000001,1.0,1.9208,0.6994,0.9068
97,0.010349,0.9978,1.0,1.9337,0.6990999999999999,0.9072
98,0.010347,0.9979,1.0,1.9382,0.6981,0.9068999999999999
99,0.010625,0.9978,1.0,1.9327,0.6990999999999999,0.9067000000000001
