Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8474,0.10679999999999999,0.3184,3.4178,0.1813,0.4434
1,3.2016,0.213,0.5038,2.9942,0.25920000000000004,0.5602
2,2.794,0.2847,0.6083,2.6848,0.3074,0.6396000000000001
3,2.4563,0.35509999999999997,0.6858,2.4587,0.3697,0.6868000000000001
4,2.1836,0.4131,0.7415,2.2823,0.4133,0.7279000000000001
5,1.9637,0.4645,0.7837999999999999,2.3694,0.4056,0.7288
6,1.7948,0.5031,0.8148000000000001,2.0248,0.4653,0.7786
7,1.6419,0.5395,0.84,1.8692,0.5014,0.8062999999999999
8,1.5264,0.5678,0.8595999999999999,1.9254,0.4968,0.7981999999999999
9,1.4109,0.5969,0.8791,1.725,0.5389,0.8212
10,1.3218,0.6182,0.8901,1.7361,0.5318,0.8356999999999999
11,1.2397,0.6406000000000001,0.9018,1.7518,0.5498,0.8297
12,1.1664,0.6564,0.9139,1.7207,0.5640999999999999,0.8379000000000001
13,1.0854,0.6805,0.9214,1.6837,0.5649000000000001,0.8423
14,1.0245,0.6959000000000001,0.929,1.6251,0.5844,0.8625
15,0.96088,0.7118000000000001,0.9373999999999999,1.5532,0.5992999999999999,0.8659
16,0.90422,0.7276,0.9444,1.6397,0.588,0.8554999999999999
17,0.85179,0.7437999999999999,0.9494,1.5318,0.6124,0.8698999999999999
18,0.79192,0.7595999999999999,0.9567,1.5776,0.6033,0.8702
19,0.74463,0.7709999999999999,0.9623,1.4627,0.623,0.8761
20,0.70715,0.7807999999999999,0.9662000000000001,1.5113,0.6175999999999999,0.8805
21,0.6516,0.7976000000000001,0.9706,1.4702,0.6312,0.8833
22,0.60892,0.81,0.9743,1.4763,0.631,0.8834000000000001
23,0.5641,0.8237000000000001,0.9775,1.5807,0.6283,0.8859
24,0.52365,0.8365,0.9815999999999999,1.5842,0.6324000000000001,0.8768
25,0.49124,0.8418000000000001,0.9840000000000001,1.6044,0.6257,0.8782
26,0.45465,0.8554999999999999,0.9865999999999999,1.5478,0.6392,0.8848
27,0.41819,0.8672,0.9886,1.6582,0.6319,0.8811
28,0.39281,0.8737999999999999,0.99,1.5439,0.6455,0.8856
29,0.36357,0.8831,0.9925,1.6065,0.6413,0.8906999999999999
30,0.33981,0.8914,0.9928,1.6044,0.6465000000000001,0.8885
31,0.3136,0.8995000000000001,0.9943000000000001,1.6286,0.6425,0.8885
32,0.27684,0.912,0.9962000000000001,1.686,0.6372,0.8769
33,0.2605,0.9155,0.9965,1.7716,0.6433,0.8841
34,0.25382,0.9192,0.9972,1.6127,0.6593000000000001,0.8922
35,0.22637,0.9278,0.9975,1.7666,0.6483,0.8875
36,0.20293,0.9369,0.998,1.6686,0.6555,0.8942
37,0.18534,0.9415,0.9984000000000001,1.7183,0.6570999999999999,0.8919
38,0.17661,0.9443,0.9987,1.6639,0.6622,0.8934000000000001
39,0.16502,0.9475,0.9990000000000001,1.7324,0.6606000000000001,0.8894
40,0.14961,0.9531000000000001,0.9993000000000001,1.7297,0.6659999999999999,0.8918
41,0.13887,0.9571,0.9991,1.7179,0.665,0.8931999999999999
42,0.124,0.9620000000000001,0.9994,1.7022,0.6725,0.8948999999999999
43,0.11698,0.9643999999999999,0.9995999999999999,1.7394,0.6622,0.898
44,0.10981,0.9668000000000001,0.9995999999999999,1.7527,0.6718999999999999,0.8963
45,0.097774,0.9703,0.9997,1.7901,0.6656,0.8952
46,0.098921,0.9702,0.9995999999999999,1.7386,0.6775,0.8973
47,0.08433,0.9761,0.9998999999999999,1.7247,0.6762,0.9016
48,0.079622,0.9762000000000001,0.9998,1.7905,0.6748000000000001,0.8976999999999999
49,0.079852,0.9765,0.9997,1.8091,0.6685,0.897
50,0.073261,0.9786,0.9998,1.8934,0.6685,0.8929
51,0.071628,0.9792000000000001,0.9997,1.7938,0.6740999999999999,0.8963
52,0.066735,0.9812000000000001,0.9998999999999999,1.8083,0.6737000000000001,0.8974
53,0.061293,0.9823999999999999,1.0,1.8555,0.6718999999999999,0.8975
54,0.056099,0.9843000000000001,0.9998999999999999,1.7937,0.6831999999999999,0.9031999999999999
55,0.051356,0.9858,0.9998999999999999,1.947,0.6704000000000001,0.8941
56,0.047011,0.9878,1.0,1.8252,0.6770999999999999,0.8983
57,0.042084,0.9895999999999999,1.0,1.7616,0.6895,0.8992
58,0.040525,0.9894,1.0,1.8235,0.6831,0.9042
59,0.042806,0.9883,0.9998999999999999,1.8397,0.6831999999999999,0.9013
60,0.041034,0.9887999999999999,1.0,1.8002,0.6888,0.8996999999999999
61,0.037528,0.9898,0.9998999999999999,1.8614,0.6829999999999999,0.9011
62,0.036526,0.9906,1.0,1.8977,0.6840999999999999,0.9007
63,0.03574,0.9902,0.9998999999999999,1.9209,0.682,0.8994
64,0.034076,0.9911,1.0,1.9314,0.6790999999999999,0.8956000000000001
65,0.030733,0.9926999999999999,1.0,1.81,0.6933,0.9029
66,0.033782,0.9911,0.9998999999999999,1.8949,0.6806,0.897
67,0.028153,0.9926,1.0,1.863,0.6920999999999999,0.9042
68,0.026272,0.9937999999999999,1.0,1.8318,0.6957,0.904
69,0.026119,0.9933,1.0,1.8715,0.6975,0.9031
70,0.025504,0.9933,1.0,1.8881,0.6943,0.9057
71,0.024978,0.9940000000000001,1.0,1.9238,0.6867,0.9014
72,0.02181,0.9954000000000001,1.0,1.8961,0.6962999999999999,0.9027
73,0.022232,0.995,1.0,1.927,0.6884,0.9009999999999999
74,0.020282,0.9952,1.0,1.8736,0.6934999999999999,0.9020999999999999
75,0.018278,0.996,1.0,1.8754,0.6953,0.9057999999999999
76,0.018689,0.9956,1.0,1.935,0.6929000000000001,0.9048999999999999
77,0.017681,0.9962000000000001,1.0,1.9361,0.6964,0.9017000000000001
78,0.020862,0.9945999999999999,1.0,1.9424,0.6894,0.9024
79,0.018803,0.9956999999999999,1.0,1.9274,0.6926000000000001,0.9041
80,0.02059,0.995,1.0,1.9192,0.6927,0.9041
81,0.01854,0.9958,1.0,1.9228,0.6945999999999999,0.9027
82,0.014834,0.9969,1.0,1.9012,0.7,0.9079999999999999
83,0.017547,0.9954999999999999,1.0,1.9278,0.6911,0.9037999999999999
84,0.017504,0.996,1.0,1.9242,0.6931999999999999,0.9064
85,0.014149,0.9968,1.0,1.8994,0.6988,0.9054000000000001
86,0.014438,0.9969,1.0,1.9677,0.6949,0.9
87,0.015171,0.9965999999999999,1.0,1.9192,0.7001000000000001,0.9044
88,0.014459,0.9967,1.0,1.9691,0.695,0.9031
89,0.013536,0.9971,1.0,1.9473,0.6911,0.9035
90,0.014432,0.9969,1.0,1.943,0.6956,0.9073
91,0.012658,0.9972,1.0,2.0197,0.6895,0.9007
92,0.013209,0.997,1.0,1.9439,0.6983,0.9045000000000001
93,0.012696,0.9972,1.0,1.9752,0.6969,0.9051
94,0.012058,0.9975,1.0,1.9606,0.6964,0.9057
95,0.010535,0.9979,1.0,1.9739,0.6989,0.9062
96,0.0088265,0.9983,1.0,1.956,0.7019,0.9076000000000001
97,0.0096127,0.9979,1.0,1.9452,0.7003,0.9079
98,0.0090883,0.9983,1.0,1.9584,0.7018000000000001,0.9068999999999999
99,0.010121,0.998,1.0,2.0057,0.6995,0.9039
