Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8855,0.0998,0.3071,3.4703,0.16829999999999998,0.43329999999999996
1,3.2662,0.19949999999999998,0.4878,3.0306,0.25379999999999997,0.5504
2,2.8809,0.2705,0.5842,2.7813,0.2955,0.6179
3,2.5614,0.3369,0.659,2.5591,0.3461,0.6633
4,2.2971,0.3925,0.7149,2.2665,0.4072,0.7254
5,2.0777,0.4379,0.7609999999999999,2.328,0.40549999999999997,0.7328
6,1.8947,0.4771,0.797,2.071,0.4522,0.7709999999999999
7,1.736,0.5154,0.8251000000000001,1.9877,0.4702,0.7826000000000001
8,1.6183,0.5448,0.8439,1.9604,0.4905,0.79
9,1.4962,0.5744,0.8644,1.7952,0.5218,0.8166
10,1.4002,0.5993999999999999,0.8781,1.8938,0.501,0.8067
11,1.3097,0.6214,0.8912,1.7564,0.5444,0.8267
12,1.2391,0.6379,0.9027,1.7432,0.5459,0.8278
13,1.1602,0.6584,0.9116,1.6963,0.5553,0.8377
14,1.1005,0.674,0.922,1.6023,0.58,0.8502
15,1.0311,0.6939,0.9297,1.6449,0.5757,0.8515999999999999
16,0.96541,0.7104,0.9384999999999999,1.5361,0.5968,0.8601000000000001
17,0.91432,0.7254,0.9433,1.7214,0.5760000000000001,0.8576
18,0.8605,0.7382,0.9494,1.6248,0.595,0.8652
19,0.80258,0.7572,0.9556,1.5493,0.6019,0.8697
20,0.76609,0.765,0.9603,1.541,0.612,0.8704999999999999
21,0.71741,0.7786,0.9645999999999999,1.5716,0.6146,0.8729
22,0.66962,0.7931999999999999,0.9699,1.5325,0.6273,0.8775
23,0.62555,0.8057,0.9727,1.5165,0.627,0.8781
24,0.58832,0.8170000000000001,0.9768000000000001,1.5168,0.6359,0.8791
25,0.55449,0.8255,0.9790000000000001,1.5725,0.6164999999999999,0.8805
26,0.51112,0.8378,0.983,1.6243,0.6195,0.8759999999999999
27,0.48109,0.8467,0.9856999999999999,1.5528,0.6346,0.8804000000000001
28,0.44941,0.857,0.9878,1.5329,0.6412,0.8806999999999999
29,0.41063,0.8682,0.9899,1.617,0.6292,0.88
30,0.3866,0.8763,0.991,1.6529,0.6353,0.8776999999999999
31,0.35615,0.8859,0.9929000000000001,1.5843,0.6439,0.8824
32,0.32656,0.8959,0.9937,1.6989,0.6333,0.8787
33,0.31207,0.8989,0.9948999999999999,1.6707,0.6456000000000001,0.8859999999999999
34,0.28724,0.9081,0.9958,1.6342,0.6439,0.8865999999999999
35,0.25973,0.9172,0.9963,1.6913,0.6469,0.8847
36,0.24282,0.9226000000000001,0.9972,1.7382,0.6478,0.8856999999999999
37,0.23015,0.9269,0.9976,1.714,0.6526000000000001,0.8865999999999999
38,0.20204,0.9366,0.9983,1.658,0.6554000000000001,0.8903
39,0.19221,0.9399,0.9986,1.7368,0.6547,0.8865999999999999
40,0.18018,0.9434,0.9987,1.7578,0.6568999999999999,0.8887
41,0.16797,0.9473999999999999,0.9990000000000001,1.6636,0.6616,0.8963
42,0.1581,0.9503,0.9990000000000001,1.7896,0.6557,0.8872
43,0.14392,0.9553,0.9992,1.7816,0.6598999999999999,0.8904000000000001
44,0.13121,0.9594,0.9992,1.7439,0.6613,0.8920999999999999
45,0.12581,0.9621999999999999,0.9994,1.7249,0.6663,0.8913
46,0.11354,0.9658,0.9995,1.7706,0.6661,0.8901
47,0.10772,0.9673999999999999,0.9995999999999999,1.7265,0.6688,0.8926000000000001
48,0.10579,0.9684999999999999,0.9995999999999999,1.766,0.6685,0.8942
49,0.093281,0.973,0.9997,1.7808,0.6679999999999999,0.8936
50,0.08464,0.9754999999999999,0.9998,1.8902,0.6604000000000001,0.8901
51,0.082845,0.9763,0.9998,1.8405,0.6638,0.892
52,0.081058,0.976,0.9998,1.8352,0.6656,0.8893000000000001
53,0.072819,0.9784999999999999,0.9998999999999999,1.8616,0.67,0.8931
54,0.074426,0.9782,0.9998,1.8998,0.6696,0.8924
55,0.065357,0.9806999999999999,0.9998999999999999,1.8296,0.6761,0.8970999999999999
56,0.063105,0.9823000000000001,1.0,1.9163,0.6648999999999999,0.8926000000000001
57,0.058164,0.9837,0.9998999999999999,1.8432,0.6787000000000001,0.8931999999999999
58,0.05492,0.9845,0.9998999999999999,1.8741,0.6754000000000001,0.8954000000000001
59,0.053588,0.9856,0.9998999999999999,1.8326,0.6811,0.9014
60,0.051504,0.9852,1.0,1.8323,0.6828,0.8955
61,0.052996,0.9845999999999999,1.0,2.062,0.6559,0.8806
62,0.048046,0.9865999999999999,0.9998999999999999,1.8504,0.68,0.9014
63,0.044751,0.9872,1.0,1.9766,0.6717,0.8969
64,0.045355,0.9875,1.0,1.8852,0.6814,0.8981999999999999
65,0.04148,0.9887,1.0,1.8741,0.6809999999999999,0.8943000000000001
66,0.040568,0.9889,1.0,1.855,0.6779999999999999,0.8973
67,0.036649,0.9902,0.9998999999999999,1.8666,0.6866,0.8956000000000001
68,0.032554,0.9919,1.0,1.8427,0.6865000000000001,0.9007999999999999
69,0.034512,0.9909,1.0,1.9195,0.6819,0.8973
70,0.030655,0.9926999999999999,1.0,1.9377,0.68,0.9007999999999999
71,0.037014,0.9901000000000001,0.9998999999999999,1.9197,0.6805,0.8961
72,0.029988,0.9922,1.0,1.8785,0.6854,0.8998
73,0.025755,0.9945,0.9998999999999999,1.9204,0.6828,0.8981999999999999
74,0.025839,0.9937,0.9998999999999999,1.8566,0.6865000000000001,0.902
75,0.026728,0.9931,1.0,1.9366,0.6828,0.898
76,0.02676,0.9937999999999999,1.0,1.89,0.6855,0.9024
77,0.026563,0.9934000000000001,1.0,1.9312,0.6853,0.8994
78,0.02378,0.9943000000000001,1.0,1.9097,0.6887000000000001,0.8991
79,0.021895,0.9951000000000001,1.0,1.877,0.6912999999999999,0.9028
80,0.021274,0.9951000000000001,0.9998999999999999,1.8979,0.6901999999999999,0.9018999999999999
81,0.024291,0.9937,1.0,1.9153,0.6864,0.8961
82,0.021317,0.9948,1.0,1.9218,0.6904,0.8994
83,0.019138,0.9954999999999999,1.0,1.961,0.6873,0.9016
84,0.01956,0.9952,1.0,1.914,0.6857,0.8981
85,0.02036,0.9954000000000001,1.0,1.9367,0.6870999999999999,0.8987999999999999
86,0.01954,0.9954000000000001,1.0,1.9524,0.6889,0.9006000000000001
87,0.021766,0.9943000000000001,1.0,1.9573,0.6920999999999999,0.897
88,0.017671,0.9962000000000001,1.0,1.9063,0.6944,0.9015000000000001
89,0.016209,0.9963,1.0,1.9167,0.6970000000000001,0.9006000000000001
90,0.015213,0.9968,1.0,1.9395,0.6938,0.9004000000000001
91,0.017791,0.9954000000000001,1.0,1.9651,0.6912,0.8972
92,0.014931,0.9967,1.0,2.0083,0.6879000000000001,0.9001
93,0.014862,0.9965999999999999,1.0,2.0327,0.6843,0.8953
94,0.013979,0.997,1.0,1.9145,0.6962,0.9062
95,0.013421,0.997,1.0,1.9906,0.6955,0.899
96,0.012206,0.9972,1.0,1.9576,0.6948000000000001,0.9003
97,0.012325,0.9974,1.0,1.9416,0.6969,0.9024
98,0.015036,0.9964,1.0,2.0144,0.6903,0.8987999999999999
99,0.014199,0.9968,1.0,1.9803,0.6894,0.8996999999999999
