Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8987,0.0977,0.2999,3.5008,0.1659,0.41759999999999997
1,3.2957,0.196,0.4782,3.1343,0.22829999999999998,0.5329
2,2.9162,0.264,0.5732,2.8207,0.29359999999999997,0.6107
3,2.6056,0.32780000000000004,0.6501,2.5133,0.3514,0.6695
4,2.3518,0.3796,0.7048000000000001,2.4056,0.3851,0.6973999999999999
5,2.1392,0.4267,0.7493000000000001,2.4758,0.37310000000000004,0.7034
6,1.9666,0.4645,0.7842,2.1857,0.43829999999999997,0.7437999999999999
7,1.8029,0.5024000000000001,0.8106,2.0898,0.4576,0.7733
8,1.688,0.5301,0.8338,1.9557,0.48700000000000004,0.7907
9,1.5664,0.5565,0.8531,1.8398,0.52,0.8070999999999999
10,1.4668,0.5834,0.8673000000000001,1.8799,0.5091,0.8073
11,1.3696,0.6087,0.883,1.7854,0.5334,0.8203
12,1.2968,0.6257,0.8928,1.6679,0.5603,0.8378
13,1.2166,0.6462,0.9043000000000001,1.7139,0.5562,0.8356
14,1.1521,0.6627,0.9145,1.6395,0.5700999999999999,0.845
15,1.0874,0.6769,0.922,1.693,0.5611,0.8426
16,1.0261,0.696,0.9305,1.6,0.5896,0.8548
17,0.96568,0.7117,0.9375,1.5731,0.5939,0.8645
18,0.91328,0.7240000000000001,0.9440000000000001,1.5497,0.5998,0.8625
19,0.85575,0.7421,0.9501000000000001,1.5468,0.6054999999999999,0.8654999999999999
20,0.81099,0.7523000000000001,0.9556999999999999,1.5215,0.6023,0.8671
21,0.76225,0.7648999999999999,0.9605,1.5617,0.6037,0.8728
22,0.7132,0.7802,0.9648,1.5352,0.6145,0.8742
23,0.67228,0.7929,0.9690000000000001,1.5444,0.6196,0.8748999999999999
24,0.62363,0.8078,0.9731000000000001,1.5233,0.6274000000000001,0.8776999999999999
25,0.58752,0.8162999999999999,0.9769,1.5744,0.6194,0.8713
26,0.55064,0.8275,0.9787,1.6348,0.6195,0.8734000000000001
27,0.51389,0.8384999999999999,0.9826,1.5745,0.633,0.8791
28,0.47781,0.8484,0.9848,1.56,0.6234000000000001,0.8773000000000001
29,0.44401,0.8589,0.9879000000000001,1.6612,0.6239,0.8701000000000001
30,0.41964,0.8651000000000001,0.9891,1.6537,0.6342,0.8756999999999999
31,0.3895,0.8745999999999999,0.9915999999999999,1.6651,0.6273,0.8809
32,0.35954,0.8852,0.9921,1.6168,0.6383,0.8784000000000001
33,0.32939,0.8957999999999999,0.9934999999999999,1.6882,0.6377,0.88
34,0.31127,0.8996,0.9945,1.6549,0.636,0.8815000000000001
35,0.28393,0.9091,0.9959,1.6985,0.6409999999999999,0.8815999999999999
36,0.26609,0.9148000000000001,0.9964,1.7933,0.634,0.8773000000000001
37,0.24724,0.9213,0.9969,1.788,0.6382,0.8794
38,0.22308,0.9295,0.9976999999999999,1.7084,0.6464,0.8878
39,0.20528,0.9354,0.9981,1.7009,0.6544,0.8863
40,0.19578,0.938,0.9984000000000001,1.8143,0.6416,0.8801000000000001
41,0.18381,0.9412999999999999,0.9986,1.7451,0.6514,0.8876999999999999
42,0.1689,0.9460999999999999,0.9987999999999999,1.7779,0.6473,0.8809999999999999
43,0.1549,0.9511,0.9990000000000001,1.8411,0.6467,0.8876999999999999
44,0.14167,0.9569,0.9991,1.8403,0.6518999999999999,0.8843000000000001
45,0.13413,0.9587,0.9995,1.8158,0.6557999999999999,0.8842
46,0.12043,0.9637,0.9995999999999999,1.8036,0.6514,0.889
47,0.10892,0.9675,0.9995,1.8752,0.6537000000000001,0.8873000000000001
48,0.10716,0.9678,0.9994,1.8366,0.6562,0.8881999999999999
49,0.099446,0.9703,0.9997,1.9007,0.6543000000000001,0.8883
50,0.092464,0.9728,0.9998,1.8606,0.6589,0.8879
51,0.083627,0.9752,0.9998,1.8939,0.6581,0.8875
52,0.080734,0.9771,0.9998999999999999,1.883,0.6574,0.8841
53,0.077696,0.9771,0.9998,1.9288,0.6585,0.8892
54,0.074397,0.9784999999999999,0.9998999999999999,1.9191,0.6570999999999999,0.8876999999999999
55,0.072997,0.9782,0.9998999999999999,2.0567,0.6509999999999999,0.8842
56,0.072818,0.9786,0.9998,1.9323,0.6659,0.8875
57,0.063088,0.9815999999999999,0.9998999999999999,1.9334,0.6624,0.8859999999999999
58,0.061367,0.9823000000000001,0.9998999999999999,1.9585,0.6659,0.8904000000000001
59,0.055453,0.9847,0.9998999999999999,1.8577,0.6751,0.895
60,0.050604,0.9862000000000001,1.0,1.9511,0.6687000000000001,0.8902
61,0.045338,0.9879000000000001,0.9998999999999999,1.9834,0.6662,0.8922
62,0.048469,0.9864,0.9998999999999999,1.9832,0.6668999999999999,0.8875
63,0.049482,0.9858,0.9998999999999999,1.9363,0.6731999999999999,0.8908
64,0.046917,0.9872,1.0,1.9906,0.6693000000000001,0.8886
65,0.038084,0.9902,1.0,1.9236,0.6746,0.894
66,0.039161,0.9899,0.9998999999999999,1.9938,0.6694,0.8902
67,0.03856,0.9899,0.9998999999999999,1.9711,0.6725,0.8898999999999999
68,0.035777,0.9909,1.0,1.9372,0.6862,0.8925
69,0.033668,0.9913,1.0,1.9652,0.6772,0.8956000000000001
70,0.032976,0.9918,0.9998999999999999,2.0294,0.67,0.8916
71,0.034764,0.991,1.0,1.9952,0.6759000000000001,0.8917
72,0.029774,0.9929000000000001,1.0,2.0405,0.6731999999999999,0.8916
73,0.028619,0.9926,1.0,1.9948,0.6768000000000001,0.8954000000000001
74,0.024588,0.9944,1.0,1.9502,0.6839,0.895
75,0.025213,0.9937999999999999,1.0,1.9818,0.6817,0.8965000000000001
76,0.023617,0.9945999999999999,1.0,1.9996,0.6777,0.8926999999999999
77,0.023141,0.9945999999999999,1.0,1.9735,0.6831,0.8937999999999999
78,0.024371,0.9939,1.0,1.9566,0.6878,0.8934000000000001
79,0.022202,0.9945,1.0,1.9889,0.6828,0.8986
80,0.021559,0.9948,1.0,2.0302,0.6796,0.8948999999999999
81,0.020854,0.9952,1.0,2.0069,0.6815000000000001,0.8957999999999999
82,0.019868,0.9954999999999999,1.0,1.989,0.6828,0.8969
83,0.017043,0.9962000000000001,1.0,2.019,0.6804000000000001,0.8976999999999999
84,0.019961,0.9948999999999999,1.0,2.0812,0.677,0.8956000000000001
85,0.015285,0.997,1.0,1.9896,0.6851999999999999,0.8996999999999999
86,0.016411,0.9967,1.0,2.007,0.6862999999999999,0.8955
87,0.017767,0.9954999999999999,1.0,2.0166,0.6831,0.8981
88,0.018554,0.9961,0.9998999999999999,2.0316,0.6818000000000001,0.8946999999999999
89,0.015894,0.9965999999999999,1.0,2.0208,0.6831999999999999,0.895
90,0.015572,0.9965999999999999,1.0,2.0663,0.6869,0.8942
91,0.014168,0.9971,1.0,2.0349,0.6835,0.8943000000000001
92,0.012758,0.9975,1.0,2.0802,0.6809000000000001,0.8926000000000001
93,0.013505,0.997,1.0,2.0394,0.6861,0.8984000000000001
94,0.012981,0.997,1.0,2.0791,0.6833,0.8962
95,0.014173,0.9969,1.0,2.0343,0.6854,0.8973
96,0.01277,0.9972,1.0,2.0725,0.6843,0.8968
97,0.014922,0.997,1.0,2.0344,0.6851,0.8981999999999999
98,0.011974,0.9975,1.0,2.1001,0.6806,0.8943000000000001
99,0.01355,0.997,1.0,2.0536,0.6845,0.8976999999999999
