Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.9531,0.09179999999999999,0.2827,3.5631,0.1505,0.4019
1,3.4043,0.17550000000000002,0.4501,3.2292,0.21230000000000002,0.5023
2,3.0834,0.2329,0.5342,3.123,0.24480000000000002,0.5347999999999999
3,2.8353,0.2812,0.5942000000000001,2.8644,0.2828,0.5947
4,2.6408,0.3214,0.6415000000000001,2.645,0.3337,0.6431999999999999
5,2.4718,0.3538,0.6792,2.5971,0.34450000000000003,0.6718000000000001
6,2.3259,0.3858,0.7103,2.4923,0.3725,0.6861
7,2.1872,0.4178,0.7375,2.3819,0.39399999999999996,0.7001999999999999
8,2.0762,0.44170000000000004,0.7619,2.3395,0.40369999999999995,0.716
9,1.9706,0.46399999999999997,0.7801,2.2067,0.4357,0.7378
10,1.8707,0.4901,0.7997,2.0849,0.4596,0.7681
11,1.7815,0.5112,0.8154,2.1136,0.4542,0.7646999999999999
12,1.7067,0.5279,0.8284,2.0424,0.4753,0.775
13,1.6239,0.5456,0.8417,2.1175,0.4667,0.7643000000000001
14,1.556,0.5613,0.8552,1.8869,0.5081,0.805
15,1.4842,0.5778,0.865,1.9966,0.49229999999999996,0.7867000000000001
16,1.4164,0.5986,0.8740000000000001,2.0059,0.4939,0.7902
17,1.356,0.613,0.8835,1.8959,0.5146999999999999,0.8042
18,1.2941,0.626,0.8936,1.868,0.5264,0.8123
19,1.2355,0.6423000000000001,0.9022,1.8226,0.5401,0.8169
20,1.1865,0.6562,0.9083,1.8652,0.527,0.8097
21,1.1261,0.6686,0.9192,1.8971,0.5246,0.8105
22,1.0851,0.6790999999999999,0.9229,1.9041,0.5299,0.8144
23,1.0302,0.6949,0.9283,1.8054,0.5494,0.8267
24,0.9756,0.7084,0.9368000000000001,1.8933,0.5493,0.8208
25,0.93063,0.72,0.9433,1.8588,0.546,0.8249
26,0.87516,0.7354,0.9481999999999999,2.1868,0.4965,0.7978000000000001
27,0.82712,0.7502,0.9531000000000001,1.9071,0.5483,0.8289
28,0.79214,0.7573000000000001,0.9589,1.8908,0.5602,0.83
29,0.74382,0.7714,0.9643999999999999,1.907,0.5589999999999999,0.8305
30,0.70772,0.7823,0.9670000000000001,1.9363,0.5579999999999999,0.8306999999999999
31,0.66725,0.7951,0.971,1.9328,0.5587,0.8279000000000001
32,0.6262,0.8053,0.9741,1.9852,0.5604,0.8291
33,0.5878,0.8190999999999999,0.9773000000000001,2.028,0.5608,0.8309000000000001
34,0.55497,0.8267,0.9804,2.0224,0.5618,0.8298000000000001
35,0.51541,0.8402,0.9831,2.0121,0.5724,0.8391
36,0.48737,0.8464,0.9861,2.0902,0.5587,0.8279000000000001
37,0.45459,0.8561,0.9871,2.0183,0.5743,0.8337
38,0.42541,0.8653,0.9891,2.0728,0.5675,0.8328
39,0.4041,0.8724,0.99,2.012,0.5797,0.8368000000000001
40,0.37857,0.882,0.9914000000000001,2.121,0.5699000000000001,0.8387
41,0.34863,0.8896999999999999,0.9934000000000001,2.0935,0.5802,0.841
42,0.3258,0.8959999999999999,0.9947,2.1866,0.5707,0.8331000000000001
43,0.30326,0.9046,0.9948999999999999,2.1476,0.5752,0.8434
44,0.28496,0.9109,0.9959,2.1308,0.5861999999999999,0.8440000000000001
45,0.26212,0.9168999999999999,0.9964,2.2269,0.5735,0.8373
46,0.25152,0.9204000000000001,0.9971,2.2632,0.574,0.8381000000000001
47,0.22988,0.9277,0.9979,2.2874,0.5722999999999999,0.8376
48,0.21344,0.9349,0.9981,2.2678,0.5761999999999999,0.8411
49,0.1979,0.9384,0.9986,2.2188,0.5861,0.8443
50,0.1805,0.9447,0.9986,2.272,0.5839,0.8420000000000001
51,0.1729,0.9467,0.9989,2.3562,0.5751,0.8389
52,0.16413,0.9498000000000001,0.9991,2.2622,0.589,0.8392000000000001
53,0.15097,0.9525,0.9993000000000001,2.3783,0.5857,0.8415
54,0.14477,0.9561,0.9992,2.3532,0.5842,0.8423
55,0.13421,0.9597,0.9993000000000001,2.394,0.5875,0.8415
56,0.13252,0.9591,0.9995,2.3823,0.5845,0.84
57,0.11901,0.9648,0.9995,2.4001,0.5858,0.8405
58,0.11452,0.966,0.9995999999999999,2.3465,0.6006,0.8414
59,0.10456,0.9681000000000001,0.9995,2.3544,0.5969,0.8454
60,0.096427,0.9722,0.9995999999999999,2.4438,0.5956,0.8462000000000001
61,0.10153,0.9701000000000001,0.9998,2.4581,0.5956,0.8448
62,0.095359,0.9715,0.9997,2.4554,0.5918,0.8454999999999999
63,0.085651,0.9751000000000001,0.9998,2.4085,0.6009,0.8456
64,0.087223,0.9743,0.9997,2.415,0.603,0.8490000000000001
65,0.076744,0.9779000000000001,0.9998,2.5376,0.5844,0.8388
66,0.075534,0.9782,0.9998999999999999,2.4695,0.6,0.8443999999999999
67,0.071515,0.9793000000000001,0.9998,2.4711,0.6015999999999999,0.846
68,0.073329,0.9789,0.9998,2.4548,0.6011,0.8492000000000001
69,0.069925,0.9793000000000001,1.0,2.5823,0.599,0.8422
70,0.061242,0.9829000000000001,0.9998999999999999,2.5158,0.6041,0.8464
71,0.061249,0.9826,1.0,2.5565,0.5992999999999999,0.8443999999999999
72,0.056213,0.9848,0.9998999999999999,2.6608,0.5941,0.8423999999999999
73,0.05605,0.9848,1.0,2.6044,0.5972,0.8458
74,0.052252,0.9861,0.9998999999999999,2.5844,0.5943999999999999,0.8482999999999999
75,0.048955,0.9865999999999999,0.9998999999999999,2.5996,0.5959,0.8432
76,0.047482,0.9875,0.9998999999999999,2.5256,0.6053999999999999,0.8537
77,0.04252,0.9892,0.9998999999999999,2.5776,0.6011,0.8448
78,0.041856,0.9890000000000001,0.9998999999999999,2.58,0.598,0.8461
79,0.042079,0.9886,1.0,2.5623,0.6109,0.8515999999999999
80,0.041787,0.9891,1.0,2.6154,0.6054999999999999,0.8487
81,0.041734,0.9887,1.0,2.6219,0.6043999999999999,0.8493
82,0.040879,0.9892,0.9998999999999999,2.62,0.6043,0.8493
83,0.034786,0.9913,1.0,2.5751,0.6111,0.8515
84,0.036457,0.9909,1.0,2.633,0.6091,0.851
85,0.034309,0.991,0.9998999999999999,2.6248,0.6024,0.8522
86,0.030427,0.9926,1.0,2.6512,0.606,0.8451000000000001
87,0.03301,0.9915,1.0,2.5749,0.6142,0.853
88,0.034086,0.9912000000000001,1.0,2.6363,0.6137,0.8531
89,0.032293,0.9917,0.9998999999999999,2.6128,0.6118,0.8551000000000001
90,0.029888,0.9926,1.0,2.6122,0.6143,0.8512000000000001
91,0.028732,0.9931,0.9998999999999999,2.6742,0.6038,0.8493999999999999
92,0.02649,0.9931,1.0,2.709,0.6089,0.8503000000000001
93,0.02773,0.9933,1.0,2.643,0.613,0.8554999999999999
94,0.024374,0.9940000000000001,1.0,2.6824,0.6127,0.8548
95,0.025846,0.9936,0.9998999999999999,2.6685,0.6124,0.8512000000000001
96,0.025241,0.9940000000000001,1.0,2.6721,0.6114999999999999,0.8501000000000001
97,0.026172,0.9934999999999999,1.0,2.6848,0.6108,0.8490000000000001
98,0.024259,0.9941,0.9998999999999999,2.7108,0.6071,0.8492000000000001
99,0.025332,0.9933,0.9998999999999999,2.7321,0.609,0.8502
