Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.9695,0.0866,0.2782,3.5959,0.14679999999999999,0.3944
1,3.3941,0.1759,0.4522,3.2356,0.20809999999999998,0.5024000000000001
2,3.0051,0.2437,0.552,2.9832,0.2622,0.5815
3,2.7065,0.3045,0.6265999999999999,2.6665,0.3172,0.6352
4,2.4613,0.3533,0.6844,2.4901,0.3635,0.6798000000000001
5,2.2567,0.3997,0.7265,2.6567,0.3443,0.6693000000000001
6,2.0896,0.4357,0.7595999999999999,2.2389,0.40990000000000004,0.7325
7,1.935,0.47,0.7898999999999999,2.0849,0.4484,0.7661
8,1.817,0.496,0.81,2.1304,0.44439999999999996,0.7581
9,1.7017,0.5246999999999999,0.8293,1.8599,0.4999,0.8004000000000001
10,1.6016,0.5485,0.8482,1.9575,0.4829,0.7989
11,1.5126,0.5717,0.8606999999999999,1.8789,0.5073,0.8028
12,1.4381,0.5879,0.8737,1.9173,0.5044,0.8011
13,1.3601,0.6098,0.885,1.8107,0.5188,0.8143
14,1.3026,0.6209,0.893,1.8601,0.5286,0.8173
15,1.2376,0.6362,0.9028,1.6602,0.5525,0.8412999999999999
16,1.1839,0.6537000000000001,0.9098,1.6723,0.56,0.8370000000000001
17,1.1317,0.669,0.9164,1.7324,0.5552,0.8429000000000001
18,1.0816,0.6799,0.9212,1.6624,0.5711999999999999,0.8553000000000001
19,1.0289,0.6955,0.93,1.6043,0.5781000000000001,0.8504
20,0.99404,0.7038,0.9339,1.5976,0.5794,0.8565999999999999
21,0.94356,0.7162999999999999,0.9407,1.5677,0.5938,0.8584
22,0.90613,0.7254999999999999,0.9448000000000001,1.5309,0.6026,0.871
23,0.86324,0.7376,0.9498000000000001,1.59,0.5982,0.8669
24,0.82345,0.7475,0.9529000000000001,1.5561,0.6013000000000001,0.8665
25,0.78862,0.7576999999999999,0.958,1.5237,0.6086,0.8714
26,0.74699,0.7681999999999999,0.9619,1.6345,0.5992999999999999,0.865
27,0.7161,0.7787000000000001,0.9656999999999999,1.5786,0.6042000000000001,0.8712000000000001
28,0.68598,0.7876000000000001,0.9679000000000001,1.5,0.6236,0.878
29,0.65347,0.7928000000000001,0.9723,1.5645,0.6165999999999999,0.8767
30,0.62345,0.8040999999999999,0.9742000000000001,1.7443,0.5962,0.8617
31,0.59777,0.8118000000000001,0.9768000000000001,1.579,0.6221,0.8742
32,0.5632,0.8231,0.9782,1.5883,0.6223,0.8741
33,0.5437,0.8264,0.9804999999999999,1.6074,0.6275999999999999,0.8839
34,0.52039,0.8331999999999999,0.9832,1.559,0.6293,0.8809999999999999
35,0.48734,0.8429000000000001,0.986,1.6428,0.625,0.8752
36,0.46499,0.8493999999999999,0.9867,1.621,0.6362,0.8773000000000001
