Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8886,0.10060000000000001,0.3045,3.5033,0.16510000000000002,0.4202
1,3.2976,0.1946,0.4792,3.1468,0.2369,0.5243
2,2.9283,0.2611,0.5715,2.8535,0.2845,0.6087
3,2.6446,0.3193,0.6386999999999999,2.6226,0.3322,0.645
4,2.4165,0.36619999999999997,0.6901,2.398,0.38280000000000003,0.6953
5,2.2226,0.4093,0.7326999999999999,2.5198,0.36590000000000006,0.6973999999999999
6,2.0658,0.4409,0.7615999999999999,2.2868,0.4131,0.7264
7,1.9193,0.47740000000000005,0.7898000000000001,2.0371,0.4551,0.7698999999999999
8,1.8039,0.5025,0.8120999999999999,2.1594,0.44770000000000004,0.7536
9,1.6833,0.5304,0.8334999999999999,1.9687,0.48840000000000006,0.785
10,1.587,0.5540999999999999,0.8484999999999999,1.9311,0.5007,0.7956
11,1.4939,0.5774,0.8632,1.9462,0.4996,0.7917000000000001
12,1.4186,0.5947,0.8737999999999999,1.8585,0.5171,0.8120999999999999
13,1.3302,0.6169,0.8879,1.8988,0.5145000000000001,0.8029000000000001
14,1.2658,0.6354,0.8979,1.752,0.5484,0.831
15,1.1964,0.6498999999999999,0.9078,1.9293,0.5155,0.809
16,1.1319,0.6673,0.9172,1.7097,0.5619,0.8362999999999999
17,1.0643,0.6884,0.9253,1.7937,0.5533,0.8340000000000001
18,1.0092,0.6995999999999999,0.9309000000000001,1.6992,0.5715,0.8432
19,0.95602,0.7139,0.9383,1.6105,0.5886,0.8534
20,0.91014,0.7262000000000001,0.9451999999999999,1.6494,0.5786,0.8514
21,0.84641,0.7441,0.9519,1.648,0.5902000000000001,0.856
22,0.80238,0.7551000000000001,0.9565,1.7766,0.5671,0.851
23,0.7481,0.7692,0.9612,1.7668,0.5759000000000001,0.8447
24,0.70645,0.7835,0.9653,1.6353,0.604,0.8618000000000001
25,0.66535,0.7933,0.9709,1.702,0.5901,0.8571
26,0.62367,0.8045,0.9738,1.7411,0.59,0.8534999999999999
27,0.57818,0.8205,0.9782,1.669,0.6119,0.8614
28,0.54348,0.83,0.9809,1.6224,0.6114999999999999,0.868
29,0.50653,0.8399,0.9839,1.7745,0.5996,0.8611
30,0.47205,0.851,0.9853000000000001,1.8389,0.5906,0.8534
31,0.44579,0.8599,0.9873999999999999,1.7724,0.6048,0.8576999999999999
32,0.4027,0.873,0.9897,1.8219,0.6017,0.8606999999999999
33,0.37133,0.8815000000000001,0.9918,1.8344,0.61,0.8613
34,0.35211,0.8870999999999999,0.9933,1.8483,0.6182,0.8626
35,0.32746,0.8952,0.9943000000000001,1.8464,0.6148,0.8615999999999999
36,0.29976,0.9042,0.9953,2.0784,0.5920000000000001,0.8491
37,0.27792,0.9129999999999999,0.9956999999999999,1.8959,0.6193,0.8689
38,0.25768,0.9181999999999999,0.9965999999999999,2.0066,0.6076,0.8552
39,0.24535,0.9226000000000001,0.9971,1.8147,0.6325999999999999,0.8747
40,0.22198,0.9289000000000001,0.9982,1.9809,0.6145,0.8611
41,0.20516,0.935,0.9984000000000001,1.9448,0.6228,0.8674
42,0.19077,0.9404,0.9983,1.9298,0.627,0.8708
43,0.16937,0.9476,0.9989,1.9287,0.6384000000000001,0.8714
44,0.16106,0.9503,0.9991,1.9647,0.6307,0.8697
45,0.15185,0.9531999999999999,0.9993000000000001,1.9836,0.6317,0.8691
46,0.1427,0.9551000000000001,0.9992,2.0081,0.6294,0.8686
47,0.13338,0.9587,0.9994,2.0096,0.6323,0.8698
48,0.12427,0.9623999999999999,0.9993000000000001,2.0227,0.63,0.8684000000000001
49,0.11338,0.9656,0.9995999999999999,1.9359,0.6435,0.8768
50,0.10796,0.9677,0.9997,2.0096,0.6342,0.872
51,0.096431,0.9717,0.9997,2.0329,0.6364,0.8744
52,0.086902,0.975,0.9998,2.0453,0.636,0.8748
53,0.088483,0.9741,0.9998,2.1089,0.6433,0.8713
54,0.087402,0.9740000000000001,0.9998,2.1038,0.6391,0.875
55,0.074021,0.9793000000000001,0.9998999999999999,2.0985,0.6368,0.8718
56,0.073982,0.9788,0.9998999999999999,2.0206,0.6511,0.878
57,0.068072,0.9813,0.9998,2.1082,0.6463,0.873
58,0.071005,0.98,0.9998999999999999,2.0323,0.6502,0.8793000000000001
59,0.064828,0.9814,0.9998999999999999,2.1195,0.6412,0.8774
60,0.064011,0.9819,0.9998999999999999,2.1261,0.6446,0.8776
61,0.061278,0.9823999999999999,0.9998999999999999,2.1649,0.6365999999999999,0.8731
62,0.05957,0.9834999999999999,0.9998,2.1468,0.6411,0.8734000000000001
63,0.054426,0.985,0.9998,2.1409,0.6446,0.8769
64,0.050141,0.9861,0.9998999999999999,2.1519,0.6494,0.8756
65,0.044279,0.9884000000000001,1.0,2.161,0.6431999999999999,0.8742
66,0.04722,0.9875,0.9998999999999999,2.1512,0.6446999999999999,0.8759999999999999
67,0.038786,0.9898,1.0,2.1854,0.6424,0.8731
68,0.042859,0.9883,0.9998999999999999,2.0952,0.6596,0.8769
69,0.036163,0.9906999999999999,1.0,2.1313,0.6586,0.8815000000000001
70,0.035229,0.9914000000000001,0.9998999999999999,2.1299,0.6559,0.8825
71,0.033731,0.9915999999999999,1.0,2.1449,0.6584,0.8731
72,0.034183,0.9915,1.0,2.1693,0.6581999999999999,0.8741
73,0.034609,0.991,1.0,2.1762,0.6518,0.8793000000000001
74,0.031382,0.992,1.0,2.1885,0.6498999999999999,0.8765999999999999
75,0.031476,0.9918,1.0,2.1966,0.6518,0.8778
76,0.029761,0.9924,1.0,2.1788,0.6555,0.8779
77,0.028054,0.9936,1.0,2.2261,0.6518999999999999,0.878
78,0.028242,0.993,1.0,2.2262,0.6529,0.8763
79,0.02353,0.9947,1.0,2.1775,0.6623,0.8814
80,0.02491,0.9940000000000001,1.0,2.245,0.6557,0.8739
81,0.027116,0.9928,1.0,2.2988,0.6491,0.8754000000000001
82,0.021383,0.9952,1.0,2.1765,0.6587999999999999,0.8809
83,0.021949,0.9947,1.0,2.2389,0.6597,0.8795999999999999
84,0.019639,0.9954000000000001,1.0,2.2441,0.6598,0.8808
85,0.01836,0.9961,1.0,2.2479,0.6631999999999999,0.8793000000000001
86,0.017663,0.996,1.0,2.2514,0.6570999999999999,0.8798
87,0.018514,0.9959,1.0,2.2215,0.6595,0.8783
88,0.017948,0.9963,0.9998999999999999,2.2752,0.6607,0.8805
89,0.01722,0.9963,1.0,2.2308,0.6625,0.8835999999999999
90,0.016787,0.9962000000000001,1.0,2.2255,0.6664,0.8829
91,0.016712,0.9964,1.0,2.2588,0.6647,0.8802
92,0.016048,0.9965999999999999,1.0,2.2323,0.667,0.8803
93,0.016263,0.9962000000000001,1.0,2.2089,0.6709,0.8826999999999999
94,0.014092,0.9971,1.0,2.2194,0.6664,0.882
95,0.013484,0.9974,1.0,2.2219,0.6683,0.8826999999999999
96,0.013086,0.9972,1.0,2.2535,0.6639,0.8798999999999999
97,0.015226,0.9967,1.0,2.2528,0.6648000000000001,0.8826999999999999
98,0.012924,0.9971,1.0,2.2575,0.6652,0.8837
99,0.01389,0.997,1.0,2.2916,0.6624,0.8792
