Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8472,0.1061,0.31679999999999997,3.4821,0.1663,0.43579999999999997
1,3.1446,0.2214,0.5167,3.0866,0.2528,0.551
2,2.6191,0.317,0.6476999999999999,2.5798,0.33520000000000005,0.675
3,2.2307,0.4012,0.7321,2.318,0.4007,0.7248
4,1.9662,0.46149999999999997,0.784,2.0478,0.4546,0.7766
5,1.7821,0.5047,0.8173,2.1591,0.4449,0.7612000000000001
6,1.6323,0.5405,0.8422,1.9355,0.4886,0.7946
7,1.502,0.5709000000000001,0.8645999999999999,1.8252,0.5188,0.8214
8,1.4089,0.5951,0.8811,1.8302,0.5246999999999999,0.8189
9,1.3099,0.6189,0.8928,1.678,0.5525,0.8305
10,1.2271,0.6411,0.903,1.7116,0.5471,0.8438
11,1.1526,0.6609999999999999,0.9147,1.8658,0.5281,0.8173999999999999
12,1.0905,0.6776000000000001,0.9218999999999999,1.5357,0.5932,0.8671
13,1.0221,0.6958,0.9295,1.6089,0.5815,0.8499
14,0.96543,0.7118000000000001,0.9368000000000001,1.5646,0.5978,0.8586
15,0.90848,0.7242000000000001,0.9440000000000001,1.5069,0.6088,0.8698999999999999
16,0.85929,0.7404000000000001,0.9493,1.502,0.6171,0.8690000000000001
17,0.80762,0.7531,0.955,1.5973,0.6076,0.8687999999999999
18,0.75169,0.7681,0.9614,1.6968,0.5953,0.8626999999999999
19,0.71462,0.7794,0.9645,1.4707,0.6207,0.8793000000000001
20,0.66384,0.7955,0.9693999999999999,1.6064,0.6114999999999999,0.8664000000000001
21,0.62416,0.8061,0.9727,1.4699,0.6381,0.8848
22,0.58856,0.8151999999999999,0.9768000000000001,1.4862,0.6344,0.8856
23,0.54337,0.8289,0.9804,1.4407,0.6493000000000001,0.8928
24,0.50331,0.8401000000000001,0.983,1.6232,0.6351,0.879
25,0.47322,0.8498,0.9848,1.6088,0.6218,0.8782
26,0.44379,0.8573000000000001,0.9875,1.5678,0.64,0.8856999999999999
27,0.40771,0.8701000000000001,0.9898,1.5763,0.6506000000000001,0.8883
28,0.38141,0.8775,0.9913,1.6379,0.6311,0.8781
29,0.34855,0.8886,0.9928,1.5912,0.6481,0.8859999999999999
30,0.33094,0.892,0.9940000000000001,1.8511,0.6201,0.8704000000000001
31,0.30556,0.8996999999999999,0.9952,1.6486,0.6491,0.8845000000000001
32,0.27664,0.9115000000000001,0.996,1.6912,0.6478,0.8848999999999999
33,0.25669,0.9162,0.9965,1.7412,0.6446999999999999,0.8837999999999999
34,0.2441,0.9222,0.9972,1.7322,0.6473,0.8839
35,0.2234,0.9283,0.9978,1.7122,0.6639,0.8908
36,0.21208,0.9318000000000001,0.9978,1.7691,0.6507999999999999,0.8876999999999999
37,0.19699,0.9355,0.9984999999999999,1.7242,0.6568,0.8898999999999999
38,0.18758,0.9399,0.9984999999999999,1.7944,0.6506000000000001,0.8820999999999999
39,0.16835,0.9478,0.9987,1.7316,0.6609,0.8874
40,0.15099,0.9523,0.9993000000000001,1.6833,0.6696,0.8959999999999999
41,0.14228,0.9541,0.9995,1.7264,0.6653,0.8911
42,0.13758,0.9577,0.9994,1.7272,0.6677,0.8937
43,0.12174,0.9623999999999999,0.9994,1.7982,0.6581999999999999,0.8902
44,0.11612,0.9648,0.9995,1.7453,0.6745,0.8916
45,0.11139,0.9661,0.9995,1.8195,0.6624,0.8922
46,0.102,0.9677,0.9997,1.7681,0.6692,0.8994
47,0.09249,0.9712000000000001,0.9998999999999999,1.88,0.6701,0.8906000000000001
48,0.095071,0.971,0.9997,1.8093,0.6711,0.8957999999999999
49,0.077688,0.9784,0.9997,1.7615,0.6781,0.8975
50,0.080734,0.9756999999999999,0.9997,1.7796,0.6769,0.8967
51,0.073817,0.9786,0.9998,1.8051,0.6786,0.9012
52,0.072078,0.9793999999999999,0.9998999999999999,1.8238,0.6746,0.8978
53,0.065469,0.9814,0.9998999999999999,1.8218,0.6803,0.8991
54,0.059024,0.9832,0.9998999999999999,1.8805,0.6709,0.8941
55,0.058413,0.983,0.9998999999999999,1.8625,0.6805,0.8978
56,0.058447,0.9823999999999999,0.9998999999999999,1.8154,0.677,0.9007999999999999
57,0.052075,0.9853000000000001,0.9998999999999999,1.8999,0.675,0.8981
58,0.053642,0.9841,1.0,1.9001,0.6745,0.897
59,0.052657,0.985,0.9998999999999999,1.8372,0.6823999999999999,0.9002
60,0.048227,0.9865,1.0,1.8502,0.6829999999999999,0.8996999999999999
61,0.046454,0.9865999999999999,0.9998999999999999,1.856,0.6865000000000001,0.9014
62,0.045536,0.9876,1.0,1.8658,0.6819,0.9016
63,0.043023,0.9876,1.0,1.9423,0.6816,0.8979
64,0.038901,0.9894,1.0,1.9485,0.6838,0.8976000000000001
65,0.040798,0.9883,1.0,1.9315,0.684,0.8996999999999999
66,0.038876,0.9892,1.0,1.898,0.6795,0.9003
67,0.036004,0.9899,1.0,1.9059,0.6846,0.9001
68,0.038926,0.9893000000000001,0.9998999999999999,1.9703,0.6711,0.8939
69,0.036907,0.9893000000000001,0.9998999999999999,2.0058,0.6829999999999999,0.8984000000000001
70,0.031678,0.9909,1.0,1.9392,0.6901999999999999,0.9028
71,0.028778,0.9925,1.0,1.9373,0.6868000000000001,0.8965000000000001
72,0.030421,0.9919,1.0,1.9328,0.6876000000000001,0.9004000000000001
73,0.028462,0.9925,1.0,1.9185,0.6828,0.9026000000000001
74,0.02584,0.9934999999999999,1.0,2.0004,0.68,0.8991
75,0.0288,0.9921,1.0,1.9674,0.69,0.9006000000000001
76,0.028039,0.9925,1.0,1.917,0.6868000000000001,0.904
77,0.025221,0.9934000000000001,0.9998999999999999,2.0044,0.685,0.8970999999999999
78,0.026821,0.9922,0.9998999999999999,1.9507,0.6922,0.9020999999999999
79,0.025014,0.9931,1.0,1.9873,0.6817,0.9018999999999999
80,0.024204,0.9934999999999999,0.9998999999999999,1.9914,0.6887000000000001,0.9
81,0.022483,0.9943000000000001,0.9998999999999999,1.999,0.6854,0.8978
82,0.022026,0.9944,1.0,1.9693,0.6889,0.9007
83,0.022052,0.9941,1.0,2.0114,0.6862999999999999,0.8970999999999999
84,0.02262,0.9941,1.0,1.9637,0.6922,0.9012
85,0.019318,0.9953,0.9998999999999999,2.0062,0.6907,0.9007
86,0.019506,0.9948999999999999,1.0,2.035,0.6826000000000001,0.9012
87,0.021208,0.9943000000000001,1.0,1.9754,0.6914,0.904
88,0.018152,0.9954999999999999,1.0,2.0163,0.6911,0.9035
89,0.018147,0.995,1.0,2.0045,0.6939,0.9
90,0.020141,0.995,1.0,1.9881,0.6905,0.9025
