Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8621,0.10400000000000001,0.3146,3.4501,0.1724,0.4325
1,3.2066,0.21109999999999998,0.5013000000000001,2.9933,0.25989999999999996,0.5654
2,2.7696,0.2894,0.6112,2.691,0.3115,0.6429
3,2.4278,0.3615,0.6898000000000001,2.4001,0.3761,0.6970999999999999
4,2.1533,0.42200000000000004,0.7476,2.1749,0.42810000000000004,0.7456
5,1.9374,0.4678,0.7892,2.3184,0.4172,0.7464
6,1.7668,0.5106,0.8175,2.0054,0.47,0.7789
7,1.6117,0.5455,0.8461,1.906,0.4951,0.8015000000000001
8,1.5005,0.5735,0.8645999999999999,1.8767,0.5069,0.8067
9,1.3846,0.6023,0.8819,1.6729,0.5486,0.8317
10,1.2993,0.6257,0.8925,1.6761,0.5422,0.8439
11,1.2133,0.6446,0.9067000000000001,1.6866,0.5540999999999999,0.8391
12,1.1387,0.6637000000000001,0.9167000000000001,1.6185,0.5710999999999999,0.851
13,1.0656,0.685,0.9246,1.6252,0.5697,0.848
14,1.0013,0.7015,0.9337000000000001,1.61,0.5852,0.8576
15,0.94567,0.7149,0.9393,1.6259,0.5839,0.8622
16,0.88347,0.7322,0.9478,1.499,0.6112,0.8718
17,0.82523,0.7512000000000001,0.9518000000000001,1.5606,0.5993999999999999,0.8668
18,0.77569,0.7609,0.9587,1.5278,0.607,0.8734999999999999
19,0.72523,0.7776000000000001,0.9641,1.4409,0.6314,0.8826999999999999
20,0.68711,0.787,0.9675,1.5024,0.6169,0.8795000000000001
21,0.63836,0.8005,0.972,1.4737,0.6311,0.8822
22,0.5989,0.8136,0.9748,1.5128,0.6275999999999999,0.8848
23,0.55396,0.8262,0.9791,1.5588,0.6315999999999999,0.8819
24,0.50712,0.8397,0.9828,1.4592,0.6557,0.8909999999999999
25,0.47718,0.8484,0.9853000000000001,1.6547,0.6227,0.8759
26,0.44653,0.8582,0.9882,1.6236,0.6246,0.8819
27,0.40676,0.8711,0.9903,1.5792,0.6351,0.8881
28,0.3834,0.8773000000000001,0.9908,1.5097,0.6487,0.8881
29,0.35337,0.8855,0.9924,1.5133,0.6595,0.8943000000000001
30,0.32786,0.8946,0.9944,1.5722,0.6509999999999999,0.8919
31,0.30297,0.9036,0.9947,1.6564,0.642,0.8854000000000001
32,0.27541,0.9104000000000001,0.9962000000000001,1.606,0.6469,0.8884000000000001
33,0.24981,0.9217,0.9968,1.6357,0.6539,0.8920999999999999
34,0.23639,0.9253,0.9973000000000001,1.6408,0.6537999999999999,0.8889
35,0.21722,0.9309999999999999,0.9978,1.6794,0.652,0.8904000000000001
36,0.19496,0.9388,0.9983,1.6384,0.6607,0.897
37,0.18581,0.9411,0.9984999999999999,1.6444,0.6564,0.8948
38,0.16832,0.9470999999999999,0.9987999999999999,1.6632,0.6631,0.894
39,0.15695,0.9506999999999999,0.9987999999999999,1.6699,0.6689,0.8933
40,0.14273,0.9564,0.9991,1.6826,0.67,0.8966
41,0.13418,0.9579000000000001,0.9994,1.6741,0.6670999999999999,0.8967
42,0.12625,0.9612,0.9995999999999999,1.6422,0.6785,0.8973
43,0.11555,0.9647,0.9995999999999999,1.7951,0.665,0.8945000000000001
44,0.10931,0.9669,0.9995999999999999,1.7415,0.6676000000000001,0.893
45,0.097423,0.971,0.9995999999999999,1.6958,0.6794,0.9004000000000001
46,0.092291,0.9723999999999999,0.9995999999999999,1.673,0.6849,0.9004000000000001
47,0.089091,0.9728,0.9997,1.7185,0.6823,0.8992
48,0.081844,0.9765999999999999,0.9998,1.7425,0.6758,0.8976999999999999
49,0.075127,0.9782,0.9998,1.7033,0.6801999999999999,0.902
50,0.068255,0.9809,0.9998,1.7755,0.68,0.8956000000000001
51,0.068651,0.9808,0.9998999999999999,1.7616,0.6822,0.9033
52,0.062858,0.9825,0.9998999999999999,1.7228,0.6806,0.8993000000000001
53,0.059265,0.9834999999999999,0.9998999999999999,1.7898,0.6828,0.8987999999999999
54,0.057012,0.9842,0.9998999999999999,1.7778,0.6844,0.902
