Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8671,0.1039,0.3124,3.4474,0.17370000000000002,0.4359
1,3.2365,0.2073,0.496,3.1032,0.24420000000000003,0.5465
2,2.817,0.27940000000000004,0.5999,2.6691,0.3165,0.6444
3,2.487,0.3496,0.6764,2.4282,0.3678,0.6911
4,2.2077,0.4092,0.7365999999999999,2.2416,0.41600000000000004,0.7337
5,1.9842,0.4558,0.7807,2.2647,0.4225,0.7387999999999999
6,1.8078,0.49810000000000004,0.8134,2.1548,0.4368,0.7645000000000001
7,1.6579,0.5357,0.8375,1.8906,0.494,0.8048000000000001
8,1.5428,0.5648,0.8576,1.9986,0.48700000000000004,0.7981
9,1.4258,0.5911,0.8745999999999999,1.661,0.5477000000000001,0.8347
10,1.3275,0.6164000000000001,0.8898,1.7217,0.5393,0.8342
11,1.2446,0.639,0.9013,1.7317,0.5514,0.8261
12,1.1736,0.6568,0.9102,1.6753,0.5621,0.8437
13,1.0925,0.6785,0.9212,1.6946,0.5617,0.8395999999999999
14,1.0335,0.6951999999999999,0.9289000000000001,1.5312,0.5992000000000001,0.8634000000000001
15,0.97082,0.7097,0.9366,1.7063,0.5721,0.8447
16,0.90889,0.7258,0.9440999999999999,1.5142,0.6079,0.8686
17,0.85672,0.7397,0.9501000000000001,1.8138,0.5693,0.8452
18,0.80176,0.755,0.9565,1.7085,0.5924,0.855
19,0.75193,0.7694,0.9614,1.4676,0.6256,0.8791
20,0.7107,0.7803,0.9656,1.5855,0.6065,0.8673000000000001
21,0.65723,0.7965000000000001,0.9703,1.5255,0.6267,0.8765000000000001
22,0.6165,0.8062,0.9739,1.5648,0.6206,0.8712000000000001
23,0.57244,0.8195,0.9782,1.4863,0.6375,0.8841
24,0.53369,0.8325,0.9812000000000001,1.5155,0.6358,0.8813
25,0.50138,0.8403,0.9843999999999999,1.557,0.6265,0.8823000000000001
26,0.46626,0.8495999999999999,0.9865999999999999,1.736,0.6131,0.8690000000000001
27,0.43181,0.8615,0.9887999999999999,1.5857,0.6315999999999999,0.8817
28,0.39548,0.8740000000000001,0.9908,1.4368,0.6609,0.8939
29,0.37252,0.8804000000000001,0.9914000000000001,1.6619,0.6364,0.879
30,0.33662,0.8912,0.9934999999999999,1.6146,0.6465000000000001,0.8858
31,0.31302,0.9009,0.9948999999999999,1.6943,0.6386,0.88
32,0.28571,0.9086,0.9962000000000001,1.6542,0.6443000000000001,0.8829
33,0.26808,0.9135,0.9964,1.7172,0.6391,0.8837
34,0.24995,0.9186,0.9968,1.6642,0.6520999999999999,0.8879
35,0.23167,0.9255,0.9976999999999999,1.725,0.6528,0.8855
36,0.21119,0.9331999999999999,0.998,1.7137,0.6565000000000001,0.8881
37,0.18931,0.9409000000000001,0.9983,1.6883,0.6615000000000001,0.8931
38,0.17889,0.9440999999999999,0.9986,1.7477,0.657,0.8869
39,0.16273,0.9498000000000001,0.9991,1.6571,0.6644,0.8914
40,0.14888,0.9540000000000001,0.9992,1.6669,0.6616,0.8964
41,0.14236,0.9558,0.9993000000000001,1.7393,0.6601,0.8914
42,0.13371,0.9587,0.9992,1.772,0.6654000000000001,0.8937
43,0.12244,0.9623,0.9994,1.7472,0.6644,0.8918
44,0.1062,0.9684,0.9995,1.7696,0.6726000000000001,0.8904000000000001
45,0.10594,0.9676,0.9995,1.7419,0.6714,0.893
46,0.10044,0.9701000000000001,0.9995999999999999,1.7761,0.6715000000000001,0.8948
47,0.088607,0.9748,0.9998,1.8075,0.6643000000000001,0.8926000000000001
48,0.084374,0.9752,0.9998999999999999,1.7176,0.6742,0.8985
49,0.078375,0.9773999999999999,0.9998,1.7918,0.6729,0.8965000000000001
50,0.07834,0.9773999999999999,0.9998999999999999,1.8447,0.6705,0.8881
51,0.072024,0.9791,0.9998999999999999,1.8943,0.662,0.8914
52,0.067511,0.9801000000000001,0.9998999999999999,1.7952,0.6781999999999999,0.897
53,0.060304,0.9829000000000001,0.9998999999999999,1.8369,0.6735,0.8922
54,0.060964,0.9823999999999999,0.9998,1.8138,0.6765000000000001,0.8973
55,0.054245,0.9847,0.9998999999999999,1.8416,0.6801,0.8965000000000001
56,0.04988,0.9865999999999999,1.0,1.8458,0.6759999999999999,0.8978
57,0.047024,0.9873999999999999,0.9998999999999999,1.8476,0.6759000000000001,0.8970999999999999
58,0.047269,0.9865,0.9998999999999999,1.8433,0.6833,0.8995000000000001
59,0.041709,0.9892,1.0,1.8526,0.6789000000000001,0.8965000000000001
60,0.041481,0.9887,1.0,1.8484,0.6829000000000001,0.8966
61,0.044352,0.9879000000000001,1.0,1.9414,0.6720999999999999,0.8896999999999999
62,0.03604,0.9904999999999999,1.0,1.8707,0.6809999999999999,0.8991
63,0.034326,0.9908,1.0,1.8588,0.6905,0.9009
64,0.03691,0.99,1.0,1.8939,0.6820999999999999,0.8987999999999999
65,0.036789,0.9903,1.0,1.8534,0.6835,0.899
66,0.03044,0.9922,1.0,1.8755,0.6819,0.8983
67,0.025725,0.9934999999999999,1.0,1.8699,0.6870999999999999,0.9024
68,0.029755,0.9924,1.0,1.9129,0.6853,0.8995000000000001
69,0.031109,0.9913,1.0,1.8588,0.6923,0.903
70,0.027236,0.9934000000000001,1.0,1.9089,0.6911,0.9007999999999999
71,0.02785,0.9929000000000001,1.0,2.0386,0.6731,0.8952
72,0.030146,0.9923000000000001,1.0,1.9863,0.6818000000000001,0.8959
73,0.029365,0.9921,1.0,1.9638,0.6854,0.8959999999999999
74,0.023258,0.9945,1.0,1.8784,0.6912,0.9007999999999999
75,0.022298,0.9945999999999999,1.0,1.8632,0.6953,0.9048
76,0.020861,0.9951000000000001,1.0,1.9259,0.687,0.9007
77,0.022092,0.9945999999999999,1.0,1.9715,0.6886,0.9
78,0.017679,0.9962000000000001,1.0,1.9123,0.6957,0.9031
79,0.01888,0.9959,1.0,1.965,0.6895,0.9014
80,0.019847,0.9952,1.0,1.9492,0.6858,0.9009
81,0.020078,0.9954000000000001,0.9998999999999999,1.9093,0.6940000000000001,0.9037999999999999
82,0.018017,0.9956999999999999,1.0,1.9137,0.6933,0.9029
83,0.016304,0.9963,1.0,1.9839,0.6893,0.9004000000000001
84,0.017747,0.9956999999999999,1.0,1.9759,0.6889,0.9007999999999999
85,0.014213,0.9971,1.0,1.9057,0.6981999999999999,0.9043000000000001
86,0.015036,0.9967,1.0,1.9405,0.6951,0.9023
87,0.014126,0.997,1.0,1.9262,0.6970000000000001,0.9062
88,0.013123,0.9974,1.0,1.9496,0.6964,0.9055
89,0.012121,0.9975,1.0,1.9331,0.695,0.9012
90,0.010989,0.9978,1.0,1.9339,0.6949,0.9052
91,0.011087,0.9976999999999999,1.0,1.9626,0.695,0.9003
92,0.011475,0.9976,1.0,1.9698,0.6947,0.9018999999999999
93,0.010652,0.9978,1.0,1.9403,0.6964,0.9054000000000001
94,0.011686,0.9975,1.0,1.9467,0.6977,0.905
95,0.0093998,0.9983,1.0,1.9516,0.7017,0.9037000000000001
96,0.011114,0.9976,1.0,2.0622,0.687,0.8985
97,0.010794,0.9976999999999999,1.0,1.9336,0.7008,0.9054000000000001
98,0.0092472,0.9981,1.0,1.9599,0.7005,0.9027
99,0.0088808,0.9984000000000001,1.0,1.9379,0.6970999999999999,0.9059
