Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8506,0.1061,0.3184,3.4624,0.16670000000000001,0.439
1,3.1834,0.2137,0.5097,2.9881,0.263,0.5658
2,2.7298,0.2973,0.6202000000000001,2.6452,0.3267,0.6574
3,2.3702,0.3725,0.7023999999999999,2.378,0.3782,0.7006
4,2.0854,0.4368,0.7606999999999999,2.1801,0.42560000000000003,0.7495999999999999
5,1.8722,0.4804,0.8024,2.1489,0.44630000000000003,0.7651
6,1.7041,0.5238,0.8301000000000001,2.1406,0.4497,0.7768
7,1.5612,0.5579999999999999,0.8558,1.8797,0.4961,0.8072
8,1.4567,0.5861,0.8715,1.7305,0.5328,0.8294
9,1.3401,0.6133,0.889,1.5707,0.5665,0.8493999999999999
10,1.2519,0.6372,0.9020999999999999,1.6577,0.5563,0.8490000000000001
11,1.1704,0.6577,0.9115000000000001,1.7188,0.5565,0.8367
12,1.1037,0.6722,0.9218999999999999,1.6029,0.5759000000000001,0.8568000000000001
13,1.0265,0.6948000000000001,0.9293,1.8272,0.5427000000000001,0.8290000000000001
14,0.97037,0.7101000000000001,0.9361,1.5993,0.5845,0.8590000000000001
15,0.90742,0.7265999999999999,0.9440000000000001,1.5824,0.5903,0.8676999999999999
16,0.85073,0.742,0.9517,1.5192,0.6083,0.8693000000000001
17,0.7996,0.7563,0.9551999999999999,1.551,0.6085,0.8669
18,0.74484,0.7713,0.9626,1.6931,0.5957,0.8664000000000001
19,0.69602,0.7843000000000001,0.9668000000000001,1.382,0.6428,0.8887
20,0.65385,0.7962,0.9719,1.4502,0.6329,0.8834000000000001
21,0.61417,0.8079999999999999,0.975,1.4346,0.6466,0.8889
22,0.57487,0.8173999999999999,0.9782,1.5074,0.6322,0.8855
23,0.52853,0.8321,0.9812000000000001,1.5323,0.6352,0.8856
24,0.49241,0.8428,0.9840000000000001,1.536,0.6448,0.8856999999999999
25,0.45684,0.8528,0.9867,1.6134,0.629,0.8795000000000001
26,0.42659,0.8636,0.9886,1.6024,0.6365,0.8837999999999999
27,0.3878,0.8752,0.9902,1.6545,0.6331,0.8781
28,0.36531,0.8814,0.9924,1.5487,0.6481999999999999,0.884
29,0.33051,0.8948999999999999,0.9937999999999999,1.6432,0.6431,0.885
30,0.30914,0.9002,0.995,1.531,0.6598,0.8956000000000001
