Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.9008,0.0989,0.2988,3.5239,0.16519999999999999,0.4158
1,3.2924,0.1962,0.4802,3.1072,0.2384,0.537
2,2.8955,0.2632,0.5822999999999999,2.8452,0.284,0.6112
3,2.5796,0.33149999999999996,0.6563,2.5783,0.337,0.6586
4,2.3229,0.3849,0.7128,2.3724,0.3848,0.7095999999999999
5,2.1098,0.43,0.7542,2.3499,0.3981,0.7232999999999999
6,1.9395,0.4678,0.7883,2.1434,0.44310000000000005,0.757
7,1.7844,0.5072,0.8158,2.0275,0.46270000000000006,0.7746
8,1.6671,0.5335,0.8382,2.1665,0.45990000000000003,0.7623000000000001
9,1.541,0.5654,0.8568000000000001,1.8728,0.5133,0.8095
10,1.4468,0.5878,0.8715,1.8727,0.5128,0.8115000000000001
11,1.3518,0.6112,0.8855,1.7558,0.5387,0.8234999999999999
12,1.2809,0.6284000000000001,0.8962,1.6957,0.5566,0.8355
13,1.1962,0.6514,0.9067000000000001,1.8458,0.5357999999999999,0.8187000000000001
14,1.1373,0.6643000000000001,0.9172,1.6334,0.57,0.8493
15,1.0607,0.6840999999999999,0.9253,1.6543,0.5698,0.8484999999999999
16,1.0079,0.6994,0.9327,1.6052,0.5868,0.8513
17,0.9464,0.7179000000000001,0.9387000000000001,1.5922,0.5892000000000001,0.8648
18,0.89332,0.7304,0.9455,1.6602,0.5921,0.8564
19,0.83834,0.7447,0.9528,1.5489,0.6096,0.8701000000000001
20,0.79373,0.7579,0.9576,1.568,0.5976,0.8668
21,0.74766,0.7702,0.9623999999999999,1.5427,0.6154,0.8754000000000001
22,0.69963,0.7837999999999999,0.9668000000000001,1.5237,0.6159,0.8773000000000001
23,0.64984,0.7992,0.9712000000000001,1.5922,0.6114999999999999,0.8765000000000001
24,0.60897,0.8095,0.9748,1.5878,0.6191,0.8726999999999999
25,0.5692,0.8220999999999999,0.9788,1.6161,0.6159,0.8692
26,0.53616,0.8295999999999999,0.9819,1.6336,0.6228,0.8764
27,0.50058,0.8417,0.9840000000000001,1.5914,0.6227,0.8809999999999999
28,0.46475,0.8514,0.9858,1.6319,0.6279,0.8759
29,0.42782,0.8629000000000001,0.9883,1.6041,0.6297,0.884
30,0.3961,0.8743000000000001,0.9906999999999999,1.8119,0.6083,0.8711
31,0.37516,0.8787,0.9915,1.6351,0.6301,0.8789
32,0.34154,0.8896,0.9934000000000001,1.6284,0.6429,0.8811
33,0.31811,0.8981999999999999,0.9945,1.6758,0.6359,0.8828
34,0.29929,0.9046,0.9948999999999999,1.6759,0.6376,0.8818
35,0.26747,0.914,0.9964,1.7756,0.639,0.8809999999999999
36,0.25407,0.9187000000000001,0.9965999999999999,1.7814,0.6362,0.8805
37,0.23837,0.9242,0.9973000000000001,1.7259,0.6489,0.887
38,0.2109,0.9325,0.9979,1.8773,0.6313,0.8785
39,0.20117,0.9362,0.9981,1.787,0.6459,0.8862000000000001
40,0.18629,0.9411,0.9982,1.7688,0.6457999999999999,0.8858
41,0.16722,0.9476,0.9991,1.7704,0.6452,0.8824
42,0.15851,0.9511,0.9989,1.781,0.6509,0.8845000000000001
43,0.14442,0.955,0.9993000000000001,1.8837,0.6459999999999999,0.8859
44,0.13989,0.9567,0.9993000000000001,1.797,0.6559,0.8886
45,0.12385,0.9623999999999999,0.9994,1.8408,0.6528,0.8842
46,0.12046,0.9631000000000001,0.9995,1.8482,0.6539,0.8837999999999999
47,0.10948,0.9671,0.9997,1.7796,0.6631,0.8905
48,0.09569,0.9727,0.9997,1.8498,0.6591,0.8881
49,0.094105,0.9723999999999999,0.9997,1.8181,0.6690999999999999,0.889
50,0.088067,0.9729000000000001,0.9998,1.8514,0.6624,0.8862000000000001
51,0.081038,0.9769,0.9998,1.838,0.6633,0.8903
52,0.083356,0.9753000000000001,0.9997,1.8775,0.66,0.8869
53,0.074711,0.9784,0.9998,1.8601,0.6645,0.8912
54,0.070482,0.9798,1.0,1.8938,0.6623,0.8912
55,0.067416,0.9806,0.9998999999999999,1.8884,0.6687000000000001,0.8898
56,0.064788,0.9814,0.9998999999999999,1.9268,0.6604000000000001,0.8853
57,0.06404,0.9817,0.9998999999999999,2.0298,0.6601,0.8879
58,0.055436,0.9848,0.9998999999999999,1.9252,0.6704000000000001,0.8926999999999999
59,0.052275,0.9861,0.9998999999999999,1.8863,0.6722,0.8925
60,0.050629,0.9864,0.9998999999999999,1.8934,0.6716,0.8898
61,0.04956,0.9858,0.9998999999999999,1.912,0.6755,0.8948999999999999
62,0.045302,0.9876,0.9998999999999999,1.9263,0.6723,0.8948
63,0.0426,0.9887,1.0,1.9512,0.6696,0.8929
64,0.042962,0.9881,0.9998999999999999,1.948,0.6707,0.8913
65,0.043271,0.9886,1.0,1.9501,0.6753,0.8929
66,0.034903,0.9917,1.0,1.9212,0.6738,0.8929
67,0.034821,0.9909,0.9998999999999999,1.9555,0.6740999999999999,0.8956999999999999
68,0.037821,0.99,0.9998999999999999,1.9853,0.6738,0.8948
69,0.034166,0.991,1.0,2.0387,0.6726000000000001,0.8929
70,0.033161,0.9915999999999999,1.0,1.9585,0.6759999999999999,0.8944
71,0.029842,0.9926,1.0,1.9746,0.6724,0.8976000000000001
72,0.03124,0.992,1.0,1.9861,0.6761,0.8945000000000001
73,0.027221,0.9936,1.0,1.9868,0.6790999999999999,0.8961
74,0.024753,0.9940000000000001,1.0,2.0129,0.6764,0.8937999999999999
75,0.024398,0.9944,1.0,2.0031,0.6799,0.8939
76,0.022324,0.995,1.0,2.0063,0.6755,0.8948
77,0.023017,0.9948,1.0,2.0781,0.6737000000000001,0.8919
78,0.023919,0.9941,0.9998999999999999,2.0029,0.6753,0.8936
79,0.023245,0.9942,1.0,2.004,0.6818000000000001,0.8969
80,0.019588,0.9959,1.0,1.9584,0.6851,0.8959
81,0.018802,0.9958,1.0,1.973,0.6847,0.9007
82,0.019291,0.9956999999999999,1.0,1.9996,0.6867,0.8959999999999999
83,0.019365,0.9953,1.0,2.0509,0.6817,0.8941
84,0.017594,0.9959,1.0,2.0584,0.6804000000000001,0.8944
85,0.016538,0.9963,1.0,1.9729,0.6887000000000001,0.8973
86,0.017117,0.9963,1.0,2.0502,0.6799,0.8964
87,0.014763,0.997,1.0,1.976,0.691,0.9016
88,0.013159,0.9972,1.0,2.0183,0.6884999999999999,0.9005
89,0.01296,0.9975,1.0,2.0291,0.6853,0.8989
90,0.013,0.9973000000000001,1.0,2.0229,0.6822,0.898
91,0.0149,0.9967,1.0,2.0498,0.6823,0.8989
92,0.012176,0.9974,1.0,2.0248,0.6818000000000001,0.8976000000000001
93,0.013476,0.997,1.0,2.0499,0.6840999999999999,0.8976000000000001
94,0.011238,0.9979,1.0,2.0168,0.6904,0.9001
95,0.011954,0.9973000000000001,1.0,2.048,0.6854,0.8992
96,0.012636,0.9972,1.0,2.0614,0.6845,0.8964
97,0.012884,0.9975,1.0,2.0597,0.6868000000000001,0.8986
98,0.013435,0.9971,1.0,2.0283,0.6887000000000001,0.9006000000000001
99,0.012219,0.9974,1.0,2.0565,0.6862999999999999,0.8967
