Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.0673,0.0779,0.2473,3.7136,0.1258,0.35979999999999995
1,3.5933,0.14550000000000002,0.3922,3.4144,0.1748,0.4468
2,3.3323,0.1912,0.467,3.218,0.2189,0.5054
3,3.1396,0.22760000000000002,0.5172,3.0463,0.2486,0.5412
4,2.9784,0.255,0.5590999999999999,2.9527,0.2732,0.5739
5,2.8441,0.2791,0.5931000000000001,2.8933,0.2833,0.5942000000000001
6,2.7304,0.3056,0.6193,2.7645,0.30870000000000003,0.6196
7,2.6193,0.3285,0.6456999999999999,2.6583,0.3283,0.6397999999999999
8,2.52,0.3458,0.6684,2.5938,0.3435,0.6557
9,2.4292,0.366,0.6873999999999999,2.5097,0.3644,0.6738
10,2.3429,0.3851,0.7071,2.4331,0.37810000000000005,0.6928
11,2.26,0.4022,0.7217,2.4606,0.38,0.6884999999999999
12,2.1954,0.4155,0.7348,2.3844,0.3967,0.7015
13,2.1166,0.43329999999999996,0.7515000000000001,2.3357,0.4057,0.7103
14,2.0599,0.4445,0.7629,2.2368,0.42560000000000003,0.7313
15,1.9951,0.4608,0.7748999999999999,2.2401,0.43229999999999996,0.7253000000000001
16,1.9286,0.4764,0.7884,2.2205,0.43520000000000003,0.7361
17,1.8693,0.49079999999999996,0.7988,2.2388,0.4304,0.7365999999999999
18,1.8142,0.501,0.8075,2.1762,0.4443,0.7526
19,1.7595,0.5169,0.8178,2.1706,0.4449,0.754
20,1.7094,0.5272,0.8269,2.1748,0.445,0.7574
21,1.648,0.541,0.8379000000000001,2.1691,0.4521,0.7561
22,1.6088,0.5521,0.8434,2.1325,0.45880000000000004,0.7642
23,1.5572,0.5637,0.8523000000000001,2.0827,0.47490000000000004,0.774
24,1.5084,0.5737,0.8608,2.0907,0.4778,0.7728
25,1.4584,0.5843,0.8683,2.0856,0.4781,0.7761
26,1.4121,0.5977,0.8769,2.0913,0.47590000000000005,0.7763
27,1.3651,0.6082,0.8837,2.0906,0.4808,0.7824
28,1.3212,0.6177,0.8920999999999999,2.0625,0.4917,0.7845
29,1.2755,0.6311,0.898,2.1207,0.4858,0.7787000000000001
30,1.227,0.6423000000000001,0.9039,2.181,0.47950000000000004,0.773
31,1.1878,0.6546,0.9087999999999999,2.1193,0.49079999999999996,0.7804000000000001
32,1.1495,0.6635,0.9152,2.1843,0.48840000000000006,0.7755
33,1.1122,0.6726000000000001,0.9201,2.1564,0.4949,0.7804000000000001
34,1.0668,0.6856,0.927,2.1662,0.49219999999999997,0.7786
35,1.023,0.6942,0.9320999999999999,2.1684,0.5027,0.7851
36,0.98364,0.7062,0.9361,2.1499,0.5005,0.7898000000000001
37,0.94626,0.7147,0.9420000000000001,2.2152,0.4997,0.779
38,0.90582,0.7243,0.9473999999999999,2.1923,0.5056,0.7876000000000001
39,0.8738,0.7351000000000001,0.9506999999999999,2.19,0.5097,0.787
40,0.83264,0.748,0.9542,2.2241,0.5049,0.7841
41,0.8002,0.7565000000000001,0.9578,2.2599,0.508,0.7851
42,0.76103,0.7665000000000001,0.9632999999999999,2.2572,0.508,0.7909999999999999
43,0.71975,0.7787999999999999,0.9672,2.3118,0.5089,0.7874
44,0.69513,0.7855,0.9695,2.3414,0.5072,0.7884
45,0.66056,0.7979999999999999,0.9726,2.4046,0.5032,0.7836
