Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.0776,0.07139999999999999,0.2433,3.7182,0.1213,0.3565
1,3.5836,0.1434,0.396,3.3438,0.18460000000000001,0.4738
2,3.2646,0.1993,0.48729999999999996,3.1839,0.2207,0.5132
3,3.0207,0.24559999999999998,0.5506,2.9914,0.25239999999999996,0.5589999999999999
4,2.8068,0.2871,0.602,2.748,0.3065,0.6191
5,2.6159,0.324,0.6481999999999999,3.357,0.2316,0.5476
6,2.4542,0.3557,0.6831,2.4592,0.371,0.6812
7,2.3048,0.3893,0.7164,2.3278,0.3907,0.7076
8,2.1867,0.4138,0.7378,2.2753,0.40159999999999996,0.7259
9,2.0804,0.4385,0.7615000000000001,2.181,0.43079999999999996,0.7425
10,1.99,0.4595,0.7778,2.1838,0.4257,0.7444
11,1.8979,0.4804,0.7953,2.2781,0.4171,0.7358
12,1.8367,0.4949,0.8044,2.1268,0.45630000000000004,0.7587999999999999
13,1.7575,0.5119,0.8189,2.0758,0.4569,0.7717
14,1.6991,0.526,0.8294,1.9945,0.47850000000000004,0.782
15,1.6362,0.5418999999999999,0.8409,2.1458,0.45280000000000004,0.7601
16,1.5844,0.5543,0.8506,1.9778,0.4866,0.7839
17,1.537,0.5649000000000001,0.8569,1.8684,0.5075,0.809
18,1.4838,0.5782,0.8651000000000001,1.8524,0.5171,0.8120999999999999
19,1.4412,0.5869,0.8728,1.8283,0.518,0.8131999999999999
20,1.3981,0.5998,0.8795000000000001,1.824,0.5235,0.8104
21,1.3551,0.6096,0.8852,1.8598,0.5194,0.8073
22,1.3187,0.6181,0.8909,1.7414,0.5418,0.831
23,1.2773,0.6295000000000001,0.8968,1.769,0.5434,0.8281000000000001
24,1.2352,0.6399,0.9016,1.704,0.5555,0.8367
25,1.2113,0.6445000000000001,0.9059999999999999,1.7107,0.5497,0.8320000000000001
26,1.1677,0.6572,0.9115000000000001,1.6684,0.5652,0.8443999999999999
27,1.1312,0.6663,0.9168000000000001,1.6815,0.5650999999999999,0.841
28,1.0992,0.6733,0.9209,1.786,0.5468999999999999,0.8283
29,1.0731,0.6801,0.9248000000000001,1.6703,0.5698,0.8434999999999999
30,1.0414,0.6884,0.9294,1.7364,0.5614,0.833
31,1.0105,0.698,0.9327,1.6689,0.5668,0.8467
32,0.98559,0.7034999999999999,0.9353,1.7449,0.5671,0.8365
33,0.95754,0.7104,0.9411,1.75,0.5611,0.8382
34,0.93744,0.7173,0.9412,1.7038,0.5707,0.8431000000000001
35,0.90336,0.7273999999999999,0.9462,1.6914,0.5807,0.8476
36,0.87931,0.7315,0.9489,1.7379,0.575,0.847
37,0.86194,0.7345999999999999,0.9515,1.7336,0.5796,0.8481000000000001
38,0.83751,0.7448,0.9539,1.7807,0.5721,0.8458
39,0.81689,0.7467,0.9554,1.7514,0.5771999999999999,0.8504999999999999
40,0.79305,0.7562000000000001,0.9581999999999999,1.7727,0.5819,0.8436
41,0.76179,0.7646,0.9623,1.6869,0.5871999999999999,0.8564
42,0.74171,0.7692,0.9631000000000001,1.7554,0.5837,0.8519
43,0.72013,0.7741,0.9655,1.7531,0.5921,0.8551000000000001
44,0.69662,0.7794,0.968,1.9473,0.5684,0.8390000000000001
45,0.67907,0.7867000000000001,0.9699,1.7826,0.5815,0.8462000000000001
46,0.65441,0.7935,0.9723,1.827,0.5774,0.847
47,0.62957,0.8015000000000001,0.9745,1.7322,0.5958,0.8573000000000001
48,0.61698,0.8042,0.9756,1.8176,0.5878,0.8551000000000001
49,0.59438,0.8118000000000001,0.9773000000000001,1.7904,0.5915,0.8547
50,0.57361,0.8156,0.9797,1.8969,0.5821999999999999,0.8448
51,0.55258,0.8242,0.98,1.8765,0.5870000000000001,0.8468000000000001
52,0.53478,0.8301999999999999,0.9823000000000001,1.9493,0.5804,0.8429000000000001
53,0.51768,0.8320000000000001,0.9840000000000001,1.8346,0.5956,0.8543999999999999
54,0.50114,0.8392000000000001,0.9849,1.8403,0.598,0.8579000000000001
55,0.46789,0.8491,0.9873999999999999,1.8593,0.5951,0.8559
56,0.46851,0.8484,0.9882,1.8584,0.6006,0.8554999999999999
57,0.45748,0.8529000000000001,0.9881,2.0943,0.5825,0.8438
58,0.44328,0.8561,0.9887999999999999,1.9921,0.5895,0.8475
59,0.41701,0.8659,0.9906999999999999,1.8639,0.6049,0.8558
60,0.4093,0.8673000000000001,0.9904999999999999,1.9456,0.597,0.8545999999999999
61,0.39563,0.8689,0.9915,2.0504,0.5863,0.8469
62,0.38652,0.8734000000000001,0.9925,1.9221,0.6029,0.858
63,0.36388,0.8814,0.9926,2.0235,0.6026,0.8506999999999999
64,0.356,0.8839,0.9940000000000001,2.1175,0.5872999999999999,0.8478
65,0.34722,0.8848999999999999,0.9945999999999999,2.0888,0.5995,0.8458
66,0.34049,0.889,0.9943000000000001,2.028,0.5995,0.8534999999999999
67,0.32452,0.8939,0.9947,2.0281,0.6018,0.8558
