Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8689,0.1035,0.3089,3.4278,0.1776,0.44189999999999996
1,3.2158,0.2094,0.5005,3.0449,0.25170000000000003,0.5522
2,2.8025,0.2841,0.6048,2.7308,0.3044,0.6382
3,2.4834,0.3513,0.6768000000000001,2.4193,0.3688,0.6956
4,2.2139,0.4104,0.7345,2.1794,0.4268,0.7404999999999999
5,2.0013,0.457,0.7754000000000001,2.3093,0.41259999999999997,0.7398
6,1.829,0.4954,0.8065000000000001,2.1305,0.451,0.7668
7,1.6724,0.5315,0.8356,1.9326,0.491,0.799
8,1.5574,0.5597,0.8545,1.8755,0.5126,0.807
9,1.4392,0.5898,0.873,1.7681,0.5297999999999999,0.8177
10,1.3474,0.6131,0.8867,1.7492,0.5415,0.8351000000000001
11,1.2625,0.6328,0.8978,1.7001,0.5478000000000001,0.8390000000000001
12,1.1874,0.6498999999999999,0.9094,1.6823,0.5561,0.84
13,1.1063,0.6753,0.919,1.6508,0.5653,0.8434999999999999
14,1.0424,0.6908,0.9281999999999999,1.6158,0.5781000000000001,0.8561
15,0.98586,0.7040000000000001,0.9337000000000001,1.6175,0.5847,0.8558
16,0.92063,0.7236,0.9434,1.5554,0.607,0.8623000000000001
17,0.86256,0.7408,0.9487000000000001,1.5781,0.6039,0.8648
18,0.81067,0.7537,0.9549,1.6056,0.6015,0.8633
19,0.76051,0.7656000000000001,0.9598,1.4855,0.6236,0.8767
20,0.71491,0.7806000000000001,0.9655,1.5965,0.607,0.8632
21,0.66223,0.7934,0.9701000000000001,1.4523,0.632,0.884
22,0.62388,0.8048000000000001,0.9743,1.5289,0.6229,0.8769
23,0.58059,0.8181,0.9777,1.5445,0.6273,0.8837
24,0.53425,0.8339,0.9793999999999999,1.514,0.6394,0.8828
25,0.50581,0.8379000000000001,0.9832,1.6035,0.6274000000000001,0.8776
26,0.46732,0.8514,0.9856,1.6897,0.6185,0.8754000000000001
27,0.43224,0.8639,0.9881,1.559,0.6409999999999999,0.8856999999999999
28,0.40202,0.8713,0.9897,1.5647,0.6381,0.8819
29,0.36949,0.8822,0.992,1.6668,0.6338,0.8815000000000001
30,0.34274,0.8909,0.9932,1.6947,0.628,0.8798999999999999
31,0.31605,0.8998,0.9942,1.6207,0.6448999999999999,0.8878
32,0.28995,0.9061,0.9956999999999999,1.5864,0.6522,0.8835999999999999
33,0.26613,0.9146,0.9963,1.7356,0.6379,0.8845000000000001
34,0.25065,0.9195,0.9965,1.7079,0.6378,0.884
35,0.22644,0.9284,0.9976,1.6465,0.6573,0.89
36,0.20754,0.934,0.9982,1.741,0.6494,0.8859999999999999
37,0.19854,0.9373,0.9983,1.6997,0.6606000000000001,0.8937
38,0.17574,0.9448000000000001,0.9990000000000001,1.777,0.6524,0.8874
39,0.16401,0.9484,0.9989,1.6828,0.6603,0.8922
40,0.15414,0.9527,0.9989,1.7313,0.662,0.8935
41,0.14022,0.9566,0.9994,1.7601,0.6589,0.8891
42,0.12609,0.9612999999999999,0.9995,1.7378,0.6733,0.8923000000000001
43,0.12017,0.9634,0.9995,1.7881,0.6603,0.8948999999999999
44,0.10992,0.9673999999999999,0.9995999999999999,1.7319,0.6709,0.895
45,0.10269,0.9692000000000001,0.9995999999999999,1.7469,0.6709,0.8948999999999999
46,0.091097,0.9734999999999999,0.9995999999999999,1.7552,0.6664,0.8956999999999999
47,0.089056,0.9732,0.9998,1.8241,0.6653,0.8909
48,0.082597,0.975,0.9998,1.7609,0.6709,0.8942
49,0.076569,0.9777,0.9995999999999999,1.7621,0.6789000000000001,0.8956000000000001
50,0.076509,0.9771,0.9998,1.8687,0.6697,0.8925
51,0.072367,0.9788,0.9998,1.7597,0.6827,0.8993000000000001
52,0.062638,0.982,0.9998999999999999,1.7912,0.6755,0.8976000000000001
53,0.064919,0.9806999999999999,0.9998999999999999,1.8038,0.6792,0.8967
54,0.061658,0.9823000000000001,0.9998,1.8563,0.6729,0.8987
55,0.053542,0.9851000000000001,1.0,1.8487,0.6712,0.8946999999999999
56,0.057706,0.9840000000000001,0.9998999999999999,1.8292,0.6803,0.8976999999999999
57,0.051321,0.9859,0.9998999999999999,1.8354,0.6777,0.8955
58,0.047018,0.9865,1.0,1.8435,0.679,0.8987
59,0.042871,0.9892,0.9998999999999999,1.8495,0.6812999999999999,0.9012
60,0.038221,0.9898,1.0,1.8391,0.6831999999999999,0.8992
61,0.040169,0.9887,0.9998999999999999,1.8859,0.6827,0.8968
62,0.037344,0.9902,1.0,1.8519,0.6883,0.8983
63,0.036629,0.9904999999999999,0.9998999999999999,1.8767,0.6831,0.8959999999999999
64,0.035057,0.991,1.0,1.9175,0.6819,0.8965000000000001
65,0.027815,0.9934000000000001,1.0,1.9152,0.6792,0.8970999999999999
66,0.032818,0.9915,0.9998999999999999,1.9154,0.6873,0.897
67,0.025716,0.9937999999999999,1.0,1.8767,0.6855,0.9012
68,0.024116,0.9944,1.0,1.8793,0.6859999999999999,0.8993000000000001
69,0.023677,0.9942,1.0,1.8509,0.6944,0.9018
70,0.021936,0.9948999999999999,1.0,1.9013,0.6895,0.9005
71,0.028348,0.9923000000000001,1.0,1.9194,0.6873999999999999,0.9023
72,0.025193,0.9940000000000001,0.9998999999999999,1.9126,0.6869,0.8973
73,0.020714,0.9954000000000001,1.0,1.9201,0.6915,0.8994
74,0.021228,0.9948999999999999,1.0,1.9357,0.6855,0.8994
75,0.018167,0.9961,1.0,1.9254,0.6898000000000001,0.9025
76,0.021609,0.9945,1.0,1.9459,0.6836,0.9002
77,0.018765,0.9958,1.0,1.9319,0.6917,0.9004000000000001
78,0.018948,0.9956999999999999,1.0,1.9383,0.6897,0.9012
79,0.018446,0.9954000000000001,1.0,1.9894,0.6809999999999999,0.9006000000000001
80,0.021777,0.9948,0.9998999999999999,1.9177,0.6883,0.9044
81,0.01849,0.996,1.0,1.9499,0.6878,0.9013
82,0.016856,0.9964,1.0,1.9665,0.6862999999999999,0.9005
83,0.018743,0.9953,1.0,1.9371,0.688,0.9011
84,0.018482,0.9954999999999999,1.0,1.9898,0.6859999999999999,0.8985
85,0.016273,0.9965,1.0,1.9172,0.6915,0.9018
86,0.014962,0.9968,1.0,1.985,0.6834,0.8995000000000001
87,0.013897,0.9972,1.0,1.9537,0.6892,0.902
88,0.015414,0.9965,1.0,1.9305,0.6934999999999999,0.9036
89,0.014571,0.9969,1.0,1.9855,0.6890999999999999,0.9005
90,0.012321,0.9974,1.0,1.9393,0.6958,0.9016
91,0.012682,0.9973000000000001,1.0,1.968,0.691,0.8989
92,0.013128,0.9972,1.0,1.9454,0.695,0.9015000000000001
93,0.013063,0.9969,1.0,1.9679,0.6922,0.9029
94,0.010929,0.9979,1.0,1.9324,0.6972,0.9056000000000001
95,0.011654,0.9975,1.0,2.079,0.6842,0.8968
96,0.01037,0.9979,1.0,1.9606,0.6957,0.9035
97,0.011475,0.9975,1.0,1.9484,0.6959000000000001,0.9062
98,0.010161,0.9979,1.0,2.0184,0.6914,0.9016
99,0.011932,0.9974,1.0,2.0138,0.6914,0.8987999999999999
