Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.8522,0.1056,0.31420000000000003,3.4183,0.1814,0.4388
1,3.19,0.213,0.505,3.0065,0.2532,0.5588000000000001
2,2.7752,0.2883,0.6089,2.757,0.3081,0.6318
3,2.459,0.3557,0.6826000000000001,2.4462,0.37200000000000005,0.6881
4,2.1975,0.4122,0.7381,2.2967,0.40979999999999994,0.726
5,1.9895,0.45630000000000004,0.7801,2.375,0.4032,0.7404000000000001
6,1.815,0.4988,0.8097,2.1635,0.446,0.7579
7,1.6636,0.5359,0.8356999999999999,1.9148,0.4899,0.8043
8,1.5486,0.5618,0.8556999999999999,1.9437,0.4982,0.7946
9,1.4275,0.5922,0.8745,1.8313,0.5168,0.8153
10,1.3385,0.6154999999999999,0.8886,1.7839,0.5268,0.8295
11,1.255,0.6354,0.8998999999999999,1.7549,0.5411,0.8316
12,1.1798,0.6537999999999999,0.9105,1.8154,0.5433,0.8270000000000001
13,1.0982,0.6761,0.9208,1.6637,0.5714,0.8419
14,1.0376,0.6923999999999999,0.9286,1.7782,0.5563,0.8356
15,0.97728,0.7073,0.9359000000000001,1.6517,0.5739,0.8499
16,0.9165,0.7242000000000001,0.9428,1.5439,0.6083,0.8633
17,0.86231,0.7386,0.9481999999999999,1.702,0.583,0.8541
18,0.80988,0.7543000000000001,0.9545,1.5139,0.6134000000000001,0.8787
19,0.75727,0.7672,0.961,1.5621,0.6077,0.8726999999999999
20,0.70787,0.7835,0.9654,1.4942,0.6255,0.8785
21,0.66279,0.7940999999999999,0.9693999999999999,1.5426,0.621,0.8745999999999999
22,0.61852,0.8075,0.9732,1.5649,0.6181,0.8775
23,0.57119,0.8222,0.9776,1.5587,0.626,0.8815000000000001
24,0.53563,0.831,0.9804999999999999,1.5838,0.6258,0.8805
25,0.50266,0.8401000000000001,0.9833,1.5849,0.629,0.8820999999999999
26,0.46534,0.8523999999999999,0.9858,1.6227,0.6297999999999999,0.8813
27,0.43017,0.8637999999999999,0.9883,1.6146,0.6286,0.8794
28,0.38901,0.8764,0.9906,1.5779,0.6406000000000001,0.8808
29,0.36806,0.8812000000000001,0.9918,1.6254,0.6362,0.8870999999999999
30,0.33866,0.8916,0.9931,1.7378,0.6265,0.878
31,0.31533,0.8992,0.9947,1.651,0.6455,0.8837999999999999
32,0.28897,0.9070999999999999,0.9956,1.7024,0.6343,0.8818
33,0.25825,0.9173,0.9965,1.7262,0.642,0.8819
34,0.25056,0.9198000000000001,0.9969,1.6889,0.6511,0.8915000000000001
35,0.22637,0.9281,0.9976,1.7896,0.6486,0.8870999999999999
36,0.21132,0.9316,0.9979,1.7247,0.6531,0.8889
