Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.7968,0.1139,0.3362,3.3447,0.1912,0.47450000000000003
1,3.0717,0.23440000000000003,0.5367000000000001,2.8562,0.2778,0.5964
2,2.5976,0.3249,0.6541,2.483,0.3601,0.6898000000000001
3,2.2295,0.4058,0.7314,2.3048,0.41259999999999997,0.7212000000000001
4,1.9659,0.4636,0.7870999999999999,2.0811,0.46409999999999996,0.7719
5,1.7651,0.5093,0.8222,1.9561,0.48229999999999995,0.7929
6,1.6006,0.5486,0.8492000000000001,1.8455,0.5136999999999999,0.8103
7,1.4712,0.5808,0.8693000000000001,1.7359,0.5324,0.8306999999999999
8,1.3558,0.6102000000000001,0.8869,1.658,0.5514,0.8361
9,1.2574,0.6344,0.8995000000000001,1.616,0.5710999999999999,0.8512000000000001
10,1.1596,0.6604000000000001,0.9116,1.5468,0.5834,0.8606999999999999
11,1.0882,0.6796,0.9229,1.4845,0.6026,0.8717
12,1.0147,0.6973,0.9312,1.498,0.6024,0.8712000000000001
13,0.94362,0.7190000000000001,0.9392,1.4722,0.6064,0.8739
14,0.88211,0.7323999999999999,0.948,1.4136,0.6244,0.8874
15,0.81853,0.7512000000000001,0.9528,1.4204,0.6312,0.8855
16,0.76501,0.7666,0.9592,1.4777,0.6224000000000001,0.8833
17,0.71101,0.78,0.9655,1.4521,0.6375,0.8874
18,0.66434,0.7935,0.9690000000000001,1.3844,0.6516,0.8951
19,0.617,0.8065000000000001,0.9737,1.4053,0.6496,0.8911
20,0.57369,0.8194,0.977,1.3794,0.6622,0.8954000000000001
21,0.52942,0.833,0.9815,1.4855,0.6470999999999999,0.8891
22,0.48647,0.8449,0.9841,1.4393,0.6527,0.8992
23,0.45198,0.8567,0.9863,1.4932,0.6516,0.8957999999999999
24,0.41721,0.8665999999999999,0.9884000000000001,1.4259,0.6692,0.9026000000000001
25,0.3912,0.8740000000000001,0.991,1.5299,0.647,0.8896
26,0.35546,0.8854000000000001,0.9922,1.5804,0.6520999999999999,0.8968
27,0.32768,0.8937,0.9929000000000001,1.5032,0.6636,0.9007
28,0.29898,0.9025,0.9948999999999999,1.4339,0.6748999999999999,0.9009
29,0.28051,0.9087999999999999,0.9954000000000001,1.5832,0.6679999999999999,0.8983
30,0.25511,0.9167000000000001,0.9965999999999999,1.5678,0.6698999999999999,0.8956999999999999
31,0.234,0.9243000000000001,0.9974,1.6104,0.6768000000000001,0.8998999999999999
32,0.21453,0.9311,0.9979,1.5351,0.6779999999999999,0.8991
33,0.20436,0.9336,0.9979,1.5697,0.6817,0.9064
34,0.18458,0.9406,0.9983,1.6282,0.6762,0.9015000000000001
35,0.17211,0.9451999999999999,0.9987999999999999,1.6299,0.6809000000000001,0.9047
36,0.15716,0.9494,0.9987,1.629,0.6796,0.9018
37,0.15799,0.9487000000000001,0.9987999999999999,1.6403,0.6795,0.9059
38,0.13696,0.9566,0.9992,1.7402,0.6698999999999999,0.8963
39,0.12788,0.9592,0.9991,1.7354,0.6709999999999999,0.894
40,0.1232,0.9603,0.9991,1.6247,0.6909000000000001,0.9061
41,0.10769,0.9666,0.9995999999999999,1.6532,0.6901,0.9074
42,0.10488,0.966,0.9995999999999999,1.7397,0.6843,0.9043000000000001
43,0.095256,0.9703,0.9997,1.6996,0.6912999999999999,0.9056000000000001
44,0.095825,0.9697,0.9997,1.6723,0.6909000000000001,0.9047
45,0.089074,0.9725,0.9998,1.7268,0.6883,0.9061
46,0.08289,0.9731000000000001,0.9998,1.7535,0.6854,0.9037000000000001
47,0.077831,0.976,0.9997,1.7172,0.6912,0.9095
48,0.071568,0.9781,0.9998,1.7229,0.6925,0.909
49,0.067743,0.9802,0.9998999999999999,1.7841,0.6831999999999999,0.9013
