Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.8212,0.015600000000000001,0.06709999999999999,4.5895,0.024,0.10310000000000001
1,4.3107,0.0374,0.1586,4.1011,0.0571,0.2231
2,3.9444,0.08,0.2775,3.742,0.1054,0.34729999999999994
3,3.652,0.12789999999999999,0.3721,3.529,0.15990000000000001,0.4301
4,3.3334,0.18420000000000003,0.4647,3.2929,0.2016,0.4875
5,3.0014,0.2463,0.5546,3.075,0.2489,0.5563
6,2.6825,0.3079,0.6312,2.7123,0.31629999999999997,0.6443000000000001
7,2.3888,0.3686,0.6979000000000001,2.7601,0.33759999999999996,0.6635
8,2.143,0.42469999999999997,0.7490000000000001,2.2212,0.429,0.7471
9,1.9304,0.4682,0.7885,2.0641,0.4593,0.7809999999999999
10,1.7597,0.5134000000000001,0.8210999999999999,2.0655,0.4736,0.7881
11,1.6192,0.545,0.847,2.3713,0.5003,0.8073999999999999
12,1.4949,0.5729,0.8652,2.0512,0.5204,0.8146
13,1.383,0.6017,0.8819,1.9038,0.516,0.8184
14,1.2969,0.6234000000000001,0.8943000000000001,1.7033,0.5514,0.8393999999999999
15,1.2148,0.6448,0.9059999999999999,1.9501,0.5265,0.8256999999999999
16,1.1356,0.6670999999999999,0.9155,1.6172,0.5658,0.8459
17,1.0649,0.685,0.9255,1.6322,0.5758,0.8489
18,1.0014,0.6997,0.9342,1.5064,0.6057,0.8711
19,0.95291,0.7126,0.9396,1.598,0.5877,0.8644
20,0.89553,0.7303000000000001,0.9462,1.4882,0.6091,0.8734000000000001
21,0.85063,0.7387,0.9521999999999999,1.4572,0.6145,0.884
22,0.80859,0.7532,0.9554,1.5268,0.6035,0.8748999999999999
23,0.76069,0.7653,0.961,1.3924,0.6289,0.8889
24,0.72953,0.773,0.9634999999999999,1.4331,0.6389,0.8848
25,0.68763,0.7857999999999999,0.9684999999999999,1.5316,0.6274000000000001,0.8811
26,0.65696,0.7934,0.9704,1.4889,0.6243,0.8879
27,0.62333,0.8047,0.9747,1.4192,0.6461,0.8955
28,0.59747,0.8108,0.977,1.5122,0.6331,0.879
29,0.5685,0.8190000000000001,0.9795999999999999,1.402,0.6524,0.8912
30,0.2771,0.9101,0.9943000000000001,1.3303,0.7055,0.9177
31,0.19756,0.9369,0.9974,1.3891,0.7016,0.9173
32,0.15812,0.9484,0.9984000000000001,1.3916,0.7137,0.9154000000000001
33,0.13912,0.9558,0.9990000000000001,1.4431,0.7092,0.9164
34,0.11784,0.9632999999999999,0.9994,1.4712,0.7059000000000001,0.9170999999999999
35,0.10375,0.9692000000000001,0.9995999999999999,1.4648,0.7134999999999999,0.9168999999999999
36,0.091577,0.972,0.9998,1.4592,0.7145,0.9181
37,0.089411,0.9727,0.9998,1.4969,0.7126,0.9204000000000001
38,0.082408,0.9743999999999999,0.9998,1.5244,0.7129000000000001,0.9155
39,0.079461,0.9764,0.9998,1.535,0.7082999999999999,0.9166
40,0.073859,0.9773000000000001,0.9998999999999999,1.5499,0.7128,0.9181999999999999
41,0.065074,0.9815999999999999,0.9998999999999999,1.5859,0.705,0.9154000000000001
42,0.063783,0.9811,0.9998999999999999,1.5724,0.7105,0.9157
43,0.059734,0.9825,0.9998999999999999,1.6145,0.7056,0.9147
44,0.063635,0.9804,0.9998,1.6265,0.705,0.9120999999999999
45,0.057247,0.9834,0.9998999999999999,1.5733,0.7129000000000001,0.9159999999999999
46,0.053759,0.9851000000000001,1.0,1.5886,0.7106,0.9168999999999999
47,0.05099,0.9852,1.0,1.5791,0.713,0.9172
48,0.05151,0.9849,0.9998999999999999,1.6026,0.715,0.9123
49,0.049217,0.9863,1.0,1.6077,0.7065,0.9089
