Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.8578,0.0151,0.0682,4.5138,0.0245,0.10289999999999999
1,4.3641,0.035,0.1472,4.1895,0.052199999999999996,0.1991
2,4.0012,0.068,0.2539,3.9311,0.0898,0.3066
3,3.7129,0.11560000000000001,0.35229999999999995,3.5947,0.133,0.3942
4,3.4332,0.16390000000000002,0.44,3.345,0.19079999999999997,0.4727
5,3.1546,0.2144,0.5173,3.103,0.23,0.5318999999999999
6,2.8909,0.2703,0.5815,2.8744,0.29460000000000003,0.6033
7,2.6118,0.3248,0.6509999999999999,2.726,0.3204,0.6459999999999999
8,2.3552,0.3807,0.7034,2.5105,0.3722,0.695
9,2.123,0.4285,0.7533,2.3164,0.4071,0.7264
10,1.935,0.46990000000000004,0.7890999999999999,2.0545,0.46399999999999997,0.7848999999999999
11,1.78,0.5065999999999999,0.8181,2.05,0.4746,0.7917000000000001
12,1.6483,0.5389,0.8402,2.1284,0.47,0.7737
13,1.5232,0.5682,0.8599,2.0101,0.49,0.7904000000000001
14,1.4293,0.5929,0.8755,2.0886,0.4769,0.782
15,1.3413,0.6144,0.8881999999999999,1.6761,0.5447,0.8378
16,1.2531,0.6351,0.9007,1.694,0.5448,0.8312999999999999
17,1.1763,0.6559999999999999,0.9115000000000001,1.71,0.5667,0.8405
18,1.1073,0.6748999999999999,0.9201,1.662,0.5725,0.8436
19,1.0519,0.6875,0.9264,1.5444,0.586,0.8661
20,0.98777,0.7055,0.9344,1.5367,0.6065,0.8672
21,0.93562,0.7177,0.9419,1.5944,0.5928,0.8651000000000001
22,0.88687,0.73,0.9473,1.5488,0.5928,0.8676
23,0.8394,0.743,0.9531999999999999,1.5233,0.6069,0.8687
24,0.8016,0.7526999999999999,0.9573,1.4094,0.6329,0.8837
25,0.75134,0.7686,0.9621999999999999,1.5306,0.6175,0.8709
26,0.71368,0.7786,0.9656,1.4966,0.6323,0.8797
27,0.6885,0.7857999999999999,0.9684,1.5213,0.6154,0.8813
28,0.64809,0.7951,0.9723,1.551,0.6269,0.8765000000000001
29,0.61905,0.8042,0.9743,1.4687,0.6367,0.8841
30,0.31359,0.9009,0.9928,1.29,0.7081000000000001,0.9136
31,0.22968,0.9258,0.9968,1.3127,0.7081999999999999,0.9170999999999999
32,0.19028,0.9394,0.9976,1.3924,0.701,0.9131
33,0.16749,0.9479000000000001,0.9983,1.3999,0.7088,0.9147
34,0.14663,0.9539,0.9987999999999999,1.438,0.7038,0.9146
35,0.12877,0.9592,0.9991,1.4306,0.7099,0.9152
36,0.11003,0.9661,0.9995999999999999,1.4838,0.7045,0.9142
37,0.10819,0.9662999999999999,0.9995999999999999,1.5161,0.7018000000000001,0.9109999999999999
38,0.097536,0.9709,0.9995999999999999,1.4872,0.7076,0.9146
39,0.088856,0.9718000000000001,0.9998,1.5549,0.7056,0.9129999999999999
