Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.7815,0.0202,0.0925,4.3893,0.034,0.1318
1,4.181,0.048600000000000004,0.19899999999999998,3.9683,0.0696,0.2633
2,3.857,0.0894,0.3028,3.7272,0.1191,0.36719999999999997
3,3.6021,0.1346,0.38689999999999997,3.5472,0.1655,0.4388
4,3.3147,0.18710000000000002,0.4715,3.2107,0.2145,0.5095000000000001
5,3.0415,0.2378,0.5479999999999999,3.1024,0.24230000000000002,0.5409
6,2.7667,0.2939,0.6131,2.7748,0.2998,0.6227
7,2.4764,0.3543,0.6794,2.5498,0.35479999999999995,0.6726000000000001
8,2.2373,0.40149999999999997,0.7287,2.3325,0.3972,0.7248
9,2.0396,0.4475,0.7685,2.144,0.4349,0.7567
10,1.8764,0.48450000000000004,0.7998999999999999,1.9701,0.4752,0.7881999999999999
11,1.7371,0.5176,0.8253,2.2653,0.478,0.7867000000000001
12,1.6087,0.5457,0.8475,1.8484,0.5047,0.8062
13,1.4974,0.5758,0.8639,1.7767,0.5313,0.8281999999999999
14,1.3995,0.5988,0.8786,1.9157,0.5131,0.8131
15,1.3209,0.6177,0.8903,1.7818,0.5426,0.8297
16,1.2379,0.6372,0.9033,1.6571,0.563,0.8423
17,1.1622,0.6586,0.9129,1.638,0.5707,0.8502
18,1.0876,0.6753,0.9243000000000001,1.523,0.5937,0.8641
19,1.0324,0.6909000000000001,0.9293,1.5029,0.5921,0.8665999999999999
20,0.97524,0.7081000000000001,0.9368000000000001,1.4995,0.6079,0.8712000000000001
21,0.92254,0.7201000000000001,0.9443,1.4178,0.6283,0.8812000000000001
22,0.87491,0.7329000000000001,0.9487000000000001,1.4669,0.6139,0.8789
23,0.82011,0.7478,0.9551999999999999,1.4904,0.6177,0.8783
24,0.78015,0.758,0.9592,1.4418,0.6273,0.8845999999999999
25,0.73958,0.7712,0.9638,1.4771,0.6268,0.8814
26,0.70154,0.7806000000000001,0.9678,1.5336,0.6173,0.8812000000000001
27,0.66571,0.7917000000000001,0.9703,1.4649,0.6275,0.8875
28,0.63511,0.8001,0.9743,1.4931,0.6331,0.8869
29,0.6018,0.8090999999999999,0.9771,1.5022,0.6363,0.8795999999999999
30,0.29859,0.9059,0.9942,1.3161,0.701,0.9115000000000001
31,0.20534,0.9345,0.9975,1.3149,0.7056999999999999,0.9151
32,0.17452,0.9456,0.9984999999999999,1.3463,0.7058,0.9158
