Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.7534,0.021,0.0942,4.3375,0.0319,0.1479
1,4.1407,0.049800000000000004,0.201,3.9627,0.07490000000000001,0.262
2,3.8481,0.0941,0.3093,3.6211,0.1253,0.38280000000000003
3,3.5315,0.1469,0.4077,3.3155,0.1898,0.4728
4,3.2226,0.2028,0.4963,3.0918,0.23370000000000002,0.5341
5,2.934,0.2575,0.5713,2.7364,0.29510000000000003,0.615
6,2.6564,0.3129,0.6351,2.5916,0.3348,0.6544
7,2.4108,0.3653,0.6923,2.4669,0.3676,0.6987000000000001
8,2.2084,0.4073,0.7356,2.1265,0.4334,0.7515999999999999
9,2.0135,0.45020000000000004,0.7754000000000001,2.0882,0.4543,0.7723
10,1.8523,0.48840000000000006,0.8049,1.9526,0.47700000000000004,0.7911
11,1.7177,0.5181,0.8277,1.8508,0.4963,0.8108
12,1.5977,0.5477000000000001,0.8488,1.8245,0.5173,0.8162999999999999
13,1.4928,0.5768,0.8661,1.7963,0.5205,0.8271999999999999
14,1.4056,0.595,0.8787999999999999,1.6363,0.5529999999999999,0.8478
15,1.3269,0.6169,0.8916,1.6503,0.5535,0.8442000000000001
16,1.2493,0.6354,0.9017000000000001,1.5876,0.5734,0.8586
17,1.1758,0.6529,0.9118,1.5671,0.5856,0.8573999999999999
18,1.1134,0.6694,0.9211,1.4945,0.5989,0.866
19,1.0597,0.6843,0.9273,1.6076,0.5958,0.8679000000000001
20,1.0087,0.6940999999999999,0.9346,3.0088,0.5922999999999999,0.8661
21,0.9527,0.7106999999999999,0.9415,1.4481,0.6161,0.8747
22,0.9041,0.7239,0.9467,1.4071,0.6239,0.8843000000000001
23,0.85708,0.7340000000000001,0.953,1.4737,0.6178,0.8805
24,0.82733,0.7442,0.9551000000000001,1.4979,0.6163000000000001,0.8792
25,0.78118,0.7568,0.9603,1.5332,0.6081,0.8776
26,0.73209,0.772,0.9649,1.5183,0.6174000000000001,0.882
27,0.69915,0.7811,0.9678,1.4422,0.6367,0.8859999999999999
28,0.6674,0.7890999999999999,0.9718000000000001,1.4526,0.6393,0.8811
29,0.6357,0.7987000000000001,0.975,1.5001,0.6284000000000001,0.8837
30,0.33276,0.8986,0.9926,1.18,0.6984999999999999,0.9170999999999999
31,0.24206,0.9278,0.9964,1.1867,0.7069,0.9185
32,0.20329,0.9415,0.9976999999999999,1.2227,0.6990999999999999,0.9159999999999999
33,0.17531,0.9512999999999999,0.9983,1.2494,0.7023999999999999,0.9161
34,0.14932,0.9599,0.9991,1.273,0.6995,0.9155
35,0.13616,0.9623999999999999,0.9995,1.3002,0.7006,0.9134
36,0.12063,0.9670000000000001,0.9995999999999999,1.3312,0.6959000000000001,0.9153
37,0.10835,0.972,0.9997,1.3193,0.7067,0.9133
38,0.09732,0.9754,0.9997,1.326,0.7051999999999999,0.9134
39,0.089182,0.9773999999999999,0.9998,1.3333,0.7009000000000001,0.9144
40,0.081137,0.9803000000000001,0.9998999999999999,1.3547,0.7020000000000001,0.9155
41,0.075009,0.9821,1.0,1.3854,0.7003,0.9116
42,0.071567,0.983,1.0,1.3921,0.7029000000000001,0.9137000000000001
43,0.066571,0.9843999999999999,0.9998999999999999,1.4265,0.6987000000000001,0.9117000000000001
44,0.063509,0.9854999999999999,1.0,1.4369,0.6978,0.9107
45,0.058373,0.9873999999999999,1.0,1.4283,0.6990999999999999,0.9103
46,0.05337,0.9884000000000001,0.9998999999999999,1.4214,0.6977,0.9095
47,0.052839,0.9876,1.0,1.4318,0.7049,0.9101
48,0.049306,0.9895999999999999,1.0,1.4382,0.6977,0.9102
49,0.047042,0.9902,0.9998999999999999,1.4537,0.6999,0.9129
50,0.044286,0.9913,1.0,1.4482,0.7036,0.9115000000000001
51,0.042334,0.9906999999999999,1.0,1.4446,0.7033,0.9133
52,0.044296,0.99,1.0,1.4745,0.6953,0.9093000000000001
53,0.041888,0.9913,1.0,1.4586,0.7018000000000001,0.9123
54,0.039593,0.9914000000000001,1.0,1.4444,0.7037,0.9105
55,0.039762,0.9918,1.0,1.4676,0.7018000000000001,0.9101
56,0.037672,0.9923000000000001,1.0,1.4436,0.7023,0.9118
57,0.035386,0.9929000000000001,1.0,1.4625,0.7073,0.9087000000000001
58,0.03653,0.9923000000000001,1.0,1.4569,0.7021,0.9098
59,0.04192,0.9909,1.0,1.4434,0.7012,0.9109999999999999
60,0.023802,0.9962000000000001,1.0,1.37,0.7129000000000001,0.9166
61,0.016297,0.9981,1.0,1.3705,0.7137,0.9179999999999999
62,0.015185,0.9982,1.0,1.3638,0.7158,0.919
63,0.013651,0.9984000000000001,1.0,1.3691,0.7140000000000001,0.9170999999999999
64,0.012713,0.9987,1.0,1.3671,0.7177,0.9190999999999999
65,0.012371,0.9987,1.0,1.3717,0.7154,0.9174
66,0.011114,0.9990000000000001,1.0,1.3694,0.7176,0.9177
67,0.010471,0.9993000000000001,1.0,1.3668,0.7181000000000001,0.9175
68,0.010381,0.9990000000000001,1.0,1.3713,0.7181000000000001,0.9175
69,0.0095564,0.9993000000000001,1.0,1.3671,0.7188,0.9184
70,0.010167,0.9991,1.0,1.3687,0.7191,0.9181
71,0.0095278,0.9992,1.0,1.3658,0.7187,0.9175
72,0.0093877,0.9991,1.0,1.3692,0.7186,0.917
73,0.0096814,0.9992,1.0,1.3663,0.7179000000000001,0.9177
74,0.0093024,0.9992,1.0,1.3716,0.7169,0.9178000000000001
75,0.0087841,0.9993000000000001,1.0,1.3674,0.7162999999999999,0.9181999999999999
76,0.0088779,0.9991,1.0,1.3662,0.7171,0.9174
77,0.0085658,0.9994,1.0,1.3626,0.7164,0.9179999999999999
78,0.0083761,0.9992,1.0,1.3645,0.718,0.9179999999999999
79,0.0085521,0.9991,1.0,1.3664,0.7173,0.9159999999999999
80,0.0082433,0.9994,1.0,1.3656,0.7165,0.9177
81,0.0083233,0.9993000000000001,1.0,1.3597,0.7165,0.9187000000000001
82,0.0079487,0.9993000000000001,1.0,1.3553,0.7192000000000001,0.9179999999999999
83,0.007979,0.9994,1.0,1.355,0.7188,0.9179
84,0.0077567,0.9994,1.0,1.3515,0.7172,0.9172
85,0.0078358,0.9994,1.0,1.3447,0.7192000000000001,0.9181
86,0.007724,0.9993000000000001,1.0,1.3487,0.7189,0.9170999999999999
87,0.0076428,0.9995,1.0,1.3388,0.7189,0.9196
88,0.0076515,0.9993000000000001,1.0,1.3453,0.7182999999999999,0.9181999999999999
89,0.0071122,0.9995,1.0,1.3418,0.7195,0.9178000000000001
90,0.006972,0.9994,1.0,1.3405,0.7211,0.9190999999999999
91,0.0070052,0.9995,1.0,1.3378,0.7197,0.9189
92,0.006857,0.9994,1.0,1.3429,0.7212999999999999,0.9198000000000001
93,0.0066609,0.9995999999999999,1.0,1.3366,0.721,0.9193000000000001
94,0.006643,0.9997,1.0,1.3401,0.7184999999999999,0.9175
95,0.0065087,0.9995999999999999,1.0,1.345,0.7193,0.9183
96,0.006815,0.9995,1.0,1.3452,0.7208,0.9170999999999999
97,0.0065583,0.9995999999999999,1.0,1.3379,0.7182,0.9181999999999999
98,0.0066033,0.9995,1.0,1.3343,0.7202,0.9183
99,0.0064673,0.9995999999999999,1.0,1.3371,0.7199,0.9187000000000001
