Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,4.6932,0.0215,0.09880000000000001,4.216,0.0414,0.17079999999999998
1,4.0421,0.065,0.242,3.8007,0.1107,0.3329
2,3.6706,0.1234,0.3654,3.4707,0.15710000000000002,0.4238
3,3.3039,0.191,0.47369999999999995,3.1288,0.2336,0.5236999999999999
4,3.0106,0.2483,0.5511,3.007,0.2539,0.5625
5,2.7526,0.2979,0.6165999999999999,3.3759,0.2893,0.6038
6,2.5318,0.3442,0.6670999999999999,2.5245,0.3547,0.6817
7,2.286,0.39289999999999997,0.7226,2.4514,0.3675,0.7009000000000001
8,2.0892,0.4385,0.7579,2.2153,0.4274,0.7433
9,1.8882,0.4794,0.7976000000000001,2.0549,0.4575,0.7772
10,1.7438,0.516,0.8225,1.8676,0.49219999999999997,0.8093
11,1.6073,0.5482,0.8451000000000001,1.803,0.5034000000000001,0.8225
12,1.4861,0.5751,0.8675,1.7624,0.531,0.8251999999999999
13,1.3864,0.602,0.8812000000000001,1.6338,0.5614,0.8416
14,1.3026,0.6231,0.8936,1.8698,0.5287,0.8294
15,1.227,0.6414,0.9035,1.6364,0.5634,0.8488
16,1.1458,0.6627,0.9163,1.4902,0.5882000000000001,0.8656
17,1.0744,0.6807,0.9255,1.5995,0.583,0.8609
18,1.0122,0.6957,0.9337000000000001,1.4307,0.6175999999999999,0.8774
19,0.96383,0.7091,0.9395,1.5069,0.5956,0.8752
20,0.90247,0.7254999999999999,0.9467,1.4884,0.6152000000000001,0.875
21,0.85268,0.74,0.9527,1.4903,0.6098,0.8741
22,0.81362,0.7491,0.9567,1.4416,0.6263000000000001,0.8809
23,0.75961,0.7620999999999999,0.9626,1.5578,0.6162,0.8806999999999999
24,0.72708,0.7731,0.9651000000000001,1.4993,0.6249,0.882
25,0.69156,0.784,0.9686,1.5183,0.6233,0.8789
26,0.653,0.795,0.9712999999999999,1.4136,0.6439,0.8906000000000001
27,0.60994,0.8079999999999999,0.9753000000000001,1.4125,0.6446999999999999,0.8892
