Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
0,3.9296,0.0919,0.29109999999999997,3.5448,0.1551,0.41100000000000003
1,3.3325,0.19030000000000002,0.4704,3.1437,0.2314,0.5227
2,2.9594,0.2523,0.5655,2.9375,0.2699,0.5908
3,2.6427,0.318,0.6396999999999999,2.5883,0.3395,0.6518999999999999
4,2.3764,0.3721,0.7021999999999999,2.3477,0.3907,0.7082999999999999
5,2.1648,0.42219999999999996,0.7443000000000001,2.4633,0.3778,0.7062999999999999
6,1.9858,0.46049999999999996,0.7807,2.3236,0.406,0.7290000000000001
7,1.8332,0.4954,0.8067,2.0423,0.455,0.7719
8,1.7085,0.5268,0.8286,1.9777,0.4813,0.7837000000000001
9,1.5918,0.5518,0.8484999999999999,1.9246,0.4946,0.7987000000000001
10,1.4965,0.5744,0.8643000000000001,1.935,0.4963,0.8098000000000001
11,1.4062,0.5984,0.8787999999999999,1.8295,0.5201,0.8151
12,1.3351,0.6142,0.8887999999999999,1.7189,0.5448,0.8289
13,1.2553,0.6368,0.8998999999999999,1.7514,0.5438000000000001,0.8290000000000001
14,1.1904,0.6536,0.9083,1.7332,0.5536,0.8326
15,1.1269,0.6689,0.9167000000000001,1.7973,0.5399,0.828
16,1.072,0.6818000000000001,0.9248000000000001,1.6992,0.5677,0.8373999999999999
17,1.0186,0.7001999999999999,0.9309999999999999,1.6355,0.5834,0.8559
18,0.95975,0.7111,0.9376000000000001,1.5305,0.5968,0.8678
19,0.90591,0.7281,0.9443,1.5238,0.6004,0.866
20,0.87058,0.7345999999999999,0.9494,1.5982,0.5886,0.8602
21,0.81768,0.7493000000000001,0.9551000000000001,1.5319,0.6097,0.8726
22,0.77089,0.7646999999999999,0.9587,1.5142,0.6147,0.8717
23,0.73277,0.7757,0.9643999999999999,1.6449,0.5977,0.8645999999999999
24,0.68438,0.7865000000000001,0.9676,1.5175,0.6243,0.8756999999999999
25,0.64902,0.7970999999999999,0.9709,1.5374,0.6212,0.8698999999999999
26,0.61486,0.8068000000000001,0.9747,1.588,0.6146,0.8731
27,0.5758,0.8197,0.9773999999999999,1.6032,0.61,0.8656
28,0.54027,0.8305,0.9801000000000001,1.4664,0.6431999999999999,0.8825
29,0.51102,0.8358,0.9826,1.5801,0.624,0.875
30,0.47567,0.8498,0.9848,1.7943,0.6011,0.862
31,0.45152,0.8545999999999999,0.9876999999999999,1.5882,0.6312,0.879
32,0.42097,0.8663,0.9891,1.6457,0.6324000000000001,0.8726999999999999
33,0.39634,0.8725,0.9911,1.5814,0.6396000000000001,0.8856999999999999
34,0.367,0.8842,0.992,1.5973,0.634,0.8847
35,0.3459,0.8891,0.9934999999999999,1.651,0.6373,0.8801000000000001
36,0.32037,0.8976999999999999,0.9947,1.7463,0.6345000000000001,0.8786
37,0.29632,0.9051,0.9958,1.6153,0.6537999999999999,0.8901
38,0.28134,0.91,0.996,1.727,0.6367,0.8815000000000001
39,0.26277,0.9164,0.9968,1.6758,0.6492,0.8865999999999999
40,0.24852,0.9203,0.9971,1.7455,0.6397999999999999,0.8809999999999999
41,0.22907,0.9266,0.9976,1.7068,0.6483,0.8845999999999999
42,0.208,0.9343,0.998,1.6691,0.652,0.8832
43,0.19677,0.9390999999999999,0.9982,1.7442,0.6543000000000001,0.888
44,0.1802,0.9439,0.9987999999999999,1.7367,0.6523,0.8867
45,0.16884,0.9484,0.9990000000000001,1.669,0.6639,0.8896999999999999
46,0.16661,0.9484999999999999,0.9989,1.7181,0.6593000000000001,0.8895000000000001
47,0.15373,0.9521,0.9992,1.7609,0.6551,0.8906999999999999
48,0.14212,0.9556999999999999,0.9993000000000001,1.7143,0.6616,0.8904000000000001
49,0.13082,0.9599,0.9995,1.7451,0.6638,0.8898
50,0.12233,0.9626,0.9995,1.7561,0.6627,0.8909
51,0.11386,0.9655,0.9995999999999999,1.791,0.6587999999999999,0.8896999999999999
52,0.10941,0.9676,0.9997,1.8341,0.6591,0.8878
53,0.10647,0.968,0.9997,1.8574,0.6653,0.8865000000000001
54,0.10204,0.9695,0.9997,1.8155,0.6623,0.8918
55,0.09049,0.9731000000000001,0.9998,1.8844,0.6618999999999999,0.887
56,0.089086,0.9734999999999999,0.9998,1.8445,0.6618,0.8895000000000001
57,0.088021,0.9734,0.9997,1.9943,0.6494,0.8772
58,0.082214,0.9761,0.9997,1.8405,0.6716,0.8935
59,0.078206,0.9778,0.9998999999999999,1.8656,0.6668999999999999,0.8918
60,0.073928,0.9786,0.9998999999999999,1.8598,0.6654000000000001,0.89
61,0.075571,0.9772,0.9998,1.9402,0.6618,0.8843000000000001
62,0.072429,0.9787,0.9998999999999999,1.8729,0.6629999999999999,0.8923000000000001
63,0.063804,0.9811,0.9998999999999999,1.8402,0.6727,0.8939
64,0.061443,0.9828,0.9998999999999999,1.8439,0.6696,0.8959999999999999
65,0.057029,0.9843999999999999,0.9998999999999999,1.8749,0.6743000000000001,0.8931
66,0.05172,0.9862000000000001,0.9998999999999999,1.8506,0.6759999999999999,0.8922
67,0.049694,0.9861,1.0,1.8837,0.6720999999999999,0.8903
68,0.054496,0.9841,0.9998999999999999,1.9103,0.6706,0.8933
69,0.052921,0.9854,0.9998999999999999,1.9215,0.6736,0.8915000000000001
70,0.046893,0.9867,0.9998999999999999,1.9476,0.6708,0.8935
71,0.050712,0.9858,1.0,1.9039,0.6731999999999999,0.8913
72,0.044558,0.9876999999999999,1.0,1.9268,0.6781,0.8904000000000001
73,0.047155,0.9865999999999999,1.0,1.9575,0.6717,0.8918
74,0.040106,0.9894,0.9998999999999999,1.9202,0.6727,0.8919
75,0.040742,0.9892,1.0,1.8833,0.6793,0.8948
76,0.038085,0.99,0.9998999999999999,1.8924,0.6843,0.8970999999999999
77,0.035403,0.9906,1.0,1.9755,0.6757,0.8944
78,0.037521,0.9895,1.0,1.9384,0.672,0.8924
79,0.035644,0.9904000000000001,1.0,1.9333,0.6779999999999999,0.8931
80,0.037811,0.9895,0.9998999999999999,1.9963,0.6698999999999999,0.8925
81,0.037829,0.9895999999999999,1.0,1.9414,0.6801999999999999,0.8935
82,0.028564,0.9926999999999999,1.0,1.977,0.6744,0.8956000000000001
83,0.031301,0.9917,1.0,1.9048,0.6866,0.8959999999999999
84,0.028092,0.993,1.0,1.9222,0.6857,0.8959999999999999
85,0.026155,0.9940000000000001,1.0,2.0422,0.6725,0.8928
